symbol,slot,median,q25,q75,count
AAPL,0.0,959.0,872.0,1030.0,273
AAPL,5.0,986.5,907.0,1058.5,272
AAPL,10.0,959.0,878.0,1030.0,273
AAPL,15.0,950.0,880.0,1023.0,273
AAPL,20.0,944.0,871.0,1032.0,273
AAPL,25.0,925.5,836.75,1003.25,272
AAPL,30.0,940.5,867.25,1016.5,272
AAPL,35.0,929.0,848.0,996.25,272
AAPL,40.0,912.0,838.25,989.25,272
AAPL,45.0,906.5,822.0,984.0,272
AAPL,50.0,894.0,813.0,983.0,273
AAPL,55.0,882.0,797.0,970.0,273
AAPL,60.0,892.0,814.0,979.0,273
AAPL,65.0,879.0,789.0,969.0,273
AAPL,70.0,872.0,788.0,951.0,273
AAPL,75.0,871.0,785.0,951.0,273
AAPL,80.0,856.0,764.0,949.0,273
AAPL,85.0,851.0,761.0,934.0,273
AAPL,90.0,875.0,773.0,953.0,273
AAPL,95.0,835.0,752.0,929.0,273
AAPL,100.0,836.0,737.0,932.0,273
AAPL,105.0,832.0,739.0,926.0,273
AAPL,110.0,824.0,723.0,909.0,273
AAPL,115.0,821.0,716.0,916.0,273
AAPL,120.0,830.0,737.0,921.0,273
AAPL,125.0,812.0,709.0,896.0,273
AAPL,130.0,800.0,687.0,893.0,273
AAPL,135.0,786.0,690.0,873.0,273
AAPL,140.0,779.0,671.0,870.0,273
AAPL,145.0,787.0,690.0,870.0,273
AAPL,150.0,798.0,699.0,901.0,273
AAPL,155.0,771.0,674.0,860.0,273
AAPL,160.0,760.0,655.0,837.0,273
AAPL,165.0,752.0,653.0,839.0,273
AAPL,170.0,746.0,623.0,835.0,273
AAPL,175.0,742.0,638.0,827.0,273
AAPL,180.0,741.0,638.0,826.0,273
AAPL,185.0,716.0,598.0,815.0,273
AAPL,190.0,713.0,620.0,799.0,273
AAPL,195.0,717.0,611.0,819.0,273
AAPL,200.0,710.0,605.0,809.0,273
AAPL,205.0,707.0,610.0,801.0,273
AAPL,210.0,720.0,623.25,824.5,270
AAPL,215.0,715.5,605.0,814.75,270
AAPL,220.0,711.0,610.5,802.75,270
AAPL,225.0,716.0,605.25,809.25,270
AAPL,230.0,703.0,604.25,800.25,270
AAPL,235.0,687.0,589.25,789.0,270
AAPL,240.0,708.5,618.25,796.0,270
AAPL,245.0,684.0,594.0,779.75,270
AAPL,250.0,690.5,586.25,792.0,270
AAPL,255.0,697.0,570.75,795.75,270
AAPL,260.0,681.5,584.5,788.0,270
AAPL,265.0,682.5,581.25,781.75,270
AAPL,270.0,753.5,647.75,836.75,270
AAPL,275.0,727.0,623.0,819.25,270
AAPL,280.0,727.5,624.0,825.5,270
AAPL,285.0,737.5,614.5,830.0,270
AAPL,290.0,728.0,614.0,843.5,270
AAPL,295.0,724.5,622.25,837.25,270
AAPL,300.0,740.5,623.75,830.75,270
AAPL,305.0,730.0,619.0,826.75,270
AAPL,310.0,726.5,619.5,842.75,270
AAPL,315.0,738.0,609.0,825.5,270
AAPL,320.0,740.0,615.25,839.25,270
AAPL,325.0,744.0,638.5,847.75,270
AAPL,330.0,787.0,663.0,894.0,270
AAPL,335.0,772.5,654.25,872.25,270
AAPL,340.0,771.5,661.25,879.0,270
AAPL,345.0,763.0,660.0,871.0,269
AAPL,350.0,782.0,670.0,879.0,269
AAPL,355.0,789.0,684.0,893.0,269
AAPL,360.0,821.0,726.0,918.0,269
AAPL,365.0,809.0,717.0,913.0,269
AAPL,370.0,858.0,754.0,947.0,269
AAPL,375.0,897.0,809.0,985.0,269
AAPL,380.0,928.0,855.0,1034.0,269
AAPL,385.0,1055.0,985.0,1130.0,269
AMZN,0.0,622.0,523.0,727.0,273
AMZN,5.0,631.5,528.75,724.25,272
AMZN,10.0,614.0,470.0,701.0,273
AMZN,15.0,577.0,469.0,674.0,273
AMZN,20.0,551.0,429.0,665.0,273
AMZN,25.0,522.0,414.25,637.25,272
AMZN,30.0,555.0,430.25,652.25,272
AMZN,35.0,494.5,382.75,604.75,272
AMZN,40.0,485.5,372.0,603.25,272
AMZN,45.0,463.0,363.5,577.0,272
AMZN,50.0,443.0,338.0,565.0,273
AMZN,55.0,434.0,344.0,552.0,273
AMZN,60.0,458.0,355.0,568.0,273
AMZN,65.0,444.0,319.0,545.0,273
AMZN,70.0,425.0,315.0,537.0,273
AMZN,75.0,422.0,314.0,522.0,273
AMZN,80.0,404.0,307.0,519.0,273
AMZN,85.0,400.0,310.0,525.0,273
AMZN,90.0,428.0,328.0,547.0,273
AMZN,95.0,407.0,298.0,524.0,273
AMZN,100.0,393.0,297.0,511.0,273
AMZN,105.0,399.0,292.0,502.0,273
AMZN,110.0,386.0,289.0,503.0,273
AMZN,115.0,393.0,286.0,504.0,273
AMZN,120.0,390.0,298.0,485.0,273
AMZN,125.0,368.0,280.0,464.0,273
AMZN,130.0,374.0,272.0,481.0,273
AMZN,135.0,370.0,272.0,467.0,273
AMZN,140.0,358.0,258.0,463.0,273
AMZN,145.0,337.0,257.0,460.0,273
AMZN,150.0,357.0,269.0,474.0,273
AMZN,155.0,329.0,243.0,458.0,273
AMZN,160.0,320.0,236.0,432.0,273
