symbol,phase,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant,changed_direction_count,repaired_A0_errors,introduced_errors
AAPL,development,A0,126,0.5621196754563895,0.14894830773554277,0.24411096100759513,0.6435091277890466,0.8448275862068966,0.27941176470588236,0.7777777777777778,False,0,0,0
AAPL,development,A1,126,0.5694726166328601,0.16452323457096157,0.24377615891181795,0.6442697768762676,0.8448275862068966,0.29411764705882354,0.7698412698412699,False,1,1,0
AAPL,development,A1_matchedC,126,0.5694726166328601,0.16452323457096157,0.24377615891181795,0.6442697768762676,0.8448275862068966,0.29411764705882354,0.7698412698412699,False,1,1,0
AAPL,later,A0,178,0.5386510041682455,0.08597676748504192,0.25577476582147957,0.5301250473664266,0.7586206896551724,0.31868131868131866,0.7191011235955056,False,0,0,0
AAPL,later,A1,178,0.544145509662751,0.09761350444267139,0.25557677297105885,0.5297461159530126,0.7586206896551724,0.32967032967032966,0.7134831460674157,False,1,1,0
AAPL,later,A1_matchedC,178,0.544145509662751,0.09761350444267139,0.25557677297105885,0.5297461159530126,0.7586206896551724,0.32967032967032966,0.7134831460674157,False,1,1,0
AAPL,train_forward_oof,A0,383,0.5268023223042669,0.052859072097666916,0.25766056155301725,0.5412039907558762,0.48672566371681414,0.5668789808917197,0.46475195822454307,False,0,0,0
AAPL,train_forward_oof,A1,383,0.5331717490558593,0.06547279876400185,0.2587912457167897,0.5327771827969111,0.48672566371681414,0.5796178343949044,0.4595300261096606,False,8,5,3
AAPL,train_forward_oof,A1_matchedC,383,0.5331717490558593,0.06547279876400185,0.2587912457167897,0.5327771827969111,0.48672566371681414,0.5796178343949044,0.4595300261096606,False,8,5,3
AMZN,development,A0,126,0.5111317254174397,0.02234950781338371,0.2718877788099645,0.5552610654651471,0.6326530612244898,0.38961038961038963,0.6190476190476191,False,0,0,0
AMZN,development,A1,126,0.5538033395176252,0.10655285708751011,0.28768163932485824,0.5430691757222369,0.6530612244897959,0.45454545454545453,0.5873015873015873,False,6,6,0
AMZN,development,A1_matchedC,126,0.5380333951762524,0.0766789256818966,0.26820212611122246,0.5632122979061754,0.673469387755102,0.4025974025974026,0.626984126984127,False,3,3,0
AMZN,later,A0,179,0.5085106382978724,0.017418199070209483,0.27222912692367146,0.5200250312891115,0.6170212765957447,0.4,0.6089385474860335,False,0,0,0
AMZN,later,A1,179,0.5118898623279099,0.02383347771245254,0.2835942945331632,0.5401752190237796,0.5531914893617021,0.47058823529411764,0.5418994413407822,False,14,7,7
AMZN,later,A1_matchedC,179,0.4989987484355445,-0.0020231178621957476,0.27190690982196547,0.5245306633291614,0.574468085106383,0.4235294117647059,0.5754189944134078,False,6,2,4
AMZN,train_forward_oof,A0,382,0.5217959655447615,0.04574289772518907,0.25617620131172997,0.5157828109089909,0.6748768472906403,0.3687150837988827,0.6544502617801047,False,0,0,0
AMZN,train_forward_oof,A1,382,0.4975231857335498,-0.004959158928629306,0.2561165316564731,0.5135536780691857,0.5369458128078818,0.4581005586592179,0.5392670157068062,False,58,23,35
AMZN,train_forward_oof,A1_matchedC,382,0.5205025180945042,0.04162892683458612,0.2582379854333138,0.508489968902221,0.6108374384236454,0.4301675977653631,0.5916230366492147,False,40,19,21
