version,symbol,method,n,BA,MCC,Brier
primary,AAPL,title,178,0.5189465706707086,0.0520255029092306,0.2693583552956159
primary,AAPL,price,178,0.5179360869016041,0.0446418922607754,0.2720273876456652
primary,AAPL,old_integrated,178,0.5569028672476948,0.1375323186719191,0.2630316122045606
primary,AAPL,body,178,0.5157256536566882,0.0717553715561435,0.3076305546940533
primary,AAPL,gate,178,0.5152204117721358,0.0584821151875992,0.3040904788083313
primary,AAPL,gate_cal,178,0.504484021725401,0.0204603669899043,0.30142981415704
primary,AMZN,title,179,0.4891739674593242,-0.0228121801353492,0.2771666055907212
primary,AMZN,price,179,0.4620150187734668,-0.0791546429543103,0.2677183872747597
primary,AMZN,old_integrated,179,0.4866708385481852,-0.0271486398785955,0.2610179222219996
primary,AMZN,body,179,0.4620150187734668,-0.0791546429543103,0.2677183872747597
primary,AMZN,gate,179,0.4620150187734668,-0.0791546429543103,0.2677183872747597
primary,AMZN,gate_cal,179,0.4690237797246558,-0.0635639564348663,0.2640615524809172
zero_bias,AAPL,body,178,0.5409245926487305,0.1065475005740924,0.2800501586587899
zero_bias,AAPL,static,178,0.5179360869016041,0.0446418922607754,0.2720273876456652
zero_bias,AAPL,gate,178,0.5179360869016041,0.0446418922607754,0.2720273876456652
zero_bias,AAPL,gate_cal,178,0.5296829607174435,0.0772798229472583,0.2712132377358432
zero_bias,AAPL,selected_system,178,0.5189465706707086,0.0520255029092306,0.2693583552956159
zero_bias,AAPL,online_weights,178,0.5349248452696729,0.0878502027062891,0.2730354617700168
zero_bias,AMZN,body,179,0.4620150187734668,-0.0791546429543103,0.2677183872747597
zero_bias,AMZN,static,179,0.4620150187734668,-0.0791546429543103,0.2677183872747597
zero_bias,AMZN,gate,179,0.4620150187734668,-0.0791546429543103,0.2677183872747597
zero_bias,AMZN,gate_cal,179,0.4690237797246558,-0.0635639564348663,0.2640615524809172
zero_bias,AMZN,selected_system,179,0.4891739674593242,-0.0228121801353492,0.2771666055907212
zero_bias,AMZN,online_weights,179,0.4620150187734668,-0.0791546429543103,0.2677183872747597
