period,slice,model,n,dates,BA,MCC,Brier,up_recall,down_recall,pred_up,actual_up,mean_probability
test,all,constant,179,60,0.5,0.0,0.25,1.0,0.0,1.0,0.5251396648044693,0.5
test,all,prior,179,60,0.5,0.0,0.24984999835880492,1.0,0.0,1.0,0.5251396648044693,0.5470941883767536
test,all,title,179,60,0.4891739674593242,-0.02281218013534929,0.2771666055907212,0.648936170212766,0.32941176470588235,0.659217877094972,0.5251396648044693,0.562908555635309
test,all,price,179,60,0.46201501877346685,-0.07915464295431036,0.2677183872747597,0.6063829787234043,0.3176470588235294,0.6424581005586593,0.5251396648044693,0.5495687342447313
test,all,old_body,179,60,0.5320400500625783,0.06498095084108173,0.2607895148300555,0.6170212765957447,0.4470588235294118,0.5865921787709497,0.5251396648044693,0.5101369680360361
test,all,old_semantic,179,60,0.522215269086358,0.047199601781982264,0.27112935241049163,0.6914893617021277,0.35294117647058826,0.6703910614525139,0.5251396648044693,0.5636056447218076
test,all,old_integrated,179,60,0.48667083854818527,-0.027148639878595577,0.2610179222219996,0.5851063829787234,0.38823529411764707,0.5977653631284916,0.5251396648044693,0.5288686245591335
test,all,body,179,60,0.46201501877346685,-0.07915464295431036,0.2677183872747597,0.6063829787234043,0.3176470588235294,0.6424581005586593,0.5251396648044693,0.5495687342447313
test,all,semantic,179,60,0.46201501877346685,-0.07915464295431036,0.2677183872747597,0.6063829787234043,0.3176470588235294,0.6424581005586593,0.5251396648044693,0.5495687342447313
test,all,static,179,60,0.46201501877346685,-0.07915464295431036,0.2677183872747597,0.6063829787234043,0.3176470588235294,0.6424581005586593,0.5251396648044693,0.5495687342447313
test,all,gate,179,60,0.46201501877346685,-0.07915464295431036,0.2677183872747597,0.6063829787234043,0.3176470588235294,0.6424581005586593,0.5251396648044693,0.5495687342447313
test,all,gate_cal,179,60,0.4690237797246558,-0.06356395643486637,0.2640615524809172,0.5851063829787234,0.35294117647058826,0.6145251396648045,0.5251396648044693,0.5419758021829645
test,all,primary_gate,179,60,0.46201501877346685,-0.07915464295431036,0.2677183872747597,0.6063829787234043,0.3176470588235294,0.6424581005586593,0.5251396648044693,0.5495687342447313
test,news,constant,84,34,0.5,0.0,0.25,1.0,0.0,1.0,0.5595238095238095,0.5
test,news,prior,84,34,0.5,0.0,0.24661141158163263,1.0,0.0,1.0,0.5595238095238095,0.5470941883767536
test,news,title,84,34,0.4367452558941921,-0.12575247920598617,0.29570667020470554,0.46808510638297873,0.40540540540540543,0.5238095238095238,0.5595238095238095,0.5038734253886252
test,news,price,84,34,0.4125934445083381,-0.17376706217554452,0.2929827120647038,0.44680851063829785,0.3783783783783784,0.5238095238095238,0.5595238095238095,0.5212943046776847
test,news,old_body,84,34,0.5543415756181713,0.12460403068253721,0.2757204114857473,0.2978723404255319,0.8108108108108109,0.25,0.5595238095238095,0.4417828482812145
test,news,old_semantic,84,34,0.5333525014376078,0.06630585267224726,0.28293227466514725,0.5531914893617021,0.5135135135135135,0.5238095238095238,0.5595238095238095,0.4989839740791904
test,news,old_integrated,84,34,0.4723979298447384,-0.05537956919223876,0.27870434010703643,0.40425531914893614,0.5405405405405406,0.42857142857142855,0.5595238095238095,0.47718335665718487
test,news,body,84,34,0.4125934445083381,-0.17376706217554452,0.2929827120647038,0.44680851063829785,0.3783783783783784,0.5238095238095238,0.5595238095238095,0.5212943046776847
