comparison,period,has_news,label,n,first_wins,second_wins,BA_contribution
body_vs_title,test,0,0,48,0,5,-0.029411764705882353
body_vs_title,test,0,1,47,5,0,0.026595744680851064
body_vs_title,test,1,0,37,16,1,0.08823529411764706
body_vs_title,test,1,1,47,4,12,-0.0425531914893617
body_vs_title,validation,0,0,31,0,4,-0.025974025974025976
body_vs_title,validation,0,1,22,8,1,0.07142857142857142
body_vs_title,validation,1,0,46,16,0,0.1038961038961039
body_vs_title,validation,1,1,27,3,6,-0.030612244897959183
body_vs_old_mix,test,0,0,48,0,5,-0.029411764705882353
body_vs_old_mix,test,0,1,47,8,0,0.0425531914893617
body_vs_old_mix,test,1,0,37,11,1,0.058823529411764705
body_vs_old_mix,test,1,1,47,1,6,-0.026595744680851064
body_vs_old_mix,validation,0,0,31,0,5,-0.032467532467532464
body_vs_old_mix,validation,0,1,22,9,0,0.09183673469387756
body_vs_old_mix,validation,1,0,46,8,0,0.05194805194805195
body_vs_old_mix,validation,1,1,27,1,4,-0.030612244897959183
title_vs_new_gate,test,0,0,48,1,1,0.0
title_vs_new_gate,test,0,1,47,3,0,0.015957446808510637
title_vs_new_gate,test,1,0,37,2,1,0.0058823529411764705
title_vs_new_gate,test,1,1,47,5,4,0.005319148936170213
title_vs_new_gate,validation,0,0,31,0,1,-0.006493506493506494
title_vs_new_gate,validation,0,1,22,2,0,0.02040816326530612
title_vs_new_gate,validation,1,0,46,4,4,0.0
title_vs_new_gate,validation,1,1,27,2,6,-0.04081632653061224
old_mix_vs_title,test,0,0,48,1,1,0.0
old_mix_vs_title,test,0,1,47,0,3,-0.015957446808510637
old_mix_vs_title,test,1,0,37,5,0,0.029411764705882353
old_mix_vs_title,test,1,1,47,4,7,-0.015957446808510637
old_mix_vs_title,validation,0,0,31,1,0,0.006493506493506494
old_mix_vs_title,validation,0,1,22,0,2,-0.02040816326530612
old_mix_vs_title,validation,1,0,46,8,0,0.05194805194805195
old_mix_vs_title,validation,1,1,27,2,2,0.0
