symbol,phase,period,method,n,BA,MCC,Brier,accuracy,up_recall,down_recall,pred_up,coverage,news_coverage,dates
AAPL,forward,all,title,440,0.5028963284777238,0.005720740813435487,0.2683534385237217,0.509090909090909,0.5387596899224806,0.46703296703296704,0.5363636363636364,1.0,0.990909090909091,147
AAPL,forward,all,price,440,0.5164835164835164,0.0324836111547288,0.2733822855782781,0.5136363636363637,0.5,0.532967032967033,0.4863636363636364,1.0,0.990909090909091,147
AAPL,forward,all,body,440,0.47122838401908174,-0.05689090186982442,0.27938746814026644,0.47954545454545455,0.5193798449612403,0.4230769230769231,0.5431818181818182,1.0,0.990909090909091,147
AAPL,forward,all,semantic,440,0.5076028622540251,0.01500339459612304,0.27637769701526255,0.5022727272727273,0.47674418604651164,0.5384615384615384,0.47045454545454546,1.0,0.990909090909091,147
AAPL,forward,all,joint_body,440,0.5109677144560866,0.021746598177119488,0.27920025347769306,0.5204545454545455,0.5658914728682171,0.45604395604395603,0.5568181818181818,1.0,0.990909090909091,147
AAPL,forward,all,joint_semantic,440,0.5156742482323877,0.03088242378434829,0.27513182948016995,0.5136363636363637,0.5038759689922481,0.5274725274725275,0.4909090909090909,1.0,0.990909090909091,147
AAPL,forward,all,static,440,0.5164835164835164,0.0324836111547288,0.2733822855782781,0.5136363636363637,0.5,0.532967032967033,0.4863636363636364,1.0,0.990909090909091,147
AAPL,forward,all,gate,440,0.5176122327285118,0.03469825703201301,0.27338080420648064,0.5159090909090909,0.5077519379844961,0.5274725274725275,0.49318181818181817,1.0,0.990909090909091,147
AAPL,forward,all,price_cal,440,0.5188900247039782,0.03732380197402057,0.2664923595983294,0.525,0.5542635658914729,0.4835164835164835,0.5386363636363637,1.0,0.990909090909091,147
AAPL,forward,all,static_cal,440,0.5188900247039782,0.03732380197402057,0.26649235959832945,0.525,0.5542635658914729,0.4835164835164835,0.5386363636363637,1.0,0.990909090909091,147
AAPL,forward,all,gate_cal,440,0.5216372774512309,0.042737299018018045,0.2664938354611068,0.5272727272727272,0.5542635658914729,0.489010989010989,0.5363636363636364,1.0,0.990909090909091,147
