symbol,phase,category,windows,with_analog
AAPL,development,acquisition,1,0
AAPL,development,earnings_preview,3,3
AAPL,development,earnings_unknown,6,0
AAPL,development,holding_decrease,1,1
AAPL,development,holding_increase,3,3
AAPL,development,holding_unknown,4,0
AAPL,development,legal,1,0
AAPL,development,no_excerpt,2,0
AAPL,development,product_change,6,5
AAPL,development,target_price_raise,9,9
AAPL,development,target_price_unknown,2,0
AAPL,development,unknown,88,0
AAPL,later,acquisition,3,2
AAPL,later,earnings_preview,4,4
AAPL,later,earnings_unknown,9,0
AAPL,later,holding_decrease,1,1
AAPL,later,holding_unknown,4,0
AAPL,later,labor,2,0
AAPL,later,legal,4,0
AAPL,later,product_change,7,7
AAPL,later,rating_downgrade,5,2
AAPL,later,target_price_lower,3,3
AAPL,later,target_price_unknown,4,0
AAPL,later,unknown,132,0
AAPL,train_oof,acquisition,4,0
AAPL,train_oof,earnings_preview,5,5
AAPL,train_oof,earnings_unknown,7,0
AAPL,train_oof,holding_decrease,44,43
AAPL,train_oof,holding_increase,54,54
AAPL,train_oof,holding_unknown,31,0
AAPL,train_oof,labor,3,1
AAPL,train_oof,legal,2,0
AAPL,train_oof,no_excerpt,4,0
AAPL,train_oof,product_change,17,14
AAPL,train_oof,rating_downgrade,1,1
AAPL,train_oof,rating_upgrade,2,2
AAPL,train_oof,target_price_raise,1,1
AAPL,train_oof,target_price_unknown,4,0
AAPL,train_oof,unknown,204,0
AMZN,development,earnings_unknown,1,0
AMZN,development,labor,2,0
AMZN,development,legal,2,0
AMZN,development,no_excerpt,63,0
AMZN,development,product_change,2,2
AMZN,development,target_price_raise,1,0
AMZN,development,unknown,55,0
AMZN,later,earnings_preview,1,1
AMZN,later,earnings_unknown,3,0
AMZN,later,holding_decrease,1,1
AMZN,later,no_excerpt,103,0
AMZN,later,unknown,71,0
AMZN,train_oof,earnings_unknown,2,0
AMZN,train_oof,holding_decrease,11,4
AMZN,train_oof,holding_increase,31,26
AMZN,train_oof,holding_unknown,7,0
AMZN,train_oof,labor,1,0
AMZN,train_oof,no_excerpt,203,0
AMZN,train_oof,product_change,5,2
AMZN,train_oof,unknown,122,0
