method,symbol,phase,n,BA,MCC,Brier,predicted_up,constant
F0,AAPL,development,126,0.5045638945233265,0.013001274187308592,0.260102851399259,0.8571428571428571,0
F0,AAPL,later,178,0.5189465706707086,0.05202550290923069,0.2693583552956159,0.8426966292134831,0
F0,AAPL,train_oof,383,0.5001831914773689,0.0003612870332648107,0.26498507019905926,0.5352480417754569,0
F0,AMZN,development,126,0.48330241187384043,-0.03289758474798845,0.27095076661399387,0.5714285714285714,0
F0,AMZN,later,179,0.4978723404255319,-0.004333585708320421,0.2676852632154346,0.5977653631284916,0
F0,AMZN,train_oof,382,0.5186724275531827,0.03940489707528027,0.257838956557549,0.662303664921466,0
R1,AAPL,development,126,0.5621196754563895,0.14894830773554277,0.24411096100759516,0.7777777777777778,0
R1,AAPL,later,178,0.5386510041682455,0.08597676748504192,0.25577476582147957,0.7191011235955056,0
R1,AAPL,train_oof,383,0.5268023223042669,0.052859072097666916,0.25766056155301725,0.46475195822454307,0
R1,AMZN,development,126,0.5111317254174397,0.02234950781338371,0.2718877788099645,0.6190476190476191,0
R1,AMZN,later,179,0.5085106382978724,0.017418199070209483,0.27222912692367146,0.6089385474860335,0
R1,AMZN,train_oof,382,0.5217959655447615,0.04574289772518907,0.25617620131172997,0.6544502617801047,0
F1,AAPL,development,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.7936507936507936,0
F1,AAPL,later,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0
F1,AAPL,train_oof,383,0.503029705202638,0.006144151764253761,0.2592606648817109,0.6214099216710183,0
F1,AMZN,development,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.42063492063492064,0
F1,AMZN,later,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.4692737430167598,0
F1,AMZN,train_oof,382,0.5326939483171423,0.06530258832057416,0.26055740634768043,0.4816753926701571,0
F2,AAPL,development,126,0.5413286004056794,0.10665141370746663,0.28029547508334307,0.8174603174603174,0
F2,AAPL,later,178,0.5671340154098775,0.15225387872362858,0.28557810785631715,0.7359550561797753,0
F2,AAPL,train_oof,383,0.5001831914773689,0.0003612870332648107,0.26018906778411555,0.5352480417754569,0
F2,AMZN,development,126,0.46289424860853434,-0.0728067416339465,0.297652395394459,0.5555555555555556,0
F2,AMZN,later,179,0.5426783479349186,0.08692663097278021,0.26169057480580954,0.5977653631284916,0
F2,AMZN,train_oof,382,0.4813963728431076,-0.038419557993187976,0.27485353855450334,0.6282722513089005,0
F6,AAPL,development,126,0.5035496957403651,0.015447815630555594,0.25729622065442287,0.9444444444444444,0
F6,AAPL,later,178,0.4939370973853733,-0.013658361895953085,0.2528519469342745,0.7303370786516854,0
F6,AAPL,train_oof,383,0.5533791781748492,0.11047960128035443,0.24517905373908971,0.6553524804177546,0
F6,AMZN,development,126,0.5250463821892393,0.050964719143762556,0.2651589066198111,0.6428571428571429,0
F6,AMZN,later,179,0.5115769712140176,0.024394527890402418,0.25453802398246317,0.659217877094972,0
F6,AMZN,train_oof,382,0.551352615791067,0.1104144292727165,0.2520400743004611,0.6858638743455497,0
P0,AAPL,development,126,0.5428498985801217,0.0861266842884389,0.2885166990661158,0.4365079365079365,0
P0,AAPL,later,178,0.5120626499936844,0.026672645706080453,0.3644543732412829,0.28651685393258425,0
P0,AAPL,train_oof,383,0.5264359393495293,0.053210375312158414,0.32406140229355274,0.39425587467362927,0
P0,AMZN,development,126,0.5640074211502784,0.12538389443735937,0.26275294867056603,0.4523809523809524,0
P0,AMZN,later,179,0.5614518147684606,0.12360173087009385,0.25045284600513906,0.5586592178770949,0
P0,AMZN,train_oof,382,0.5382530203373972,0.07691459081369448,0.2904177377138308,0.5602094240837696,0
P1,AAPL,development,126,0.5768255578093306,0.1798075515046387,0.24101827548275337,0.7619047619047619,0
P1,AAPL,later,178,0.5156624984211191,0.034061489518678496,0.2600342325451505,0.6966292134831461,0
P1,AAPL,train_oof,383,0.48972718561524153,-0.020326260954537954,0.2652627196615661,0.4464751958224543,0
P1,AMZN,development,126,0.5111317254174397,0.02234950781338371,0.27234650532029475,0.6190476190476191,0
P1,AMZN,later,179,0.5138297872340425,0.0283790593375868,0.2701554859213334,0.6145251396648045,0
P1,AMZN,train_oof,382,0.5193329113575694,0.04050198381363104,0.2587193837974518,0.6518324607329843,0
P2,AAPL,development,126,0.5502028397565923,0.10112618056102679,0.28062276248736273,0.42857142857142855,0
P2,AAPL,later,178,0.5063155235569028,0.014048491419124495,0.361194974831312,0.2808988764044944,0
P2,AAPL,train_oof,383,0.5169804407868779,0.03351517523815727,0.3251353376194392,0.4595300261096606,0
P2,AMZN,development,126,0.5640074211502784,0.12538389443735937,0.26090764829870416,0.4523809523809524,0
P2,AMZN,later,179,0.5667709637046308,0.13448784714204107,0.2491496050435852,0.5642458100558659,0
P2,AMZN,train_oof,382,0.5338085147370448,0.06857874556332014,0.2881711249293182,0.5890052356020943,0
P3,AAPL,development,126,0.5428498985801217,0.0861266842884389,0.2869512049655861,0.4365079365079365,0
P3,AAPL,later,178,0.506568144499179,0.014439962734836255,0.3564775900714911,0.29213483146067415,0
P3,AAPL,train_oof,383,0.5059184938842229,0.011710603019075365,0.33270296492853874,0.4464751958224543,0
P3,AMZN,development,126,0.5742115027829313,0.1451697641562223,0.25937645921032576,0.4603174603174603,0
P3,AMZN,later,179,0.5667709637046308,0.13448784714204107,0.24913579786257475,0.5642458100558659,0
P3,AMZN,train_oof,382,0.5372622946308171,0.07524978750571347,0.28798558307170735,0.5759162303664922,0
