method,symbol,month,n,BA,MCC,Brier,predicted_up,constant
F0,AAPL,2018-03,62,0.46875,-0.0625978857295168,0.3136431600178698,0.46774193548387094,0
F0,AAPL,2018-04,63,0.4949596774193548,-0.010826670965770146,0.28935095076251915,0.6825396825396826,0
F0,AAPL,2018-05,66,0.49440820130475305,-0.01114729533239837,0.24884666842086006,0.5454545454545454,0
F0,AAPL,2018-06,63,0.4907407407407407,-0.018731716231633878,0.256047995943431,0.3968253968253968,0
F0,AAPL,2018-07,60,0.5274725274725275,0.05315774339537505,0.24867832804680787,0.4166666666666667,0
F0,AAPL,2018-08,69,0.5098039215686274,0.018475274304048998,0.2367926452764008,0.6811594202898551,0
F0,AAPL,2018-09,57,0.49753694581280783,-0.007089880956935217,0.24875127751290874,0.8596491228070176,0
F0,AAPL,2018-10,69,0.5102564102564102,0.028886325786964755,0.2694802385227657,0.855072463768116,0
F0,AAPL,2018-11,60,0.5205784204671857,0.0640670789510079,0.2655753785206136,0.8833333333333333,0
F0,AAPL,2018-12,53,0.5681114551083591,0.15183249942890767,0.28236599956090924,0.7547169811320755,0
F0,AAPL,2019-01,63,0.4573804573804574,-0.12603755744009754,0.2581657890924156,0.873015873015873,0
F0,AAPL,2019-02,2,,0.0,0.3907109209162276,1.0,1
F0,AMZN,2018-03,62,0.408994708994709,-0.2284214675616841,0.3070502798322782,0.8064516129032258,0
F0,AMZN,2018-04,63,0.4107142857142857,-0.18430244519362143,0.2780053630602808,0.6349206349206349,0
F0,AMZN,2018-05,65,0.5199805068226121,0.03976768394980835,0.25229166937371317,0.4307692307692308,0
F0,AMZN,2018-06,63,0.6608695652173913,0.332773375305833,0.23142319162304187,0.6825396825396826,0
F0,AMZN,2018-07,60,0.55,0.11547005383792515,0.2479546332750298,0.75,0
F0,AMZN,2018-08,69,0.6116379310344828,0.23648875780580347,0.2331467913701451,0.6811594202898551,0
F0,AMZN,2018-09,57,0.42179802955665024,-0.15698501016068359,0.2784089890638216,0.543859649122807,0
