symbol,phase,base,block_days,BA_delta_low,BA_delta_high
AAPL,development,P0,1,0.0,0.0
AAPL,development,P1,1,-0.13980213840448194,0.05797143809631127
AAPL,development,P2,1,-0.023266225961538475,0.0
AAPL,development,R1,1,-0.13897858617131065,0.0820375504032258
AAPL,development,F2,1,-0.10965003431524108,0.11527355762939202
AMZN,development,P0,1,0.0,0.03307377049180328
AMZN,development,P1,1,-0.017383720930232507,0.13588706357048744
AMZN,development,P2,1,0.0,0.03307377049180328
AMZN,development,R1,1,-0.017383720930232507,0.13588706357048744
AMZN,development,F2,1,0.027832021585848646,0.19414619116698212
AAPL,development,P0,5,0.0,0.0
AAPL,development,P1,5,-0.15431097307874755,0.07987824675324667
AAPL,development,P2,5,-0.0234375,0.0
AAPL,development,R1,5,-0.14738977902168823,0.1039830556386018
AAPL,development,F2,5,-0.1130026701440636,0.11117207807682293
AMZN,development,P0,5,0.0,0.025862068965517297
AMZN,development,P1,5,-0.007662781549888727,0.13027777777777783
AMZN,development,P2,5,0.0,0.025862068965517297
AMZN,development,R1,5,-0.007662781549888727,0.13027777777777783
AMZN,development,F2,5,0.054591888083735954,0.16591233766233757
AAPL,later,P0,1,-0.023408948685857293,0.012537993920972657
AAPL,later,P1,1,-0.0928649647984033,0.08460993543758961
AAPL,later,P2,1,-0.021281279191880127,0.02298850574712641
AAPL,later,R1,1,-0.11704023919918768,0.06366781059852329
AAPL,later,F2,1,-0.14388126249375313,0.025343488649940318
AMZN,later,P0,1,0.0,0.01990594059405942
AMZN,later,P1,1,-0.0056399122884630126,0.11012663327526127
AMZN,later,P2,1,0.0,0.0
AMZN,later,R1,1,-0.0003200828947878424,0.11264925284629972
AMZN,later,F2,1,-0.05039179463208287,0.08991350085100079
AAPL,later,P0,5,-0.02375913547237077,0.012843320396972493
AAPL,later,P1,5,-0.08716239352752508,0.07336457986094573
AAPL,later,P2,5,-0.022533179565557445,0.025189933523266844
AAPL,later,R1,5,-0.1100332190957191,0.0380442415730336
AAPL,later,F2,5,-0.12760065871810303,0.015788893530121653
AMZN,later,P0,5,0.0,0.015625
AMZN,later,P1,5,0.0043318665426241776,0.11078390549335308
AMZN,later,P2,5,0.0,0.0
AMZN,later,R1,5,0.012027109204967327,0.1134773097273097
AMZN,later,F2,5,-0.022087663927735816,0.07396511391076602
AAPL,train_oof,P0,1,-0.05826322937125529,0.014320613320837373
AAPL,train_oof,P1,1,-0.045396484716967514,0.07507777790055184
AAPL,train_oof,P2,1,-0.04545977146286127,0.02463632190057549
AAPL,train_oof,R1,1,-0.08900990418347547,0.0456053880589476
AAPL,train_oof,F2,1,-0.0661756783815843,0.08386311042423042
AMZN,train_oof,P0,1,-0.023780116101157107,0.019738758009836287
AMZN,train_oof,P1,1,-0.024114418996714456,0.06306747596356577
AMZN,train_oof,P2,1,-0.007538627128791078,0.014212150702961937
AMZN,train_oof,R1,1,-0.034208889025255027,0.062257217295092995
AMZN,train_oof,F2,1,-0.0036507070998598305,0.11343925402785084
AAPL,train_oof,P0,5,-0.05294450060390117,0.012593835457801628
AAPL,train_oof,P1,5,-0.04104504163412631,0.07216638418340664
AAPL,train_oof,P2,5,-0.04428307950378163,0.019635827805048994
AAPL,train_oof,R1,5,-0.09676936556413085,0.046887915319225294
AAPL,train_oof,F2,5,-0.07867110951444016,0.07075000219406427
AMZN,train_oof,P0,5,-0.02087582571114779,0.016023593071508243
AMZN,train_oof,P1,5,-0.026456435288625096,0.06772490229817656
AMZN,train_oof,P2,5,-0.006708805112369227,0.015924775707384427
AMZN,train_oof,R1,5,-0.02840331442488952,0.06670685742767796
AMZN,train_oof,F2,5,0.0027505520152048173,0.11187036991953489
