method,symbol,phase,stratum,n,BA,MCC,Brier,predicted_up,constant
F0,AAPL,development,has_analog,21,0.4,-0.3402785236893603,0.26559357642937403,0.9047619047619048,0
F0,AAPL,development,no_analog,105,0.5252192982456141,0.0699143050685834,0.2590047063932359,0.8476190476190476,0
F0,AAPL,development,no_original_news,2,,0.0,0.219583675438098,0.5,0
F0,AAPL,later,has_analog,19,0.48809523809523814,-0.0314970394174356,0.24649815265228298,0.8421052631578947,0
F0,AAPL,later,no_analog,159,0.5226190476190476,0.06203719910259223,0.27209007762406456,0.8427672955974843,0
F0,AAPL,train_oof,has_analog,121,0.542032967032967,0.08448475393292929,0.26663795419950015,0.5619834710743802,0
F0,AAPL,train_oof,no_analog,262,0.48414322250639386,-0.030307353325802373,0.26422171537442807,0.5229007633587787,0
F0,AAPL,train_oof,no_original_news,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.75,0
F0,AMZN,development,has_analog,2,,0.0,0.23033987425433833,1.0,1
F0,AMZN,development,no_analog,124,0.47374965460071844,-0.05137045465603734,0.27160578100689153,0.5645161290322581,0
F0,AMZN,development,no_original_news,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5094339622641509,0
F0,AMZN,later,has_analog,2,,0.0,0.3456058504622342,0.5,0
F0,AMZN,later,no_analog,177,0.4989130434782609,-0.0022159677614386995,0.2668048046024764,0.5988700564971752,0
F0,AMZN,later,no_original_news,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6631578947368421,0
F0,AMZN,train_oof,has_analog,32,0.55,0.09759000729485331,0.2293521218139606,0.5625,0
F0,AMZN,train_oof,no_analog,350,0.5179149896927456,0.0381019749729649,0.26044346716267713,0.6714285714285714,0
F0,AMZN,train_oof,no_original_news,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.7282608695652174,0
R1,AAPL,development,has_analog,21,0.49090909090909096,-0.023124864503144014,0.2543396762505242,0.8095238095238095,0
R1,AAPL,development,no_analog,105,0.5762061403508771,0.1808130941803548,0.24206521795900932,0.7714285714285715,0
R1,AAPL,development,no_original_news,2,,0.0,0.219583675438098,0.5,0
R1,AAPL,later,has_analog,19,0.7023809523809523,0.4200412794412907,0.22504807597963236,0.6842105263157895,0
R1,AAPL,later,no_analog,159,0.5221428571428571,0.04941498525677939,0.2594465086327695,0.7232704402515723,0
R1,AAPL,train_oof,has_analog,121,0.578021978021978,0.15565955814123214,0.25155803817901595,0.48760330578512395,0
R1,AAPL,train_oof,no_analog,262,0.5065856777493606,0.012627208354540185,0.2604789025005522,0.4541984732824427,0
R1,AAPL,train_oof,no_original_news,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.75,0
R1,AMZN,development,has_analog,2,,0.0,0.154213668970492,1.0,1
R1,AMZN,development,no_analog,124,0.5033158331030672,0.006605254191557962,0.2737857483235044,0.6129032258064516,0
R1,AMZN,development,no_original_news,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5094339622641509,0
R1,AMZN,later,has_analog,2,,0.0,0.44652779881691396,0.0,1
R1,AMZN,later,no_analog,177,0.5152173913043478,0.031261216574968866,0.2702596504051037,0.615819209039548,0
R1,AMZN,later,no_original_news,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6631578947368421,0
R1,AMZN,train_oof,has_analog,32,0.5166666666666666,0.034815531191139566,0.2376153039849587,0.6875,0
R1,AMZN,train_oof,no_analog,350,0.5216943162854618,0.04547915687104442,0.25787319763874905,0.6514285714285715,0
R1,AMZN,train_oof,no_original_news,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.7282608695652174,0
F1,AAPL,development,has_analog,21,0.5409090909090909,0.11677484162422845,0.24742563735267145,0.8571428571428571,0
F1,AAPL,development,no_analog,105,0.5866228070175439,0.20866492373914294,0.2504845820030445,0.780952380952381,0
F1,AAPL,development,no_original_news,2,,0.0,0.219583675438098,0.5,0
F1,AAPL,later,has_analog,19,0.5595238095238095,0.14085904245475275,0.23415407676668232,0.7894736842105263,0
F1,AAPL,later,no_analog,159,0.5123809523809524,0.029535920985609868,0.2616643440745404,0.7735849056603774,0
F1,AAPL,train_oof,has_analog,121,0.5162087912087913,0.03415028981269522,0.2686138994079649,0.6611570247933884,0
F1,AAPL,train_oof,no_analog,262,0.5040281329923273,0.007859717881042387,0.25494104130279216,0.6030534351145038,0
F1,AAPL,train_oof,no_original_news,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.75,0
F1,AMZN,development,has_analog,2,,0.0,0.25008876184191997,0.5,0
F1,AMZN,development,no_analog,124,0.5563691627521414,0.11084036608416566,0.24810071060061784,0.41935483870967744,0
F1,AMZN,development,no_original_news,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5094339622641509,0
F1,AMZN,later,has_analog,2,,0.0,0.44412412688667524,0.0,1
F1,AMZN,later,no_analog,177,0.5491048593350383,0.09825999239677354,0.2562065996011127,0.4745762711864407,0
F1,AMZN,later,no_original_news,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6631578947368421,0
F1,AMZN,train_oof,has_analog,32,0.5333333333333333,0.09759000729485333,0.2755320126711559,0.125,0
F1,AMZN,train_oof,no_analog,350,0.5394293380452211,0.07880840699031931,0.25918829948381983,0.5142857142857142,0
F1,AMZN,train_oof,no_original_news,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.7282608695652174,0
F2,AAPL,development,has_analog,21,0.49090909090909096,-0.023124864503144014,0.24530474435287877,0.8095238095238095,0
F2,AAPL,development,no_analog,105,0.5515350877192983,0.13337211422530543,0.28729362122943586,0.819047619047619,0
F2,AAPL,development,no_original_news,2,,0.0,0.219583675438098,0.5,0
F2,AAPL,later,has_analog,19,0.5,0.0,0.27040225832227294,1.0,1
F2,AAPL,later,no_analog,159,0.5652380952380952,0.14273931310865395,0.2873915741528382,0.7044025157232704,0
