symbol,phase,base,stratum,n,corrected,broken,changed
AAPL,development,P0,all,126,0,0,0
AAPL,development,P0,has_analog,21,0,0,0
AAPL,development,P0,no_original_news,2,0,0,0
AAPL,development,P1,all,126,26,27,53
AAPL,development,P1,has_analog,21,1,1,2
AAPL,development,P1,no_original_news,2,0,0,0
AAPL,development,P2,all,126,0,1,1
AAPL,development,P2,has_analog,21,0,1,1
AAPL,development,P2,no_original_news,2,0,0,0
AAPL,development,R1,all,126,30,29,59
AAPL,development,R1,has_analog,21,5,3,8
AAPL,development,R1,no_original_news,2,0,0,0
AAPL,development,F2,all,126,32,28,60
AAPL,development,F2,has_analog,21,4,2,6
AAPL,development,F2,no_original_news,2,0,0,0
AAPL,later,P0,all,178,1,2,3
AAPL,later,P0,has_analog,19,1,2,3
AAPL,later,P0,no_original_news,0,0,0,0
AAPL,later,P1,all,178,57,57,114
AAPL,later,P1,has_analog,19,2,5,7
AAPL,later,P1,no_original_news,0,0,0,0
AAPL,later,P2,all,178,2,2,4
AAPL,later,P2,has_analog,19,2,2,4
AAPL,later,P2,no_original_news,0,0,0,0
AAPL,later,R1,all,178,56,60,116
AAPL,later,R1,has_analog,19,1,8,9
AAPL,later,R1,no_original_news,0,0,0,0
AAPL,later,F2,all,178,46,55,101
AAPL,later,F2,has_analog,19,3,8,11
AAPL,later,F2,no_original_news,0,0,0,0
AAPL,train_oof,P0,all,383,23,27,50
AAPL,train_oof,P0,has_analog,121,23,27,50
AAPL,train_oof,P0,no_original_news,4,0,0,0
AAPL,train_oof,P1,all,383,76,70,146
AAPL,train_oof,P1,has_analog,121,13,11,24
AAPL,train_oof,P1,no_original_news,4,0,0,0
AAPL,train_oof,P2,all,383,22,27,49
AAPL,train_oof,P2,has_analog,121,22,27,49
AAPL,train_oof,P2,no_original_news,4,0,0,0
AAPL,train_oof,R1,all,383,82,91,173
AAPL,train_oof,R1,has_analog,121,19,32,51
AAPL,train_oof,R1,no_original_news,4,0,0,0
AAPL,train_oof,F2,all,383,90,94,184
AAPL,train_oof,F2,has_analog,121,27,25,52
AAPL,train_oof,F2,no_original_news,4,0,0,0
AMZN,development,P0,all,126,1,0,1
AMZN,development,P0,has_analog,2,1,0,1
AMZN,development,P0,no_original_news,53,0,0,0
AMZN,development,P1,all,126,19,7,26
AMZN,development,P1,has_analog,2,0,0,0
AMZN,development,P1,no_original_news,53,0,0,0
AMZN,development,P2,all,126,1,0,1
AMZN,development,P2,has_analog,2,1,0,1
AMZN,development,P2,no_original_news,53,0,0,0
AMZN,development,R1,all,126,19,7,26
AMZN,development,R1,has_analog,2,0,0,0
AMZN,development,R1,no_original_news,53,0,0,0
AMZN,development,F2,all,126,25,9,34
AMZN,development,F2,has_analog,2,2,0,2
AMZN,development,F2,no_original_news,53,0,0,0
AMZN,later,P0,all,179,1,0,1
AMZN,later,P0,has_analog,2,1,0,1
AMZN,later,P0,no_original_news,95,0,0,0
AMZN,later,P1,all,179,21,12,33
AMZN,later,P1,has_analog,2,0,0,0
AMZN,later,P1,no_original_news,95,0,0,0
AMZN,later,P2,all,179,0,0,0
AMZN,later,P2,has_analog,2,0,0,0
AMZN,later,P2,no_original_news,95,0,0,0
AMZN,later,R1,all,179,22,12,34
AMZN,later,R1,has_analog,2,1,0,1
AMZN,later,R1,no_original_news,95,0,0,0
AMZN,later,F2,all,179,20,16,36
AMZN,later,F2,has_analog,2,0,0,0
AMZN,later,F2,no_original_news,95,0,0,0
AMZN,train_oof,P0,all,382,7,7,14
AMZN,train_oof,P0,has_analog,32,7,7,14
AMZN,train_oof,P0,no_original_news,184,0,0,0
AMZN,train_oof,P1,all,382,43,38,81
AMZN,train_oof,P1,has_analog,32,6,6,12
AMZN,train_oof,P1,no_original_news,184,0,0,0
AMZN,train_oof,P2,all,382,5,4,9
AMZN,train_oof,P2,has_analog,32,5,4,9
AMZN,train_oof,P2,no_original_news,184,0,0,0
AMZN,train_oof,R1,all,382,46,42,88
AMZN,train_oof,R1,has_analog,32,9,10,19
AMZN,train_oof,R1,no_original_news,184,0,0,0
AMZN,train_oof,F2,all,382,63,43,106
AMZN,train_oof,F2,has_analog,32,9,4,13
AMZN,train_oof,F2,no_original_news,184,0,0,0
