phase,day,n,BA_contribution,Brier_contribution
development,2018-09-04,3,0.0,-0.0005746558270515108
development,2018-09-05,3,0.0,-0.00494561176439267
development,2018-09-06,3,0.0,0.000548163744404166
development,2018-09-07,3,0.006493506493506494,-0.0034007204910262994
development,2018-09-10,3,0.0,0.00022824815677827554
development,2018-09-11,3,0.01020408163265306,-6.318546623851784e-05
development,2018-09-12,3,0.0,-0.0006718098028915624
development,2018-09-13,3,0.0,0.0
development,2018-09-14,3,0.0,0.0
development,2018-09-17,3,0.0,-0.00022380598431966323
development,2018-09-18,3,0.0,-0.002023308041502124
development,2018-09-19,3,0.0,7.900599361123658e-05
development,2018-09-20,3,0.0,0.0
development,2018-09-21,3,0.0,-0.003805490399043734
development,2018-09-24,3,-0.01020408163265306,0.00011400999448192944
development,2018-09-25,3,0.0,-0.00021670978212019192
development,2018-09-26,3,-0.01020408163265306,0.00016649851243927656
development,2018-09-27,3,0.0,0.002019084741481392
development,2018-09-28,3,0.0,0.0002740206063970354
development,2018-10-01,3,0.0,0.0
development,2018-10-02,3,0.0,-0.00017997061705314572
development,2018-10-03,3,0.0,0.0
development,2018-10-04,3,0.006493506493506494,-0.0055170723707766885
development,2018-10-05,3,0.006493506493506494,-0.0001806517883424524
development,2018-10-08,3,0.0,-0.007730952801225349
development,2018-10-09,3,0.0,-0.0014997801815308785
development,2018-10-10,3,0.006493506493506494,-0.0019515691344505716
development,2018-10-11,3,0.0,0.0
development,2018-10-12,3,0.0,0.0008238668764854387
development,2018-10-15,3,0.006493506493506494,-0.001006136523148976
development,2018-10-16,3,0.0,0.0
development,2018-10-17,3,0.0,0.0
development,2018-10-18,3,0.0,0.000648414799413093
development,2018-10-19,3,0.0,-0.0036396369439657024
development,2018-10-22,3,0.0,0.0
development,2018-10-23,3,0.0,0.0
development,2018-10-24,3,0.0,0.0
development,2018-10-25,3,0.0,-0.00046547109228034923
development,2018-10-26,3,0.0,-0.0027492885797307824
development,2018-10-29,3,0.006493506493506494,-0.0013113260982372753
development,2018-10-30,3,0.0,-0.003009915893357762
development,2018-10-31,3,0.0,-0.0002491317444236942
later,2018-11-01,3,0.0,0.00043744387494379095
later,2018-11-02,3,0.0,0.0
later,2018-11-05,3,0.0,-0.0010954708858865886
later,2018-11-06,3,0.0,-0.0006847081133507042
later,2018-11-07,3,0.0,0.0
later,2018-11-08,3,0.0,0.0
later,2018-11-09,3,0.0,0.0
later,2018-11-12,3,0.0,-0.001261049391370905
later,2018-11-13,3,0.0,-0.0010600841963518634
later,2018-11-14,3,0.0,0.0
later,2018-11-15,3,0.0,0.0006160987002468627
later,2018-11-16,3,0.0,0.0
later,2018-11-19,3,0.0058823529411764705,-0.002440696148006243
later,2018-11-20,3,0.0,-0.0010629946884974048
later,2018-11-21,3,0.0,-0.0019855341507696283
later,2018-11-26,3,0.0,0.0
later,2018-11-27,3,0.0,0.0
later,2018-11-28,3,0.0,0.0002778399383587997
later,2018-11-29,3,0.0,0.0005765907598588936
later,2018-11-30,3,-0.005319148936170213,0.0006658637088529561
later,2018-12-03,3,0.0058823529411764705,-0.003012176023768526
later,2018-12-04,3,0.0,0.00014919167221659268
later,2018-12-06,3,0.0,0.0026269482368223847
later,2018-12-07,3,0.0,0.0
later,2018-12-10,3,0.0,-0.0006784363717215328
later,2018-12-11,3,0.0,0.0
later,2018-12-12,3,0.0,0.0
later,2018-12-13,3,0.0,0.0005253794452064908
later,2018-12-14,3,0.0,0.0
later,2018-12-17,3,0.0058823529411764705,-0.0009810043352840735
later,2018-12-18,3,0.0,-0.0013444280565204155
later,2018-12-19,3,0.0005632040050062579,-3.0104204189469567e-05
later,2018-12-20,3,0.0,0.0
later,2018-12-21,3,0.0058823529411764705,-0.00017272010430518215
later,2018-12-26,3,0.0,0.0
later,2018-12-27,3,0.0,-0.0029137641307110645
later,2018-12-28,3,0.0,0.0
later,2018-12-31,3,0.0,0.0008868498004392484
later,2019-01-02,3,0.0,0.0
later,2019-01-03,3,0.0058823529411764705,0.00019327563008306615
later,2019-01-04,3,0.0,0.0
later,2019-01-07,3,0.0,0.00052779374773508
later,2019-01-08,3,0.0058823529411764705,-0.00024018467590499693
later,2019-01-09,3,0.0,0.0009097703194912679
later,2019-01-10,3,0.0,0.0
later,2019-01-11,3,0.0,0.0
later,2019-01-14,3,0.0,-0.0015106194362309842
later,2019-01-15,3,0.0,0.0
later,2019-01-16,3,0.0005632040050062579,-0.0009082842328619054
later,2019-01-17,3,0.0,-0.0018473242242811488
later,2019-01-18,3,0.0,0.0
later,2019-01-22,3,0.0,0.0
later,2019-01-23,3,0.0,0.0
later,2019-01-24,3,0.0,0.0
later,2019-01-25,3,0.0,0.0
later,2019-01-28,3,0.0,-0.00024034882433758185
later,2019-01-29,3,0.0,0.0005918082847668536
later,2019-01-30,3,0.0,-0.0017630467942713686
later,2019-01-31,3,-0.005319148936170213,0.0006761514062465836
later,2019-02-01,2,0.0,0.0
train_forward_oof,2018-03-01,3,-0.002793296089385475,0.00010487621292453508
train_forward_oof,2018-03-02,3,0.0,-8.808503931885921e-05
train_forward_oof,2018-03-05,3,0.0,0.0
train_forward_oof,2018-03-06,3,0.0,9.936056154297012e-05
train_forward_oof,2018-03-07,3,0.0,0.00012941164005072513
train_forward_oof,2018-03-08,3,0.0,0.00014841780352615444
