phase,subset,n,BA_contribution,Brier_contribution,N0M_n,N0M_BA,N0M_MCC,N0M_Brier,N0M_AUC,N0M_up_recall,N0M_down_recall,N0M_pred_up,N0M_constant,N1M_n,N1M_BA,N1M_MCC,N1M_Brier,N1M_AUC,N1M_up_recall,N1M_down_recall,N1M_pred_up,N1M_constant
development,all,126,0.0287569573283859,-0.04051488790161805,126,0.47588126159554733,-0.04718017335077224,0.30285263583212524,0.504108136761198,0.5102040816326531,0.44155844155844154,0.5396825396825397,False,126,0.5046382189239331,0.009049051209213435,0.2623377479305073,0.53829843625762,0.4897959183673469,0.5194805194805194,0.48412698412698413,False
development,news,73,0.028756957328385905,-0.04051488790161806,73,0.465780998389694,-0.06658727008911494,0.3311016019355261,0.4782608695652174,0.5185185185185185,0.41304347826086957,0.5616438356164384,False,73,0.5124798711755233,0.02415622876811428,0.2611717954204046,0.5169082125603864,0.48148148148148145,0.5434782608695652,0.4657534246575342,False
development,no_news,53,0.0,0.0,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,vector_changed,4,0.006493506493506494,-0.0014630564211315213,4,,0.0,0.22472209283838956,,,0.5,0.5,False,4,,0.0,0.17863581557274666,,,0.75,0.25,False
development,vector_unchanged,122,0.02226345083487941,-0.039051831480486535,122,0.47428012300810735,-0.050604876773936804,0.3054142929794609,0.49790327089740005,0.5102040816326531,0.4383561643835616,0.5409836065573771,False,122,0.49832261671792005,-0.0032896546363292136,0.26508207358158137,0.5286552977355327,0.4897959183673469,0.5068493150684932,0.4918032786885246,False
later,all,179,0.02578222778473091,-0.015571973463352717,179,0.5474342928660826,0.09733632116692667,0.26388807557928945,0.5658322903629537,0.6595744680851063,0.43529411764705883,0.6145251396648045,False,179,0.5732165206508135,0.1469118828605659,0.24831610211593677,0.5690863579474343,0.6170212765957447,0.5294117647058824,0.547486033519553,False
later,news,84,0.02578222778473091,-0.015571973463352717,84,0.5411155836687751,0.08223116733755031,0.2876150441705392,0.518688901667625,0.5957446808510638,0.4864864864864865,0.5595238095238095,False,84,0.6066705002875216,0.21482857931789248,0.2544319102426804,0.5675675675675675,0.5106382978723404,0.7027027027027027,0.4166666666666667,False
later,no_news,95,0.0,0.0,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6183510638297872,0.723404255319149,0.3958333333333333,0.6631578947368421,False,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6183510638297872,0.723404255319149,0.3958333333333333,0.6631578947368421,False
later,vector_changed,2,0.0,0.0003419647133487007,2,,0.0,0.15411308782517302,,,1.0,0.0,True,2,,0.0,0.18471892966988177,,,1.0,0.0,True
later,vector_unchanged,177,0.02578222778473091,-0.015913938176701416,177,0.540630607536529,0.08360890602318236,0.26512847092114394,0.5599846193283773,0.6595744680851063,0.42168674698795183,0.6214689265536724,False,177,0.5675467828761855,0.13561603862825844,0.24903471423397133,0.5638297872340425,0.6170212765957447,0.5180722891566265,0.5536723163841808,False
train_forward_oof,all,382,-0.002944656961224096,-0.002937516600143263,382,0.48698296502187854,-0.026806917475516508,0.27495563146986957,0.47992404436249547,0.6108374384236454,0.36312849162011174,0.6230366492146597,False,382,0.4840383080606544,-0.03234676863104415,0.27201811486972627,0.47631890359688467,0.5714285714285714,0.39664804469273746,0.5863874345549738,False
train_forward_oof,news,198,-0.0029446569612240963,-0.0029375166001432626,198,0.38972917731221257,-0.2206431397592043,0.3028021719766678,0.40408788962698006,0.4105263157894737,0.36893203883495146,0.5252525252525253,False,198,0.3767501277465508,-0.24732257300614208,0.2971348419703308,0.36382217680122636,0.3263157894736842,0.42718446601941745,0.45454545454545453,False
train_forward_oof,no_news,184,0.0,0.0,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.5841861598440545,0.7870370370370371,0.35526315789473684,0.7282608695652174,False,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.5841861598440545,0.7870370370370371,0.35526315789473684,0.7282608695652174,False
train_forward_oof,vector_changed,17,-0.0024630541871921183,-0.00031459757186304564,17,0.41666666666666663,-0.1690308509457033,0.2771421856970215,0.38888888888888895,0.5,0.3333333333333333,0.5882352941176471,False,17,0.35416666666666663,-0.2916666666666667,0.27007299319986366,0.44444444444444453,0.375,0.3333333333333333,0.5294117647058824,False
train_forward_oof,vector_unchanged,365,-0.00048160277403197765,-0.002622919028280218,365,0.4900452488687783,-0.02051041567464002,0.27485379195792004,0.4832277526395174,0.6153846153846154,0.36470588235294116,0.6246575342465753,False,365,0.4897435897435898,-0.02079707638123104,0.2721087095776377,0.47815987933634996,0.5794871794871795,0.4,0.589041095890411,False
