method,symbol,month,n,slope,temperature,fit_last_month,seconds,sha256
B1,AAPL,2018-03,0,1.0,1.0,,0.0007580840028822422,14042c41c39ab43bc50e387d10154cc42f745ca9be21a495cab12ecc3a876109
B1,AMZN,2018-03,0,1.0,1.0,,0.0004277499974705279,14042c41c39ab43bc50e387d10154cc42f745ca9be21a495cab12ecc3a876109
B1,AAPL,2018-04,62,0.010051835744633586,99.48431564193376,2018-03,0.0009732079925015569,a6d8d8ede5404a07077e2ee40deb098f7dfdb6c18b3c2fb7b776a3a7da87d744
B1,AMZN,2018-04,29,1.0,1.0,2018-03,0.0004372919793240726,8f97e20ab7e3e19fa864ef4b47ea818c221c0f5a91c609242ca75b6403c49a04
B1,AAPL,2018-05,122,0.010051835744633586,99.48431564193376,2018-04,0.0007156660140026361,c69108a5d87f776d97e0a7d52a475406a584fa971af36f6f98eca3fc2f3b49a2
B1,AMZN,2018-05,70,0.010051835744633586,99.48431564193376,2018-04,0.000633042014669627,a6fc168a0cdc2bf8d4f863a4f6f29f2d5832279a3c0bbad2fb72da59d6bd2a9d
B1,AAPL,2018-06,188,0.010051835744633586,99.48431564193376,2018-05,0.0007054580200929195,77cd0091b6cc4c51c338a1c563efecc42e38b66284c65de5ce1ec0c3aa330953
B1,AMZN,2018-06,110,0.010051835744633586,99.48431564193376,2018-05,0.0006121670012362301,f4be4cfac6eb156b06adf2b43b3a708b2c3a481d0d39332cc6db6351e91befef
B1,AAPL,2018-07,251,0.010051835744633586,99.48431564193376,2018-06,0.000833625002996996,0ff0d3b03fd696f13a880e3243f230a5de8daa9065f1afaf36dd2c7593addd94
B1,AMZN,2018-07,142,0.010051835744633586,99.48431564193376,2018-06,0.0006560420151799917,741423ba1e4f3c4032ee69c46cf2c1a4a2a2a5aebe6623d5e505dde50ef6e61d
B1,AAPL,2018-08,311,0.010051835744633586,99.48431564193376,2018-07,0.0008247499936260283,1600fe685549f28490ddd46b924a6dcd5447c3fbb7b74aba2ecf221bb34d99b7
B1,AMZN,2018-08,167,0.010051835744633586,99.48431564193376,2018-07,0.0006943340122234076,26fda68b2c5c1363b9edf85af683cae026777539c74dbb3768d6f31b8bed7a12
B1,AAPL,final,379,0.2311033172109277,4.327069001295647,2018-08,0.0016459169855806977,2987ef39c4a0474da15a5d55371087f3f9664f290caa06b09068339e0855e468
B1,AMZN,final,198,0.010051835744633586,99.48431564193376,2018-08,0.0007875840237829834,01e781e54858fd23a984477998adc975ac77a795d2e2213f9122b9fb9aa8ccbf
B3,AAPL,2018-03,0,1.0,1.0,,0.0003725840069819242,14042c41c39ab43bc50e387d10154cc42f745ca9be21a495cab12ecc3a876109
B3,AMZN,2018-03,0,1.0,1.0,,0.00038212499930523336,14042c41c39ab43bc50e387d10154cc42f745ca9be21a495cab12ecc3a876109
B3,AAPL,2018-04,62,0.010051835744633586,99.48431564193376,2018-03,0.0006296669889707118,a6d8d8ede5404a07077e2ee40deb098f7dfdb6c18b3c2fb7b776a3a7da87d744
B3,AMZN,2018-04,29,1.0,1.0,2018-03,0.00039354199543595314,8f97e20ab7e3e19fa864ef4b47ea818c221c0f5a91c609242ca75b6403c49a04
B3,AAPL,2018-05,122,0.018399990685238968,54.34785359985157,2018-04,0.001151333999587223,fc144f4b7730ce981f28f6c7fe5217b0aaef5208aa876a9aa95175ee9e8dbdf9
B3,AMZN,2018-05,70,0.010051835744633586,99.48431564193376,2018-04,0.0005948749894741923,a6fc168a0cdc2bf8d4f863a4f6f29f2d5832279a3c0bbad2fb72da59d6bd2a9d
B3,AAPL,2018-06,188,0.04796423232857275,20.8488690728881,2018-05,0.0010629169992171228,1da226627780c51b567e23bd9bf2d9dea26331e5c97d8a4de1b6aabe166ec3e1
B3,AMZN,2018-06,110,0.010051835744633586,99.48431564193376,2018-05,0.0006127909873612225,f4be4cfac6eb156b06adf2b43b3a708b2c3a481d0d39332cc6db6351e91befef
B3,AAPL,2018-07,251,0.010051835744633586,99.48431564193376,2018-06,0.0007889159896876663,0ff0d3b03fd696f13a880e3243f230a5de8daa9065f1afaf36dd2c7593addd94
B3,AMZN,2018-07,142,0.010051835744633586,99.48431564193376,2018-06,0.0006661249790340662,741423ba1e4f3c4032ee69c46cf2c1a4a2a2a5aebe6623d5e505dde50ef6e61d
B3,AAPL,2018-08,311,0.010051835744633586,99.48431564193376,2018-07,0.0009362499986309558,1600fe685549f28490ddd46b924a6dcd5447c3fbb7b74aba2ecf221bb34d99b7
B3,AMZN,2018-08,167,0.010051835744633586,99.48431564193376,2018-07,0.0008623750181868672,26fda68b2c5c1363b9edf85af683cae026777539c74dbb3768d6f31b8bed7a12
B3,AAPL,final,379,0.10125839084086057,9.875724783851417,2018-08,0.0014443749969359487,ef030d2815ed04b34de07b1357c4a41ebf55bbf99a0c525a554a97b753f3a6b2
B3,AMZN,final,198,0.010051835744633586,99.48431564193376,2018-08,0.0007906669925432652,01e781e54858fd23a984477998adc975ac77a795d2e2213f9122b9fb9aa8ccbf
