phase,symbol,month,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,2018-09,F0,57,0.49753694581280783,-0.007089880956935217,0.24875127751290874,0.6280788177339901,0.8571428571428571,0.13793103448275862,0.8596491228070176,False
development,AAPL,2018-10,F0,69,0.5102564102564102,0.028886325786964755,0.2694802385227657,0.5846153846153846,0.8666666666666667,0.15384615384615385,0.855072463768116,False
development,AAPL,2018-09,R1,57,0.6188423645320198,0.2831921951995806,0.23687878867299847,0.6748768472906405,0.8928571428571429,0.3448275862068966,0.7719298245614035,False
development,AAPL,2018-10,R1,69,0.5153846153846154,0.03698001308168194,0.25008536424052286,0.6205128205128204,0.8,0.23076923076923078,0.782608695652174,False
development,AAPL,2018-09,F1,57,0.6016009852216749,0.24917762935063273,0.2461162990471983,0.583743842364532,0.8928571428571429,0.3103448275862069,0.7894736842105263,False
development,AAPL,2018-10,F1,69,0.5615384615384615,0.15171348989784333,0.253162180420804,0.5632478632478632,0.8666666666666667,0.2564102564102564,0.7971014492753623,False
development,AAPL,2018-09,B0,57,0.5843596059113301,0.21373088995176615,0.24342446352926747,0.6933497536945814,0.8928571428571429,0.27586206896551724,0.8070175438596491,False
development,AAPL,2018-10,B0,69,0.5064102564102564,0.01676757576219862,0.3107541368019272,0.594017094017094,0.8333333333333334,0.1794871794871795,0.8260869565217391,False
development,AAPL,2018-09,B1,57,0.5843596059113301,0.21373088995176615,0.24016825942659448,0.7044334975369457,0.8928571428571429,0.27586206896551724,0.8070175438596491,False
development,AAPL,2018-10,B1,69,0.5064102564102564,0.01676757576219862,0.2532725792499684,0.5931623931623932,0.8333333333333334,0.1794871794871795,0.8260869565217391,False
development,AAPL,2018-09,B2,57,0.6545566502463054,0.3915799516634548,0.229382738786505,0.7364532019704434,0.9642857142857143,0.3448275862068966,0.8070175438596491,False
development,AAPL,2018-10,B2,69,0.4807692307692308,-0.054161860850558914,0.26565371800317966,0.6128205128205129,0.8333333333333334,0.1282051282051282,0.855072463768116,False
development,AAPL,2018-09,B3,57,0.6545566502463054,0.3915799516634548,0.24539587598021753,0.748768472906404,0.9642857142857143,0.3448275862068966,0.8070175438596491,False
development,AAPL,2018-10,B3,69,0.4807692307692308,-0.054161860850558914,0.2497618753323355,0.6094017094017095,0.8333333333333334,0.1282051282051282,0.855072463768116,False
development,AAPL,2018-09,N0M,57,0.5671182266009852,0.17644101780442445,0.2488920301891067,0.6477832512315271,0.8928571428571429,0.2413793103448276,0.8245614035087719,False
development,AAPL,2018-10,N0M,69,0.4897435897435898,-0.02600474629933897,0.2990354873114589,0.6051282051282052,0.8,0.1794871794871795,0.8115942028985508,False
development,AAPL,2018-09,N1M,57,0.5671182266009852,0.17644101780442445,0.2559502834485313,0.6428571428571428,0.8928571428571429,0.2413793103448276,0.8245614035087719,False
development,AAPL,2018-10,N1M,69,0.47692307692307695,-0.060363272743915036,0.32486552897669296,0.5837606837606837,0.8,0.15384615384615385,0.8260869565217391,False
development,AMZN,2018-09,F0,57,0.42179802955665024,-0.15698501016068359,0.2784089890638216,0.4236453201970444,0.4642857142857143,0.3793103448275862,0.543859649122807,False
development,AMZN,2018-10,F0,69,0.5520833333333333,0.0976086011803788,0.2647896263293537,0.6458333333333334,0.6666666666666666,0.4375,0.5942028985507246,False
development,AMZN,2018-09,R1,57,0.47598522167487683,-0.04977665340318334,0.26348832319443444,0.5197044334975369,0.6071428571428571,0.3448275862068966,0.631578947368421,False
development,AMZN,2018-10,R1,69,0.5416666666666666,0.07856742013183861,0.2788264595358372,0.6041666666666666,0.6666666666666666,0.4166666666666667,0.6086956521739131,False
development,AMZN,2018-09,F1,57,0.4716748768472906,-0.05817474046899912,0.2553051922206057,0.5012315270935961,0.35714285714285715,0.5862068965517241,0.38596491228070173,False
development,AMZN,2018-10,F1,69,0.65625,0.2890730751633232,0.24220680697950617,0.6815476190476191,0.6666666666666666,0.6458333333333334,0.4492753623188406,False
development,AMZN,2018-09,B0,57,0.41995073891625617,-0.16129479177027617,0.2759682940694396,0.5073891625615763,0.35714285714285715,0.4827586206896552,0.43859649122807015,False
development,AMZN,2018-10,B0,69,0.5446428571428572,0.08625819491779428,0.31556534866295327,0.5962301587301587,0.7142857142857143,0.375,0.6521739130434783,False
development,AMZN,2018-09,B1,57,0.41995073891625617,-0.16129479177027617,0.2566512074769024,0.4347290640394089,0.35714285714285715,0.4827586206896552,0.43859649122807015,False
development,AMZN,2018-10,B1,69,0.5446428571428572,0.08625819491779428,0.2554062535361917,0.6468253968253969,0.7142857142857143,0.375,0.6521739130434783,False
development,AMZN,2018-09,B2,57,0.4919950738916256,-0.01606933174873139,0.2850590943838931,0.5123152709359606,0.5357142857142857,0.4482758620689655,0.543859649122807,False
development,AMZN,2018-10,B2,69,0.5758928571428572,0.1431049438115632,0.31947797606176576,0.6001984126984127,0.7142857142857143,0.4375,0.6086956521739131,False
development,AMZN,2018-09,B3,57,0.4919950738916256,-0.01606933174873139,0.2567452269585378,0.4211822660098522,0.5357142857142857,0.4482758620689655,0.543859649122807,False
development,AMZN,2018-10,B3,69,0.5758928571428572,0.1431049438115632,0.2554232237054677,0.6507936507936508,0.7142857142857143,0.4375,0.6086956521739131,False
development,AMZN,2018-09,N0M,57,0.437192118226601,-0.1271919326431982,0.28568997211859576,0.5086206896551724,0.35714285714285715,0.5172413793103449,0.42105263157894735,False
development,AMZN,2018-10,N0M,69,0.5550595238095238,0.1054135332251651,0.3170304884650411,0.5892857142857143,0.7142857142857143,0.3958333333333333,0.6376811594202898,False
development,AMZN,2018-09,N1M,57,0.43657635467980294,-0.1302608319197154,0.25806664769871657,0.5036945812807881,0.32142857142857145,0.5517241379310345,0.38596491228070173,False
development,AMZN,2018-10,N1M,69,0.6071428571428572,0.19889806323953876,0.2658660481219865,0.6369047619047619,0.7142857142857143,0.5,0.5652173913043478,False
later,AAPL,2018-11,F0,60,0.5205784204671857,0.0640670789510079,0.2655753785206136,0.5105672969966629,0.9032258064516129,0.13793103448275862,0.8833333333333333,False
later,AAPL,2018-12,F0,53,0.5681114551083591,0.15183249942890767,0.28236599956090924,0.5882352941176471,0.8421052631578947,0.29411764705882354,0.7547169811320755,False
