phase,symbol,method,baseline,block_days,BA_low,BA_high,Brier_low,Brier_high
development,AAPL,B3,B1,1,-0.046132306422986345,0.07987248980529917,-0.01000454669852844,0.011761882541515492
development,AAPL,B3,B0,1,-0.046132306422986345,0.07987248980529917,-0.07405308131590979,0.013062205755995173
development,AAPL,B1,B0,1,0.0,0.0,-0.06439244214513434,0.002236994044092444
development,AAPL,N1M,N0M,1,-0.04287086153283335,0.02976412579957355,0.007061532514636947,0.026995308843467597
development,AAPL,B3,B1,5,-0.030002314814814825,0.07780283777017671,-0.009400631841570172,0.010203217786412963
development,AAPL,B3,B0,5,-0.030002314814814825,0.07780283777017671,-0.08227731351788031,0.014721173312694583
development,AAPL,B1,B0,5,0.0,0.0,-0.07279883647302758,0.0051681074617199825
development,AAPL,N1M,N0M,5,-0.04810727257004496,0.033336831639416746,0.005516236039493589,0.03133048184802089
development,AMZN,B3,B1,1,0.009306941052253213,0.11986932615423052,-0.0001795312519020355,0.0002690584463262316
development,AMZN,B3,B0,1,0.009306941052253213,0.11986932615423052,-0.0781558218988066,-0.010690741173505292
development,AMZN,B1,B0,1,0.0,0.0,-0.07817003454045961,-0.01064838800115498
development,AMZN,N1M,N0M,1,-0.013354380314715949,0.07354614549832861,-0.0653583818806653,-0.01831687949444482
development,AMZN,B3,B1,5,0.03125000000000003,0.10608101054924002,-9.859442967974896e-05,0.00021569759299702176
development,AMZN,B3,B0,5,0.03125000000000003,0.10608101054924002,-0.0796543836897907,-0.011548447720268688
development,AMZN,B1,B0,5,0.0,0.0,-0.07988752848456628,-0.011688935351047798
development,AMZN,N1M,N0M,5,-0.009390935727594312,0.07222587719298247,-0.06687651636410623,-0.01779572732140903
later,AAPL,B3,B1,1,-0.05674905487455605,0.057960641332351855,-0.008449420002910048,0.007114258594143342
later,AAPL,B3,B0,1,-0.05674905487455605,0.057960641332351855,-0.07010471713288845,0.00015570066531030784
later,AAPL,B1,B0,1,0.0,0.0,-0.06304856777187397,-0.006326456725278731
later,AAPL,N1M,N0M,1,-0.03416297355105031,0.022856909613375095,0.0007722832579946296,0.020224932748710938
later,AAPL,B3,B1,5,-0.08551054231636757,0.08448135180904245,-0.008515407439589525,0.00589213823057348
later,AAPL,B3,B0,5,-0.08551054231636757,0.08448135180904245,-0.06942460319688706,-0.00634073314800059
later,AAPL,B1,B0,5,0.0,0.0,-0.06151588256462718,-0.01182582793680552
later,AAPL,N1M,N0M,5,-0.034214690211191355,0.02632993774759478,0.0007484285351468149,0.022235789529151326
later,AMZN,B3,B1,1,-0.04390628476858034,0.03275760878874615,-0.0002370670714505322,0.00020323138312195444
later,AMZN,B3,B0,1,-0.04390628476858034,0.03275760878874615,-0.03823047197221464,0.006681383794403206
later,AMZN,B1,B0,1,0.0,0.0,-0.03829345796920962,0.006694923582670005
later,AMZN,N1M,N0M,1,-0.0007579413829413871,0.054800576915581725,-0.030956449747552503,-0.0015346293196372917
later,AMZN,B3,B1,5,-0.04500926094464246,0.04036805896805898,-0.00021380090595094395,0.0001634409254903676
later,AMZN,B3,B0,5,-0.04500926094464246,0.04036805896805898,-0.037005749873150535,0.00449297891969921
later,AMZN,B1,B0,5,0.0,0.0,-0.037184731567005476,0.0045718024465388335
later,AMZN,N1M,N0M,5,-0.0023890088356572667,0.061374146017997955,-0.028511442372027483,-0.0035693648769483423
train_forward_oof,AAPL,B3,B1,1,-0.013454181312092025,0.07810827538541351,-0.004217459262072187,0.001965984189109273
train_forward_oof,AAPL,B3,B0,1,-0.013454181312092025,0.07810827538541351,-0.013669332989401999,0.013582054323527631
train_forward_oof,AAPL,B1,B0,1,0.0,0.0,-0.012175947330345915,0.014062555675880642
train_forward_oof,AAPL,N1M,N0M,1,-0.02956987852468254,0.02784381154427062,-0.03589708985295626,-0.007816780783565883
train_forward_oof,AAPL,B3,B1,5,-0.010319940476190469,0.08114106288448389,-0.004952010846890976,0.0028613349352345848
train_forward_oof,AAPL,B3,B0,5,-0.010319940476190469,0.08114106288448389,-0.012006350678232166,0.012814093421455845
train_forward_oof,AAPL,B1,B0,5,0.0,0.0,-0.009543028728356284,0.012748800217088371
train_forward_oof,AAPL,N1M,N0M,5,-0.03626157899418538,0.03000128009688991,-0.03656260641047175,-0.005975897404690194
train_forward_oof,AMZN,B3,B1,1,-0.018182420029490543,0.025131888724992796,0.007276169240381178,0.03835124415018489
train_forward_oof,AMZN,B3,B0,1,-0.018182420029490543,0.025131888724992796,-0.00744875371774975,0.02930399612165005
train_forward_oof,AMZN,B1,B0,1,0.0,0.0,-0.022215320688818103,-0.0018091607101386445
train_forward_oof,AMZN,N1M,N0M,1,-0.023117206468341284,0.018548141753152638,-0.010060985375361304,0.003370443189006065
train_forward_oof,AMZN,B3,B1,5,-0.015916729308973643,0.027021103896103852,0.0038137567222767607,0.044760958327337425
train_forward_oof,AMZN,B3,B0,5,-0.015916729308973643,0.027021103896103852,-0.012238117445372973,0.036356835319751216
train_forward_oof,AMZN,B1,B0,5,0.0,0.0,-0.022731720911295255,-0.002099981187954604
train_forward_oof,AMZN,N1M,N0M,5,-0.021529174200982652,0.019793415171891666,-0.01185836655727326,0.00519383446370053
