company_id,ticker,issuer_name,CIK,exchange,sector,industry,effective_date_range,identity_confidence,identity_source,history_limitation,price_eligible_2018_2023
CIK0001045810,NVDA,NVIDIA CORP,1045810,Nasdaq,UNAVAILABLE,UNAVAILABLE,UNRESOLVED,CURRENT_SEC_MAPPING_ONLY,SEC company_tickers_exchange.json current snapshot,Modern mapping; ticker history and survivorship are not established.,0
CIK0000320193,AAPL,Apple Inc.,320193,Nasdaq,UNAVAILABLE,UNAVAILABLE,UNRESOLVED,CURRENT_SEC_MAPPING_ONLY,SEC company_tickers_exchange.json current snapshot,Modern mapping; ticker history and survivorship are not established.,1
CIK0001652044,GOOGL,Alphabet Inc.,1652044,Nasdaq,UNAVAILABLE,UNAVAILABLE,UNRESOLVED,CURRENT_SEC_MAPPING_ONLY,SEC company_tickers_exchange.json current snapshot,Modern mapping; ticker history and survivorship are not established.,0
CIK0000789019,MSFT,MICROSOFT CORP,789019,Nasdaq,UNAVAILABLE,UNAVAILABLE,UNRESOLVED,CURRENT_SEC_MAPPING_ONLY,SEC company_tickers_exchange.json current snapshot,Modern mapping; ticker history and survivorship are not established.,1
CIK0001018724,AMZN,AMAZON COM INC,1018724,Nasdaq,UNAVAILABLE,UNAVAILABLE,UNRESOLVED,CURRENT_SEC_MAPPING_ONLY,SEC company_tickers_exchange.json current snapshot,Modern mapping; ticker history and survivorship are not established.,1
CIK0001326801,META,"Meta Platforms, Inc.",1326801,Nasdaq,UNAVAILABLE,UNAVAILABLE,UNRESOLVED,CURRENT_SEC_MAPPING_ONLY,SEC company_tickers_exchange.json current snapshot,Modern mapping; ticker history and survivorship are not established.,0
CIK0001730168,AVGO,Broadcom Inc.,1730168,Nasdaq,UNAVAILABLE,UNAVAILABLE,UNRESOLVED,CURRENT_SEC_MAPPING_ONLY,SEC company_tickers_exchange.json current snapshot,Modern mapping; ticker history and survivorship are not established.,1
CIK0001318605,TSLA,"Tesla, Inc.",1318605,Nasdaq,UNAVAILABLE,UNAVAILABLE,UNRESOLVED,CURRENT_SEC_MAPPING_ONLY,SEC company_tickers_exchange.json current snapshot,Modern mapping; ticker history and survivorship are not established.,1
CIK0000723125,MU,MICRON TECHNOLOGY INC,723125,Nasdaq,UNAVAILABLE,UNAVAILABLE,UNRESOLVED,CURRENT_SEC_MAPPING_ONLY,SEC company_tickers_exchange.json current snapshot,Modern mapping; ticker history and survivorship are not established.,0
CIK0001067983,BRK-B,BERKSHIRE HATHAWAY INC,1067983,NYSE,UNAVAILABLE,UNAVAILABLE,UNRESOLVED,CURRENT_SEC_MAPPING_ONLY,SEC company_tickers_exchange.json current snapshot,Modern mapping; ticker history and survivorship are not established.,0
