record_id_hash,file,year,ticker,relationship,evidence_field,target_term_detected,provisional_method
5b09eab1a1ab814cdee5c8be82fcd5d07dea0725ec78ca9f7922cc9e1ce2c503,all,2010,AA,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
963514bb96e26482fa3bf7861645b457d0643456baeb3fe2ede2be80b29d2397,nasdaq,2021,BBD,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
e503567cebfd75d478fda28d1ff947ee45117ef28b6a1c282987be283e117bf5,all,2015,AAN,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
74777c6d3e8fd9533881334be806a7d0b5bd721082231f77305bfdcd8bab5612,all,2011,A,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
c0c3362c7bf91b1fb8ecb519c1bcb1561bdfc4deb53744aacf06e0d41f3c7e85,all,2015,HRTX,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
9e054805cd7108e80a61bc5994f505031ccc5d53304f7040f6ffd2415ee69ae7,nasdaq,2021,MSTR,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
083abe75b7731101cc90f2831e54015468727b305476e336f7d4dcd11d33e7ff,nasdaq,2017,TM,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
1e242d1af705801b0cee5f19f54dc4a12e751e3490598bfbbed128998e0690ca,nasdaq,2016,BBD,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
8375057291dbc4d4502a8f4a936bbd96f0f3c81ccd00897948eb5f4b1aa55f87,all,2015,HRTG,MULTI_COMPANY_INCLUDES_TARGET,title,True,deterministic lexical identity audit; not human gold
3a2ed9596a209a3458c98de2178b25ed6be2af16056fc34a74e0e33718308a7d,all,2018,AAOI,DIRECT_TARGET,title,True,deterministic lexical identity audit; not human gold
6ee2d07d78a49aee1a8d679cb116321d3285ae55533ff6c57385935f58ca0a2e,nasdaq,2022,PM,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
e09985fa9583265c61298848c1afec14c452e6ad838e20d9bd35ebdcf10c6539,nasdaq,2023,GSEE,NO_EVIDENCE_TARGET,title+body,False,deterministic lexical identity audit; not human gold
d71dfaf1726fc56610be81a1d3934f642ddffb803a9c66b85ddf3cd0934aa818,all,2011,AA,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
30270719d86513a2cdf85b0be071db8c2408a48797fb3638f5d15ba5c79169cb,all,2015,HRS,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
729940c47e7a9948d6327d0866018f84a1e37a1df5b65a8e5cc6be6cb34a5a6a,all,2009,A,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
a693397f420ae82d8b362f434e8ed4fc8dbe656de9a0cf5d32cd2aa17d4b2d4a,all,2018,HP,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
31194ff5972fa47304c4e5f1f651a25e4f4396cba1476ef1fcc4e89841b61b9f,nasdaq,2022,PM,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
091fce436932156733b9768611643cf5879ba024ef38528b4e4e79a9f9c4c8da,all,2010,HP,DIRECT_TARGET,title,True,deterministic lexical identity audit; not human gold
9218c269af4827807aa47b0f59fde62ea103575ab4c9db891911f5635757f970,all,2010,AA,MULTI_COMPANY_INCLUDES_TARGET,title,True,deterministic lexical identity audit; not human gold
eed8826b9df8215b06b5aa28721185c3ceb3cf86af52ec55cf92569d3b57aa39,all,2010,A,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
5278988be5142da4cd78a14cd7eade1e016c40d770cf94e19c9409b0e5102171,nasdaq,2023,A,NO_EVIDENCE_TARGET,title+body,False,deterministic lexical identity audit; not human gold
ee948d8357a1e21726aaa42fbbbaa9cb793a384ae6a4d5981dcbfd066afdcb47,nasdaq,2017,TM,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
7e034f9de7f39c2cd8b56b785a87044bfcf15395f0d9a980af075ad80d731041,nasdaq,2021,BBD,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
0b5ac467c644d3308bfcbf1e1a19df2f17584ee9ab81da620f4a48a6510b56d9,nasdaq,2017,TM,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
c88b07b296494e4446d0bfb0b999923375e12572e1a1cd4cd0a3ccfb696cc90d,all,2015,HQY,MULTI_COMPANY_INCLUDES_TARGET,title,True,deterministic lexical identity audit; not human gold
6b99ab06cecbca6738989668b0f163bf8d8f78f2d0b9e408bfcbc298f200c7e6,nasdaq,2017,TM,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
6e53a3cbf4db8e09bd8602e198c3f857ca2b860eafa29f2a753dca7263b8805a,nasdaq,2017,TM,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
764b411807ab85b6f0076624390ea431b355bccde7b005632d04b9d6ef261533,all,2009,A,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
741f2d426732dae00dc421fc89594170b76738687213fa34cab1a499ec3a944a,all,2017,AAP,MULTI_COMPANY_INCLUDES_TARGET,title,True,deterministic lexical identity audit; not human gold
29c0ddcdf010913fc614bd5bb1d2f29df29ee7f6c9e30ee7554624c37ee75d56,nasdaq,2023,GSEE,NO_EVIDENCE_TARGET,title+body,False,deterministic lexical identity audit; not human gold
500f53bbc3beef6e2ef68ac652ca2d4a69c791f894311c9b82d874f8422e92e0,all,2015,HRC,MULTI_COMPANY_INCLUDES_TARGET,title,True,deterministic lexical identity audit; not human gold
f1afe580cebd2d975f878046cf011780275dada7b58cc9f9b294269c98040259,all,2012,AA,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
34e27e6514a2b828d9b9cc7360ad5c3b6b85a21b632186f8400a286f7702ddde,all,2013,HOV,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
8fcf3f100dceedd1686f68829c821470bb04d9264d20d2f6374c4e4bb03e1fef,all,2020,HPQ,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
9ac3948f359bb1849b24546b476a5b3410507cbb14d49f9a90d251d898d3c893,all,2011,ABB,DIRECT_TARGET,title,True,deterministic lexical identity audit; not human gold
ce533a34bf43b584d09d8813d5c04ac4537956808642d3ccc2fd351184639aa2,all,2012,HSIC,DIRECT_TARGET,title,True,deterministic lexical identity audit; not human gold
469fb8644bd7f4b7c49d933f2dfff81bdb4d3f7f3ff9ad8c4ede1499439313f5,all,2013,AA,MULTI_COMPANY_INCLUDES_TARGET,title,True,deterministic lexical identity audit; not human gold
3971c2068351a8145f84bf4c97730f5506da87e7cf2371979553c508bc895339,all,2018,AA,DIRECT_TARGET,title,True,deterministic lexical identity audit; not human gold
6ce53870a49068342fe37f31f0edb1d01d86afd729c4b8d6240843d292bce703,all,2018,AA,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
8326183ed48790a101cfa7d742e1a720ace74cf251772fd7990a773e3ecf9685,nasdaq,2022,BBD,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
c2267c0417806b2a4a3d29064bbb55b9363412e641f160b106611e1527e89858,nasdaq,2022,PM,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
dae0fccaf824d9b1ac256bb6e3c1582f619480fa95b5489aa050a0f0bf21cbdc,nasdaq,2017,TM,NO_EVIDENCE_TARGET,title+body,False,deterministic lexical identity audit; not human gold
1232ce3faeb19adcf47ecdf2f2446447f520ab28cf05262a2a042f91bd591b23,nasdaq,2023,A,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
5fbc05edb96aacc9aa5d2015292d3abcf6248feb29749b3c7ffcd471b3d6e699,nasdaq,2017,TM,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
43333a9e3727fa8c523b5ca2f22a08df4857df9f4a1876b9b4f6d0b606dc788d,nasdaq,2018,BBD,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
9ee6377c43d3590f81dd4118bb20fb1fc2d0cc5530bcca22e4d6da3e84051757,all,2016,HSIC,MULTI_COMPANY_INCLUDES_TARGET,title,True,deterministic lexical identity audit; not human gold
cbb459a8ee07594ab13da274f79e5cc0a63a12913977e7b5a7843b94395bcdb1,all,2018,ABAX,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
365202a57a282fa4d83e7e9d8c005dec9a33a2bb4f4e02c185b69fba6de1f8fa,all,2017,AA,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
bc117f89368b99a214861cf7a983209b8a6c787b20430ad6c280061e7f6d1cf2,nasdaq,2023,GSEE,NO_EVIDENCE_TARGET,title+body,False,deterministic lexical identity audit; not human gold
895349a0e82614bea4e28d7f561c75c852a187fe86d73fb6f76271717954839b,nasdaq,2019,BBD,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
3f0cc5638041e3753ca14e2fe460bdb9913f10b36beb8e889d744afa44cd5f50,all,2017,ABBV,MULTI_COMPANY_INCLUDES_TARGET,title,True,deterministic lexical identity audit; not human gold
36e62cb187604bc37b755f9424e53cbe7fac596d736505b37bea960ffa036745,nasdaq,2023,A,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
6718ed4c5272c02decf5d9358283007a005e07e6011100dfe586a58a37f2ee20,nasdaq,2022,BBD,INDIRECT_OR_COMPETITOR,title+body,False,deterministic lexical identity audit; not human gold
be0749d444b2dba30f2d74d8a77a6582d4ad7f635a60faf41dee27c561397f0f,all,2019,AAP,MULTI_COMPANY_INCLUDES_TARGET,title,True,deterministic lexical identity audit; not human gold
070a777bb0f90082c51a6a1d6953a67bb41c73ee68757fee1ad3bacd19c181c7,all,2020,AA,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
71234de6b11eb0cdb8eda6e2f420596aabde665a4ea7bc21baa31e8c1dde6edb,nasdaq,2023,GSEE,INDIRECT_OR_COMPETITOR,title+body,False,deterministic lexical identity audit; not human gold
8b60f8d0567760cb03ea87acc0bbc0795f8261bca15d58d663c613ace9ba6dbd,all,2013,A,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
bfcc89649ff0902193330608b792820357b53e1e3ea0e260040e2a285220fd68,all,2016,HOV,NO_EVIDENCE_TARGET,title,False,deterministic lexical identity audit; not human gold
36911d2372a4d23c56602481d37eaf0edee552d7f9bdf04e5e4ad282ea6a4330,nasdaq,2017,TM,MULTI_COMPANY_INCLUDES_TARGET,title+body,True,deterministic lexical identity audit; not human gold
