symbol,first_date,last_date,trading_rows,rows_2018_2023,missing_ohlcv_rows,missing_ohlcv_rate,duplicate_dates,non_monotonic_dates,invalid_ohlc_rows,adjusted_close_available_fraction,price_eligible_2018_2023
RIV,2016-01-08,2023-12-28,2007,1508,0,0.0,0,0,0,1.0,1
ANTE,2007-11-07,2023-12-28,4063,1508,0,0.0,0,0,0,1.0,1
CSCO,1990-02-16,2020-04-01,7589,566,0,0.0,0,0,25,1.0,0
PRI,2010-04-01,2023-12-28,3460,1508,0,0.0,0,0,0,1.0,1
NZF,2001-10-03,2023-12-28,5598,1508,0,0.0,0,0,0,1.0,1
HLNE,2017-03-01,2020-07-02,842,630,0,0.0,0,0,0,1.0,0
HUBS,2014-10-09,2023-12-28,2321,1508,0,0.0,0,0,0,1.0,1
GPL,2006-05-31,2020-07-02,3548,630,0,0.0,0,0,0,1.0,0
PSM,2001-07-10,2020-07-01,1009,85,0,0.0,0,0,0,1.0,0
SBGI,1995-06-07,2020-07-02,6313,630,0,0.0,0,0,0,1.0,0
HTLFP,2020-06-22,2023-12-28,887,887,0,0.0,0,0,0,1.0,0
UFCS,1980-03-18,2023-12-28,11039,1508,0,0.0,0,0,1414,1.0,0
TEAF,2019-03-27,2023-12-28,1199,1199,0,0.0,0,0,0,1.0,0
RJZ,2007-10-18,2020-07-01,2914,447,0,0.0,0,0,0,1.0,0
GFED,1995-04-10,2020-06-19,6341,618,0,0.0,0,0,0,1.0,0
AIRT,1984-04-24,2023-12-28,10002,1508,0,0.0,0,0,0,1.0,1
SITC,2015-01-02,2020-07-02,1385,630,0,0.0,0,0,0,1.0,0
NXN,1992-06-19,2023-12-28,7940,1508,0,0.0,0,0,0,1.0,1
BNY,2001-07-27,2023-12-28,5641,1508,0,0.0,0,0,0,1.0,1
spxu,2009-06-25,2023-12-28,3653,1508,0,0.0,0,0,0,1.0,1
PPA,2005-10-26,2023-12-28,4574,1508,0,0.0,0,0,0,1.0,1
RHE,2016-02-16,2023-12-28,1886,1508,0,0.0,0,0,0,1.0,1
ISSC,2000-08-04,2020-07-02,5009,630,0,0.0,0,0,0,1.0,0
KNDI,2007-09-04,2023-12-28,4109,1508,0,0.0,0,0,0,1.0,1
EFT,2004-07-26,2023-12-28,4892,1508,0,0.0,0,0,0,1.0,1
USTB,2017-10-27,2020-07-02,664,620,0,0.0,0,0,0,1.0,0
TRNS,1977-12-05,2023-12-28,11616,1508,0,0.0,0,0,2215,1.0,0
xshd,2016-12-08,2023-12-28,1775,1508,0,0.0,0,0,0,1.0,1
BBSA,2019-03-13,2020-07-02,330,330,0,0.0,0,0,0,1.0,0
BCI,2017-03-31,2023-12-28,1698,1508,0,0.0,0,0,0,1.0,1
CARO,2014-05-14,2020-04-01,1482,566,0,0.0,0,0,0,1.0,0
BBRE,2020-07-02,2020-07-02,1,1,0,0.0,0,0,0,1.0,0
NTZ,1993-05-13,2023-12-28,7713,1508,0,0.0,0,0,0,1.0,1
AEIS,1995-11-17,2023-12-28,7076,1508,0,0.0,0,0,0,1.0,1
