file,year,source,records,EXACT_INTRADAY_USABLE,DATE_ONLY_CONSERVATIVE,AMBIGUOUS,INVALID,classifiable_fraction
all,2003,Все,20,0,20,0,0,1.0
all,2008,www.reuters.com,20,20,0,0,0,1.0
all,2009,Aurie Maine,3,0,3,0,0,1.0
all,2009,Benzinga Staff,20,0,20,0,0,1.0
all,2009,Benzinga Staff 5,2,0,2,0,0,1.0
all,2009,Benzinga Staff15,4,0,4,0,0,1.0
all,2009,BenzingaStaff1,11,0,11,0,0,1.0
all,2009,BenzingaStaff3,9,0,9,0,0,1.0
all,2009,BullBearTrades,1,0,1,0,0,1.0
all,2009,CPL,1,0,1,0,0,1.0
all,2009,CarpeDiem,20,0,20,0,0,1.0
all,2009,Charles Lewis Sizemore CFA,2,0,2,0,0,1.0
all,2009,Craig Jones,11,0,11,0,0,1.0
all,2009,EmergingMarkets,3,0,3,0,0,1.0
all,2009,Eric Mancini,5,0,5,0,0,1.0
all,2009,Marco Anthony,1,0,1,0,0,1.0
all,2009,Mark Moneymaster,3,0,3,0,0,1.0
all,2009,Market Rewind,1,0,1,0,0,1.0
all,2009,Monica Gerson,4,0,4,0,0,1.0
all,2009,Options_Guru,1,0,1,0,0,1.0
all,2009,Ryan Mallory,2,0,2,0,0,1.0
all,2009,Sleibhin,3,0,3,0,0,1.0
all,2009,Swing Trader,1,0,1,0,0,1.0
all,2009,Ted Friedman,2,0,2,0,0,1.0
all,2009,Terry Allen,1,0,1,0,0,1.0
all,2009,William Spencer,1,0,1,0,0,1.0
all,2009,Zacks,4,0,4,0,0,1.0
all,2009,inthemoneystocks,2,0,2,0,0,1.0
all,2009,prudentinvestor,4,0,4,0,0,1.0
all,2009,superman,4,0,4,0,0,1.0
all,2009,tradermark,20,0,20,0,0,1.0
all,2009,webmaster,20,0,20,0,0,1.0
all,2009,www.bloomberg.com,3,0,3,0,0,1.0
all,2009,www.reuters.com,20,20,0,0,0,1.0
all,2009,Все,20,0,20,0,0,1.0
all,2010,Above Average Odds,1,0,1,0,0,1.0
all,2010,Alex Furno,3,0,3,0,0,1.0
all,2010,Angry Bear,1,0,1,0,0,1.0
all,2010,Benzinga Staff,20,0,20,0,0,1.0
all,2010,Benzinga Staff 5,20,0,20,0,0,1.0
all,2010,BenzingaStaff3,7,0,7,0,0,1.0
all,2010,BenzingaStaffJ,1,0,1,0,0,1.0
all,2010,BenzingaStaffL,7,0,7,0,0,1.0
all,2010,BlindReason,1,0,1,0,0,1.0
all,2010,Bud Fox,13,0,13,0,0,1.0
all,2010,CarpeDiem,1,0,1,0,0,1.0
all,2010,Cliff Wachtel,6,0,6,0,0,1.0
all,2010,Craig Jones,20,0,20,0,0,1.0
all,2010,Daniel Hayden IV,11,0,11,0,0,1.0
all,2010,David Bettencourt,1,0,1,0,0,1.0
all,2010,David Lipton,1,0,1,0,0,1.0
all,2010,ETF Professor,3,0,3,0,0,1.0
all,2010,FollowMyAlpha,3,0,3,0,0,1.0
all,2010,Franklin Price,1,0,1,0,0,1.0
all,2010,Fred Fuld,1,0,1,0,0,1.0
all,2010,Gordon Wilcox,3,0,3,0,0,1.0
all,2010,Ian Wyatt,1,0,1,0,0,1.0
all,2010,Joe Young,10,0,10,0,0,1.0
all,2010,John Bougearel,2,0,2,0,0,1.0
all,2010,John Nyaradi,5,0,5,0,0,1.0
all,2010,Jonathan Chen,1,0,1,0,0,1.0
all,2010,Kevin McElroy,1,0,1,0,0,1.0
all,2010,Lisa Levin,20,0,20,0,0,1.0
all,2010,Marc Courtenay,1,0,1,0,0,1.0
all,2010,Marco Anthony,1,0,1,0,0,1.0
all,2010,Mark Fidelman,1,0,1,0,0,1.0
all,2010,Mark Moneymaster,7,0,7,0,0,1.0
all,2010,Mark Riddix,3,0,3,0,0,1.0
all,2010,Michael J. Zerinskas,20,0,20,0,0,1.0
all,2010,Michael Snyder,1,0,1,0,0,1.0
all,2010,Monica Gerson,20,0,20,0,0,1.0
all,2010,Oakshire Financial,8,0,8,0,0,1.0
all,2010,Options House,13,0,13,0,0,1.0
all,2010,Roger Nachman,20,0,20,0,0,1.0
all,2010,Roger Nusbaum,2,0,2,0,0,1.0
all,2010,Ronald Weisenstein,2,0,2,0,0,1.0
all,2010,Ryan Mallory,14,0,14,0,0,1.0
all,2010,Scott Rubin,15,0,15,0,0,1.0
all,2010,Sleibhin,3,0,3,0,0,1.0
all,2010,SmallCapVoice,5,0,5,0,0,1.0
