symbol,period,trading_days,days_with_eligible_pre_cutoff_news,news_coverage_fraction,sample_article_count,sample_publisher_count,sample_timestamp_classifiable_fraction,sample_title_available_fraction,sample_body_available_fraction,entity_audit_status,panel_selection_eligible,reason
A,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,56,24,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
AA,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,152,35,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
AAC,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,11,6,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
AAL,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,61,12,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
AAMC,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,2,2,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
AAME,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,3,2,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
AAN,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,31,16,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
AAOI,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,56,22,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
AAON,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,7,5,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
AAP,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,55,16,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
