normalized_alias,CIK,reason
visa,1403161,UNSAFE_SHORT_OR_COMMON_ALIAS
hsbc,1089113,UNSAFE_SHORT_OR_COMMON_ALIAS
hsbc,1089113,UNSAFE_SHORT_OR_COMMON_ALIAS
rtz,863064,UNSAFE_SHORT_OR_COMMON_ALIAS
ubs ag,1610520,UNSAFE_SHORT_OR_COMMON_ALIAS
service now com,1373715,UNSAFE_SHORT_OR_COMMON_ALIAS
capital one financial,927628,UNSAFE_SHORT_OR_COMMON_ALIAS
ase technology,1122411,UNSAFE_SHORT_OR_COMMON_ALIAS
ase industrial,1122411,UNSAFE_SHORT_OR_COMMON_ALIAS
cme,1156375,UNSAFE_SHORT_OR_COMMON_ALIAS
first bank system inc,36104,UNSAFE_SHORT_OR_COMMON_ALIAS
first bank system,36104,UNSAFE_SHORT_OR_COMMON_ALIAS
hca,860730,UNSAFE_SHORT_OR_COMMON_ALIAS
hca tn,860730,UNSAFE_SHORT_OR_COMMON_ALIAS
hca inc tn,860730,UNSAFE_SHORT_OR_COMMON_ALIAS
kkr,1404912,UNSAFE_SHORT_OR_COMMON_ALIAS
kkr co inc,1404912,UNSAFE_SHORT_OR_COMMON_ALIAS
kkr co l p,1404912,UNSAFE_SHORT_OR_COMMON_ALIAS
kkr l p,1404912,UNSAFE_SHORT_OR_COMMON_ALIAS
csx,277948,UNSAFE_SHORT_OR_COMMON_ALIAS
eni spa,1002242,UNSAFE_SHORT_OR_COMMON_ALIAS
eog resources inc,821189,UNSAFE_SHORT_OR_COMMON_ALIAS
eog resources,821189,UNSAFE_SHORT_OR_COMMON_ALIAS
nng inc,1133421,UNSAFE_SHORT_OR_COMMON_ALIAS
nng,1133421,UNSAFE_SHORT_OR_COMMON_ALIAS
fdx,1048911,UNSAFE_SHORT_OR_COMMON_ALIAS
ebay,1065088,UNSAFE_SHORT_OR_COMMON_ALIAS
kb financial,1445930,UNSAFE_SHORT_OR_COMMON_ALIAS
flex,866374,UNSAFE_SHORT_OR_COMMON_ALIAS
msci,1408198,UNSAFE_SHORT_OR_COMMON_ALIAS
jd com inc,1549802,UNSAFE_SHORT_OR_COMMON_ALIAS
jd com,1549802,UNSAFE_SHORT_OR_COMMON_ALIAS
okta,1660134,UNSAFE_SHORT_OR_COMMON_ALIAS
teck,886986,UNSAFE_SHORT_OR_COMMON_ALIAS
jwp de,105634,UNSAFE_SHORT_OR_COMMON_ALIAS
jwp inc de,105634,UNSAFE_SHORT_OR_COMMON_ALIAS
hp inc,47217,UNSAFE_SHORT_OR_COMMON_ALIAS
hp,47217,UNSAFE_SHORT_OR_COMMON_ALIAS
scg,1097864,UNSAFE_SHORT_OR_COMMON_ALIAS
lpl financial,1397911,UNSAFE_SHORT_OR_COMMON_ALIAS
itt wco,1524472,UNSAFE_SHORT_OR_COMMON_ALIAS
itt wco inc,1524472,UNSAFE_SHORT_OR_COMMON_ALIAS
ati,1018963,UNSAFE_SHORT_OR_COMMON_ALIAS
ati inc,1018963,UNSAFE_SHORT_OR_COMMON_ALIAS
f5 inc,1048695,UNSAFE_SHORT_OR_COMMON_ALIAS
f5,1048695,UNSAFE_SHORT_OR_COMMON_ALIAS
roku,1428439,UNSAFE_SHORT_OR_COMMON_ALIAS
roku,1428439,UNSAFE_SHORT_OR_COMMON_ALIAS
nrg energy,1013871,UNSAFE_SHORT_OR_COMMON_ALIAS
nrg energy inc,1013871,UNSAFE_SHORT_OR_COMMON_ALIAS
nrg energy,1013871,UNSAFE_SHORT_OR_COMMON_ALIAS
nrg energy inc,1013871,UNSAFE_SHORT_OR_COMMON_ALIAS
nrg energy,1013871,UNSAFE_SHORT_OR_COMMON_ALIAS
nrg energy inc,1013871,UNSAFE_SHORT_OR_COMMON_ALIAS
xpo inc,1166003,UNSAFE_SHORT_OR_COMMON_ALIAS
xpo,1166003,UNSAFE_SHORT_OR_COMMON_ALIAS
cf industries,1324404,UNSAFE_SHORT_OR_COMMON_ALIAS
bsg llc,1383312,UNSAFE_SHORT_OR_COMMON_ALIAS
nvr inc,906163,UNSAFE_SHORT_OR_COMMON_ALIAS
nvr,906163,UNSAFE_SHORT_OR_COMMON_ALIAS
cdw,929008,UNSAFE_SHORT_OR_COMMON_ALIAS
