CIK,company_id,ticker,issuer_name,provisional_FF12_industry,provisional_FF12_description,training_days,days_with_any_eligible_news,days_with_exact_time_news,days_with_date_only_news,news_coverage_fraction,article_count,unique_duplicate_group_count,publisher_count,body_available_record_count,title_only_record_count,exact_time_fraction,date_only_fraction,news_first_date,news_last_date,coverage_tier,industry_status,historical_industry,panel_eligible,selection_status,selection_reason
1001171,CIK0001001171,BYFC,BROADWAY FINANCIAL CORP \DE\,Money,Finance,1008,1,0,1,0.000992063492063492,1,1,0,1,0,0.0,1.0,2021-06-08,2021-06-08,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1114446,CIK0001114446,UCIB,UBS AG,Money,Finance,1008,1,0,1,0.000992063492063492,4,1,0,4,0,0.0,1.0,2021-12-23,2021-12-23,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1383057,CIK0001383057,DBP,Invesco DB Precious Metals Fund,Money,Finance,1008,1,0,1,0.000992063492063492,4,1,0,4,0,0.0,1.0,2019-02-22,2019-02-22,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1396878,CIK0001396878,UGA,"United States Gasoline Fund, LP",Money,Finance,1008,1,0,1,0.000992063492063492,1,1,0,1,0,0.0,1.0,2019-02-15,2019-02-15,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1415311,CIK0001415311,YCS,ProShares Trust II,Money,Finance,1008,1,0,1,0.000992063492063492,1,1,0,1,0,0.0,1.0,2020-04-09,2020-04-09,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
842717,CIK0000842717,BRBS,"BLUE RIDGE BANKSHARES, INC.",Money,Finance,1008,2,0,2,0.001984126984126984,2,2,0,2,0,0.0,1.0,2021-04-09,2021-10-19,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1161125,CIK0001161125,BCH,BANK OF CHILE,Money,Finance,1008,2,0,2,0.001984126984126984,2,2,0,2,0,0.0,1.0,2021-05-17,2021-11-22,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
2059653,CIK0002059653,LSBK,"Lake Shore Bancorp, Inc. /MD/",Money,Finance,1008,2,0,2,0.001984126984126984,2,2,0,2,0,0.0,1.0,2021-04-24,2021-05-13,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1090425,CIK0001090425,LAMR,LAMAR ADVERTISING CO/NEW,Money,Finance,1008,3,0,3,0.002976190476190476,7,3,0,7,0,0.0,1.0,2020-03-12,2021-02-02,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1353612,CIK0001353612,FXC,Invesco CurrencyShares Canadian Dollar Trust,Money,Finance,1008,3,0,3,0.002976190476190476,7,3,0,7,0,0.0,1.0,2018-01-30,2021-04-13,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1383151,CIK0001383151,UUP,Invesco DB US Dollar Index Bullish Fund,Money,Finance,1008,3,0,3,0.002976190476190476,11,3,0,11,0,0.0,1.0,2019-07-15,2021-11-15,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1788451,CIK0001788451,LIFE,Ethos Technologies Inc.,Money,Finance,1008,3,0,3,0.002976190476190476,8,5,0,8,0,0.0,1.0,2018-05-14,2021-09-14,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
763907,CIK0000763907,FUNC,FIRST UNITED CORP/MD/,Money,Finance,1008,4,0,4,0.003968253968253968,4,4,0,4,0,0.0,1.0,2021-04-18,2021-10-11,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1874071,CIK0001874071,PDLB,"Ponce Financial Group, Inc.",Money,Finance,1008,4,0,4,0.003968253968253968,7,4,0,7,0,0.0,1.0,2018-06-01,2021-10-27,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
724742,CIK0000724742,TPHS,Trinity Place Holdings Inc.,Money,Finance,1008,5,0,5,0.00496031746031746,34,5,2,0,34,0.0,1.0,2019-02-06,2019-11-29,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
765207,CIK0000765207,FNLC,"First Bancorp, Inc /ME/",Money,Finance,1008,5,0,5,0.00496031746031746,6,5,1,4,2,0.0,1.0,2018-10-17,2021-10-04,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1383082,CIK0001383082,DBA,INVESCO DB AGRICULTURE FUND,Money,Finance,1008,5,0,5,0.00496031746031746,24,5,0,24,0,0.0,1.0,2018-02-27,2021-02-16,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1472494,CIK0001472494,BNO,"United States Brent Oil Fund, LP",Money,Finance,1008,5,0,5,0.00496031746031746,18,5,0,18,0,0.0,1.0,2019-02-13,2019-04-17,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1605301,CIK0001605301,CBFV,"CB Financial Services, Inc.",Money,Finance,1008,5,0,5,0.00496031746031746,5,5,0,5,0,0.0,1.0,2020-11-28,2021-11-13,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
731653,CIK0000731653,UBCP,UNITED BANCORP INC /OH/,Money,Finance,1008,6,0,6,0.005952380952380952,10,6,0,10,0,0.0,1.0,2018-07-20,2021-09-04,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1383062,CIK0001383062,DBE,Invesco DB Energy Fund,Money,Finance,1008,6,0,6,0.005952380952380952,11,8,1,7,4,0.0,1.0,2018-07-06,2021-09-16,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
2058897,CIK0002058897,CIB,Grupo Cibest S.A.,Money,Finance,1008,6,0,6,0.005952380952380952,7,6,0,7,0,0.0,1.0,2018-10-16,2021-11-03,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
723646,CIK0000723646,FRAF,FRANKLIN FINANCIAL SERVICES CORP /PA/,Money,Finance,1008,7,0,7,0.006944444444444444,7,7,0,7,0,0.0,1.0,2020-10-31,2021-10-30,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
913059,CIK0000913059,BBAR,Banco BBVA Argentina S.A.,Money,Finance,1008,7,0,7,0.006944444444444444,12,7,0,12,0,0.0,1.0,2018-09-04,2021-09-13,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
913341,CIK0000913341,CFFI,C & F FINANCIAL CORP,Money,Finance,1008,7,0,7,0.006944444444444444,16,8,1,14,2,0.0,1.0,2018-03-08,2021-12-09,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1353613,CIK0001353613,FXY,Invesco CurrencyShares Japanese Yen Trust,Money,Finance,1008,7,0,7,0.006944444444444444,33,9,1,25,8,0.0,1.0,2018-01-11,2019-08-12,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
314489,CIK0000314489,BUSE,FIRST BUSEY CORP /NV/,Money,Finance,1008,8,0,8,0.007936507936507936,9,9,0,9,0,0.0,1.0,2021-01-16,2021-11-30,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
920427,CIK0000920427,UNTY,UNITY BANCORP INC /NJ/,Money,Finance,1008,8,0,8,0.007936507936507936,9,9,0,9,0,0.0,1.0,2021-05-13,2021-12-15,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1690437,CIK0001690437,BAR,GraniteShares Gold Trust,Money,Finance,1008,8,0,8,0.007936507936507936,26,8,0,26,0,0.0,1.0,2019-01-15,2020-12-29,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1098151,CIK0001098151,FDBC,FIDELITY D & D BANCORP INC,Money,Finance,1008,9,0,9,0.008928571428571428,18,9,0,18,0,0.0,1.0,2019-03-23,2021-10-01,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1332174,CIK0001332174,GSG,iShares S&P GSCI Commodity-Indexed Trust,Money,Finance,1008,11,0,11,0.010912698412698412,29,12,0,29,0,0.0,1.0,2018-08-15,2021-11-30,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1383058,CIK0001383058,DBO,Invesco DB Oil Fund,Money,Finance,1008,11,0,11,0.010912698412698412,19,11,0,19,0,0.0,1.0,2018-01-25,2021-12-20,LOW,INDUSTRY_STABLE,Money,True,EXCLUDED,not highest deterministic priority within tier
1913971,CIK0001913971,BPRN,"Princeton Bancorp, Inc.",Money,Finance,1008,11,0,11,0.010912698412698412,12,12,0,12,0,0.0,1.0,2020-11-07,2021-12-15,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1074902,CIK0001074902,LCNB,LCNB CORP,Money,Finance,1008,12,2,10,0.011904761904761904,53,12,4,27,26,0.07547169811320754,0.9245283018867925,2018-01-29,2021-12-15,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1637810,CIK0001637810,FSV,FirstService Corp,Money,Finance,1008,12,0,12,0.011904761904761904,22,13,0,22,0,0.0,1.0,2018-07-25,2021-07-27,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1675644,CIK0001675644,FVCB,"FVCBankcorp, Inc.",Money,Finance,1008,12,0,12,0.011904761904761904,24,12,0,24,0,0.0,1.0,2018-09-14,2021-11-09,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
736772,CIK0000736772,CCNE,CNB FINANCIAL CORP/PA,Money,Finance,1008,13,0,13,0.012896825396825396,25,13,0,25,0,0.0,1.0,2020-03-16,2021-12-18,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1157647,CIK0001157647,WNEB,"Western New England Bancorp, Inc.",Money,Finance,1008,13,0,13,0.012896825396825396,42,13,0,42,0,0.0,1.0,2018-10-16,2021-12-28,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1299969,CIK0001299969,CHCI,"Comstock Holding Companies, Inc.",Money,Finance,1008,13,0,13,0.012896825396825396,54,14,0,54,0,0.0,1.0,2018-05-24,2021-11-23,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
706863,CIK0000706863,UNB,UNION BANKSHARES INC,Money,Finance,1008,14,0,14,0.013888888888888888,15,14,1,13,2,0.0,1.0,2018-01-24,2021-11-10,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
715579,CIK0000715579,ACNB,ACNB CORP,Money,Finance,1008,15,2,13,0.01488095238095238,24,16,4,10,14,0.16666666666666666,0.8333333333333334,2018-03-26,2021-11-25,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1132651,CIK0001132651,ATLO,AMES NATIONAL CORP,Money,Finance,1008,15,2,13,0.01488095238095238,102,17,3,90,12,0.0392156862745098,0.9607843137254902,2019-01-30,2021-11-09,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1288855,CIK0001288855,OPHC,"OptimumBank Holdings, Inc.",Money,Finance,1008,15,1,15,0.01488095238095238,48,18,5,2,46,0.08333333333333333,0.9166666666666666,2018-05-17,2021-04-29,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
6207,CIK0000006207,AXR,AMREP CORP.,Money,Finance,1008,16,6,10,0.015873015873015872,48,25,6,2,46,0.25,0.75,2018-03-19,2021-10-28,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1327068,CIK0001327068,USO,"United States Oil Fund, LP",Money,Finance,1008,16,0,16,0.015873015873015872,32,18,0,32,0,0.0,1.0,2018-04-19,2021-11-24,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1499422,CIK0001499422,RBB,RBB Bancorp,Money,Finance,1008,16,0,16,0.015873015873015872,125,17,0,125,0,0.0,1.0,2018-07-20,2021-12-30,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
921557,CIK0000921557,RBCAA,REPUBLIC BANCORP INC /KY/,Money,Finance,1008,17,0,17,0.016865079365079364,58,18,0,58,0,0.0,1.0,2018-03-20,2021-12-10,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1260563,CIK0001260563,NFJ,"Virtus Dividend, Interest & Premium Strategy Fund",Money,Finance,1008,17,0,17,0.016865079365079364,31,18,3,11,20,0.0,1.0,2018-06-07,2020-06-11,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1531031,CIK0001531031,ESQ,"Esquire Financial Holdings, Inc.",Money,Finance,1008,17,0,17,0.016865079365079364,32,20,0,32,0,0.0,1.0,2018-02-02,2021-11-16,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1684425,CIK0001684425,PETZ,"TDH Holdings, Inc.",Money,Finance,1008,17,0,17,0.016865079365079364,45,19,0,45,0,0.0,1.0,2018-05-01,2021-12-28,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1689796,CIK0001689796,JBGS,JBG SMITH Properties,Money,Finance,1008,17,0,17,0.016865079365079364,55,17,2,15,40,0.0,1.0,2018-01-19,2021-07-21,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
921825,CIK0000921825,FR,FIRST INDUSTRIAL REALTY TRUST INC,Money,Finance,1008,18,0,18,0.017857142857142856,23,18,0,23,0,0.0,1.0,2018-07-06,2021-10-21,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1546652,CIK0001546652,OUNZ,VanEck Merk Gold ETF,Money,Finance,1008,18,0,18,0.017857142857142856,27,18,0,27,0,0.0,1.0,2018-06-29,2021-11-30,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1556727,CIK0001556727,FNWB,First Northwest Bancorp,Money,Finance,1008,20,0,20,0.01984126984126984,28,20,0,28,0,0.0,1.0,2018-11-28,2021-12-26,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1367859,CIK0001367859,CZWI,Citizens Community Bancorp Inc.,Money,Finance,1008,23,1,22,0.022817460317460316,56,29,5,16,40,0.03571428571428571,0.9642857142857143,2018-01-26,2021-10-15,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
1408534,CIK0001408534,FGBI,"First Guaranty Bancshares, Inc.",Money,Finance,1008,23,0,23,0.022817460317460316,38,23,1,30,8,0.0,1.0,2018-03-16,2021-12-15,LOW,NOT_VALIDATED,,False,EXCLUDED,industry validation/eligibility failed
