CIK,ticker,issuer_name,training_period_SIC_evidence,derived_FF12_industry,industry_status,source,mapping_source,mapping_sha256
1591956,ANY,DarkHorse Technologies Inc.,"[{""filing_date"":""2018-03-21"",""accession"":""0001591956-18-000014"",""form"":""10-K"",""SIC"":7374,""FF12"":""BusEq""},{""filing_date"":""2021-04-09"",""accession"":""0001591956-21-000010"",""form"":""20-F"",""SIC"":7374,""FF12"":""BusEq""}]",BusEq,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1168455,PLBC,PLUMAS BANCORP,"[{""filing_date"":""2018-03-12"",""accession"":""0001437749-18-004387"",""form"":""10-K"",""SIC"":6153,""FF12"":""Money""},{""filing_date"":""2021-11-10"",""accession"":""0001437749-21-026019"",""form"":""10-Q"",""SIC"":6153,""FF12"":""Money""}]",Money,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1275101,BOTJ,BANK OF THE JAMES FINANCIAL GROUP INC,"[{""filing_date"":""2018-03-21"",""accession"":""0001193125-18-090457"",""form"":""10-K"",""SIC"":6022,""FF12"":""Money""},{""filing_date"":""2021-11-12"",""accession"":""0001562762-21-000447"",""form"":""10-Q"",""SIC"":6022,""FF12"":""Money""}]",Money,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1431567,OVLY,Oak Valley Bancorp,"[{""filing_date"":""2018-03-15"",""accession"":""0001437749-18-004751"",""form"":""10-K"",""SIC"":6022,""FF12"":""Money""},{""filing_date"":""2021-11-10"",""accession"":""0001437749-21-026156"",""form"":""10-Q"",""SIC"":6022,""FF12"":""Money""}]",Money,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1383058,DBO,Invesco DB Oil Fund,"[{""filing_date"":""2018-02-28"",""accession"":""0001564590-18-003594"",""form"":""10-K"",""SIC"":6221,""FF12"":""Money""},{""filing_date"":""2021-11-05"",""accession"":""0001564590-21-054593"",""form"":""10-Q"",""SIC"":6221,""FF12"":""Money""}]",Money,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1466026,MSBI,"Midland States Bancorp, Inc.","[{""filing_date"":""2018-03-06"",""accession"":""0001558370-18-001567"",""form"":""10-K"",""SIC"":6022,""FF12"":""Money""},{""filing_date"":""2021-11-04"",""accession"":""0001466026-21-000012"",""form"":""10-Q"",""SIC"":6022,""FF12"":""Money""}]",Money,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1298675,CUBE,CubeSmart,"[{""filing_date"":""2018-02-16"",""accession"":""0001298675-18-000006"",""form"":""10-K"",""SIC"":6798,""FF12"":""Money""},{""filing_date"":""2021-11-05"",""accession"":""0001298675-21-000044"",""form"":""10-Q"",""SIC"":6798,""FF12"":""Money""}]",Money,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1084961,ECPG,ENCORE CAPITAL GROUP INC,"[{""filing_date"":""2018-02-21"",""accession"":""0001084961-18-000013"",""form"":""10-K"",""SIC"":6153,""FF12"":""Money""},{""filing_date"":""2021-11-03"",""accession"":""0001084961-21-000116"",""form"":""10-Q"",""SIC"":6153,""FF12"":""Money""}]",Money,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1488813,CUBI,"Customers Bancorp, Inc.","[{""filing_date"":""2018-08-09"",""accession"":""0001488813-18-000028"",""form"":""10-Q"",""SIC"":6022,""FF12"":""Money""},{""filing_date"":""2021-11-08"",""accession"":""0001488813-21-000168"",""form"":""10-Q"",""SIC"":6022,""FF12"":""Money""}]",Money,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1472787,FAF,First American Financial Corp,"[{""filing_date"":""2018-02-16"",""accession"":""0001564590-18-002317"",""form"":""10-K"",""SIC"":6361,""FF12"":""Money""},{""filing_date"":""2021-10-22"",""accession"":""0001564590-21-051489"",""form"":""10-Q"",""SIC"":6361,""FF12"":""Money""}]",Money,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
