CIK,company_id,canonical_issuer_name,ticker,exchange,former_names,effective_information_date,SEC_current_SIC,SEC_current_SIC_description,identity_source,identity_confidence,aliases
320193,CIK0000320193,Apple Inc.,AAPL,Nasdaq,"[{""name"":""APPLE INC"",""from"":""2007-01-10T05:00:00.000Z"",""to"":""2019-08-05T04:00:00.000Z""},{""name"":""APPLE COMPUTER INC"",""from"":""1994-01-26T05:00:00.000Z"",""to"":""2007-01-04T05:00:00.000Z""},{""name"":""APPLE COMPUTER INC/ FA"",""from"":""1997-07-28T04:00:00.000Z"",""to"":""1997-07-28T04:00:00.000Z""}]",2026-09-19_CURRENT_SNAPSHOT,3571,Electronic Computers,SEC submissions bulk + company_tickers_exchange,CURRENT_LISTED_IDENTITY_VERIFIED,"[""apple"",""apple computer"",""apple computer fa"",""apple computer inc"",""apple computer inc fa"",""apple inc""]"
789019,CIK0000789019,MICROSOFT CORP,MSFT,Nasdaq,[],2026-09-19_CURRENT_SNAPSHOT,7372,Services-Prepackaged Software,SEC submissions bulk + company_tickers_exchange,CURRENT_LISTED_IDENTITY_VERIFIED,"[""microsoft"",""microsoft corp""]"
1018724,CIK0001018724,AMAZON COM INC,AMZN,Nasdaq,[],2026-09-19_CURRENT_SNAPSHOT,5961,Retail-Catalog & Mail-Order Houses,SEC submissions bulk + company_tickers_exchange,CURRENT_LISTED_IDENTITY_VERIFIED,"[""amazon com"",""amazon com inc""]"
1730168,CIK0001730168,Broadcom Inc.,AVGO,Nasdaq,"[{""name"":""Broadcom Ltd"",""from"":""2018-02-06T05:00:00.000Z"",""to"":""2018-03-09T05:00:00.000Z""}]",2026-09-19_CURRENT_SNAPSHOT,3674,Semiconductors & Related Devices,SEC submissions bulk + company_tickers_exchange,CURRENT_LISTED_IDENTITY_VERIFIED,"[""broadcom"",""broadcom inc"",""broadcom ltd""]"
1318605,CIK0001318605,"Tesla, Inc.",TSLA,Nasdaq,"[{""name"":""TESLA MOTORS INC"",""from"":""2005-02-17T05:00:00.000Z"",""to"":""2017-01-27T05:00:00.000Z""}]",2026-09-19_CURRENT_SNAPSHOT,3711,Motor Vehicles & Passenger Car Bodies,SEC submissions bulk + company_tickers_exchange,CURRENT_LISTED_IDENTITY_VERIFIED,"[""tesla"",""tesla inc"",""tesla motors"",""tesla motors inc""]"
104169,CIK0000104169,Walmart Inc.,WMT,Nasdaq,"[{""name"":""Walmart Inc."",""from"":""2018-01-31T05:00:00.000Z"",""to"":""2026-09-18T04:00:00.000Z""},{""name"":""WAL MART STORES INC"",""from"":""1994-02-14T05:00:00.000Z"",""to"":""2018-01-30T05:00:00.000Z""}]",2026-09-19_CURRENT_SNAPSHOT,5331,Retail-Variety Stores,SEC submissions bulk + company_tickers_exchange,CURRENT_LISTED_IDENTITY_VERIFIED,"[""wal mart stores"",""wal mart stores inc"",""walmart"",""walmart inc""]"
1403161,CIK0001403161,VISA INC.,V,NYSE,[],2026-09-19_CURRENT_SNAPSHOT,7389,"Services-Business Services, NEC",SEC submissions bulk + company_tickers_exchange,CURRENT_LISTED_IDENTITY_VERIFIED,"[""visa inc""]"
2115436,CIK0002115436,ExxonMobil Holdings Corp,XOM,NYSE,[],2026-09-19_CURRENT_SNAPSHOT,2911,Petroleum Refining,SEC submissions bulk + company_tickers_exchange,CURRENT_LISTED_IDENTITY_VERIFIED,"[""exxonmobil"",""exxonmobil holdings corp""]"
937966,CIK0000937966,ASML HOLDING NV,ASML,Nasdaq,"[{""name"":""ASM LITHOGRAPHY HOLDING NV"",""from"":""1995-05-19T00:00:00.000Z"",""to"":""2001-02-16T00:00:00.000Z""}]",2026-09-19_CURRENT_SNAPSHOT,3559,"Special Industry Machinery, NEC",SEC submissions bulk + company_tickers_exchange,CURRENT_LISTED_IDENTITY_VERIFIED,"[""asm lithography holding nv"",""asm lithography nv"",""asml holding nv"",""asml nv""]"
50863,CIK0000050863,INTEL CORP,INTC,Nasdaq,[],2026-09-19_CURRENT_SNAPSHOT,3674,Semiconductors & Related Devices,SEC submissions bulk + company_tickers_exchange,CURRENT_LISTED_IDENTITY_VERIFIED,"[""intel"",""intel corp""]"
