source_file,year,records,EXACT_INTRADAY_USABLE,DATE_ONLY_CONSERVATIVE,AMBIGUOUS,INVALID
all_external,1914,5,0,5,0,0
all_external,1969,1,0,1,0,0
all_external,1999,3081,0,3081,0,0
all_external,2000,16176,0,16176,0,0
all_external,2001,21974,0,21974,0,0
all_external,2002,22179,0,22179,0,0
all_external,2003,21557,0,21557,0,0
all_external,2004,24386,0,24386,0,0
all_external,2005,30718,0,30718,0,0
all_external,2006,36057,0,36057,0,0
all_external,2007,464439,427646,36793,0,0
all_external,2008,1056009,1004350,51659,0,0
all_external,2009,960491,896418,64073,0,0
all_external,2010,1200802,1000624,200178,0,0
all_external,2011,1571048,1206959,364089,0,0
all_external,2012,1569853,1148674,421179,0,0
all_external,2013,1192744,831384,361360,0,0
all_external,2014,1166279,883650,282629,0,0
all_external,2015,1364956,905917,459039,0,0
all_external,2016,686338,252333,434005,0,0
all_external,2017,344705,3581,341124,0,0
all_external,2018,523476,5395,518081,0,0
all_external,2019,578683,6325,572358,0,0
all_external,2020,201557,28392,173165,0,0
nasdaq,1914,5,0,5,0,0
nasdaq,1969,1,0,1,0,0
nasdaq,1999,3081,0,3081,0,0
nasdaq,2000,16176,0,16176,0,0
nasdaq,2001,21974,0,21974,0,0
nasdaq,2002,22179,0,22179,0,0
nasdaq,2003,21557,0,21557,0,0
nasdaq,2004,24386,0,24386,0,0
nasdaq,2005,30718,0,30718,0,0
nasdaq,2006,36057,0,36057,0,0
nasdaq,2007,464439,427646,36793,0,0
nasdaq,2008,1056009,1004350,51659,0,0
nasdaq,2009,961342,896418,64924,0,0
nasdaq,2010,1211112,1000624,210488,0,0
nasdaq,2011,1586808,1206959,379849,0,0
nasdaq,2012,1605474,1148674,456800,0,0
nasdaq,2013,1259792,831384,428408,0,0
nasdaq,2014,1256672,883650,373022,0,0
nasdaq,2015,1471301,905917,565384,0,0
nasdaq,2016,817956,252333,565623,0,0
nasdaq,2017,515523,3581,511942,0,0
nasdaq,2018,698590,5395,693195,0,0
nasdaq,2019,700151,6325,693826,0,0
nasdaq,2020,351832,28392,323440,0,0
nasdaq,2021,181623,0,181623,0,0
nasdaq,2022,280354,0,280354,0,0
nasdaq,2023,954117,26623,927494,0,0
nasdaq,2024,70,0,70,0,0
