CIK,resolved_ticker,matched_alias,matched_articles,title_matches,body_matches,exact_ticker_matches,direct_high_confidence_edges,multi_company_high_confidence_edges,training_high_confidence_edges,training_distinct_recorded_dates,publisher_count,native_tag_agreement_rate,top_publisher_hash,top_publisher_fraction,publisher_entropy,training_days_denominator,training_day_coverage,risk_flags,risk_flag_count
1464790,RILYZ,great american,2985,1975.0,1010.0,0.0,1975.0,441.0,346.0,63,11,0.0,e1b55322097c99d90f2ea68eb35a38d7fbe8b3869be487635454f376a5a36960,0.6482758620689655,1.1810525997590862,731,0.08618331053351573,NONE,0
1838987,SPWR,sunpower,12865,6442.0,6423.0,0.0,4893.0,4722.0,1851.0,430,67,0.3197046249514186,7a760386ea72c5ddae3e4604fdc5f7fa942ad00c5db2a3d8dffc6bcb5912ebdf,0.18193146417445483,2.710909648966123,1008,0.42658730158730157,SINGLE_TOKEN_SEMANTIC_RISK,1
47217,HPQ,hewlett packard,19393,5410.0,13983.0,0.0,3066.0,11057.0,1708.0,402,70,0.11313360490898777,215816bf42103f1f2b24c168779f1fb0ea3afcb7a2c627e42e0bcd7fe07eb70a,0.2687385740402194,2.8266228646338063,1008,0.39880952380952384,NONE,0
1116578,PUK,prudential,20780,11179.0,9601.0,0.0,7611.0,10026.0,2622.0,578,60,0.03397497593840231,7a760386ea72c5ddae3e4604fdc5f7fa942ad00c5db2a3d8dffc6bcb5912ebdf,0.24983692106979777,2.682147426694647,1008,0.5734126984126984,SINGLE_TOKEN_SEMANTIC_RISK,1
907254,BFS,saul centers,737,556.0,181.0,0.0,446.0,241.0,171.0,76,18,0.5033921302578019,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.33035714285714285,2.183697559411598,1008,0.07539682539682539,NONE,0
861884,RS,reliance,37709,9909.0,27800.0,0.0,11312.0,12521.0,3136.0,867,34,0.019544405844758545,7a760386ea72c5ddae3e4604fdc5f7fa942ad00c5db2a3d8dffc6bcb5912ebdf,0.3856332703213611,2.227865810934164,1008,0.8601190476190477,EDGE_COUNT_TOP_1_PERCENT|SINGLE_TOKEN_SEMANTIC_RISK,2
1439222,AGIO,agios pharmaceuticals,1779,846.0,933.0,0.0,685.0,738.0,442.0,126,24,0.4131534569983137,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.1992619926199262,2.560718671884542,1008,0.125,NONE,0
108312,WWD,woodward,3997,2297.0,1700.0,0.0,1943.0,1309.0,732.0,197,34,0.2957217913435076,7a760386ea72c5ddae3e4604fdc5f7fa942ad00c5db2a3d8dffc6bcb5912ebdf,0.2283464566929134,2.563732988108831,1008,0.19543650793650794,SINGLE_TOKEN_SEMANTIC_RISK,1
938323,PSO,pearson,7718,3070.0,4648.0,0.0,3692.0,1541.0,282.0,122,43,0.0800725576574242,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.28524590163934427,2.7084191841701775,1008,0.12103174603174603,SINGLE_TOKEN_SEMANTIC_RISK,1
1637459,KHC,kraft heinz,11805,2860.0,8945.0,0.0,2004.0,6401.0,3327.0,582,31,0.19932232105040237,b760b1294f1c1c3c7acaf7968447dba9b64ee4ce0b10d6aa81600f9526801e12,0.26436781609195403,2.4331302484132524,1008,0.5773809523809523,NONE,0
1119774,CGEN,compugen,1400,1109.0,291.0,0.0,884.0,433.0,270.0,84,23,0.315,1b425b87521ec0ab5e4c02aa6bbf44fa197505a03a1fa7f593d749168cc34d2f,0.25,2.4278440755342805,1008,0.08333333333333333,SINGLE_TOKEN_SEMANTIC_RISK,1
1374690,LRMR,zafgen,1488,1358.0,130.0,0.0,1184.0,278.0,452.0,71,26,0.0,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.3394683026584867,2.3573443986512093,1008,0.07043650793650794,SINGLE_TOKEN_SEMANTIC_RISK,1
1577552,BABA,BABA,143,0.0,0.0,143.0,48.0,95.0,12.0,6,3,0.3776223776223776,1b425b87521ec0ab5e4c02aa6bbf44fa197505a03a1fa7f593d749168cc34d2f,0.796875,0.5919104328777565,1008,0.005952380952380952,SINGLE_TOKEN_SEMANTIC_RISK,1
831001,C,C,270,0.0,0.0,270.0,42.0,228.0,78.0,35,4,0.08518518518518518,1b425b87521ec0ab5e4c02aa6bbf44fa197505a03a1fa7f593d749168cc34d2f,0.7647058823529411,0.8002288163312473,1008,0.034722222222222224,SINGLE_TOKEN_SEMANTIC_RISK,1
1384905,RNG,ringcentral,3224,2009.0,1215.0,0.0,1567.0,1013.0,1245.0,276,32,0.4435483870967742,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.15755627009646303,2.5637354865365842,1008,0.27380952380952384,SINGLE_TOKEN_SEMANTIC_RISK,1
1546417,BLMN,bloomin brands,2169,751.0,1418.0,0.0,415.0,1292.0,567.0,138,16,0.23651452282157676,b760b1294f1c1c3c7acaf7968447dba9b64ee4ce0b10d6aa81600f9526801e12,0.28888888888888886,2.2539651307115722,1008,0.13690476190476192,NONE,0
1333822,LEDS,semileds,883,661.0,222.0,0.0,624.0,180.0,253.0,50,26,0.5254813137032842,1b425b87521ec0ab5e4c02aa6bbf44fa197505a03a1fa7f593d749168cc34d2f,0.23931623931623933,2.516402626338485,1008,0.0496031746031746,SINGLE_TOKEN_SEMANTIC_RISK,1
1669779,CWH,camping world,2328,855.0,1473.0,0.0,679.0,1158.0,916.0,206,9,0.23926116838487974,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.3119266055045872,1.8785490598342809,1008,0.20436507936507936,NONE,0
1409171,TITN,titan machinery,2125,1510.0,615.0,0.0,1164.0,829.0,377.0,76,35,0.47247058823529414,7a760386ea72c5ddae3e4604fdc5f7fa942ad00c5db2a3d8dffc6bcb5912ebdf,0.17866666666666667,2.763293006731519,1008,0.07539682539682539,NONE,0
1177648,ENTA,enanta pharmaceuticals,1118,576.0,542.0,0.0,430.0,502.0,323.0,108,12,0.39713774597495527,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.23134328358208955,2.1163844657475774,1008,0.10714285714285714,NONE,0
314203,MUX,u s gold,3161,814.0,2347.0,0.0,986.0,426.0,306.0,165,6,0.0,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.53125,1.3974092295649063,1008,0.1636904761904762,NONE,0
1308648,AG,first majestic silver,2224,1015.0,1209.0,0.0,962.0,821.0,669.0,202,31,0.37859712230215825,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.31275720164609055,2.3443121161325875,1008,0.2003968253968254,NONE,0
800457,DGICA,donegal,1191,1012.0,179.0,0.0,859.0,308.0,321.0,71,19,0.2980688497061293,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.3212669683257919,2.0252930450331856,1008,0.07043650793650794,SINGLE_TOKEN_SEMANTIC_RISK,1
1756607,EQX,equinox gold,384,110.0,274.0,0.0,95.0,197.0,142.0,43,4,0.2916666666666667,b760b1294f1c1c3c7acaf7968447dba9b64ee4ce0b10d6aa81600f9526801e12,0.5405405405405406,0.9555735221898101,778,0.055269922879177376,NONE,0
6955,EPAC,actuant,2207,1852.0,355.0,0.0,1619.0,468.0,416.0,84,44,0.00045310376076121433,7a760386ea72c5ddae3e4604fdc5f7fa942ad00c5db2a3d8dffc6bcb5912ebdf,0.40212443095599393,2.306086090053952,1008,0.08333333333333333,SINGLE_TOKEN_SEMANTIC_RISK,1
1164863,NPO,enpro,2022,1350.0,672.0,0.0,1146.0,607.0,491.0,139,28,0.44708209693372897,7a760386ea72c5ddae3e4604fdc5f7fa942ad00c5db2a3d8dffc6bcb5912ebdf,0.38392857142857145,2.0652250492010404,1008,0.1378968253968254,SINGLE_TOKEN_SEMANTIC_RISK,1
927066,DVA,davita,9871,4806.0,5065.0,0.0,3815.0,4432.0,1344.0,321,57,0.2831526694357208,7a760386ea72c5ddae3e4604fdc5f7fa942ad00c5db2a3d8dffc6bcb5912ebdf,0.3290836653386454,2.549220089688381,1008,0.31845238095238093,SINGLE_TOKEN_SEMANTIC_RISK,1
1393052,VEEV,veeva systems,6063,2597.0,3466.0,0.0,1788.0,2683.0,2084.0,425,29,0.4026059706415966,7a760386ea72c5ddae3e4604fdc5f7fa942ad00c5db2a3d8dffc6bcb5912ebdf,0.26051560379918587,2.3818889365602205,1008,0.42162698412698413,NONE,0
1720250,KNDI,kandi technologies,1659,1234.0,425.0,0.0,1065.0,501.0,536.0,113,33,0.49547920433996384,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.3699731903485255,2.2790285573436107,1008,0.11210317460317461,NONE,0
872589,REGN,REGN,596,0.0,0.0,596.0,183.0,413.0,269.0,132,5,0.2197986577181208,deb56840b9cdc03f6c4ee4d521ae2d441afded63a6b8dfc35db2427b482be521,0.7323943661971831,0.8644403659102352,1008,0.13095238095238096,SINGLE_TOKEN_SEMANTIC_RISK,1
1434316,FATE,fate therapeutics,1680,1074.0,606.0,0.0,873.0,505.0,597.0,149,18,0.4595238095238095,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.25219941348973607,2.353002990336805,1008,0.14781746031746032,NONE,0
1000753,NSP,insperity,3063,1995.0,1068.0,0.0,1380.0,1284.0,1009.0,200,24,0.4028730003264773,7a760386ea72c5ddae3e4604fdc5f7fa942ad00c5db2a3d8dffc6bcb5912ebdf,0.3663003663003663,2.061519484003879,1008,0.1984126984126984,SINGLE_TOKEN_SEMANTIC_RISK,1
917273,RMBS,rambus,6046,3862.0,2184.0,0.0,3129.0,1437.0,582.0,160,61,0.30482963943102875,7a760386ea72c5ddae3e4604fdc5f7fa942ad00c5db2a3d8dffc6bcb5912ebdf,0.20554272517321015,2.9062169191513876,1008,0.15873015873015872,SINGLE_TOKEN_SEMANTIC_RISK,1
1610853,HSDT,helius medical technologies,214,126.0,88.0,0.0,76.0,99.0,59.0,11,2,0.12149532710280374,b760b1294f1c1c3c7acaf7968447dba9b64ee4ce0b10d6aa81600f9526801e12,0.625,0.6615632381579821,1008,0.010912698412698412,NONE,0
1495320,VRA,vera bradley,2721,1876.0,845.0,0.0,1616.0,941.0,605.0,127,58,0.5174568173465638,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.2070015220700152,3.004264746978203,1008,0.1259920634920635,NONE,0
1438423,MRAM,everspin technologies,318,141.0,177.0,0.0,75.0,148.0,102.0,30,4,0.17295597484276728,b760b1294f1c1c3c7acaf7968447dba9b64ee4ce0b10d6aa81600f9526801e12,0.7714285714285715,0.7602449274151057,1008,0.02976190476190476,NONE,0
882184,DHI,DHI,1388,0.0,0.0,1388.0,288.0,1100.0,286.0,118,2,0.24639769452449567,deb56840b9cdc03f6c4ee4d521ae2d441afded63a6b8dfc35db2427b482be521,0.8260869565217391,0.46203690946645704,1008,0.11706349206349206,PUBLISHER_CONCENTRATION_GE_80_PERCENT|SINGLE_TOKEN_SEMANTIC_RISK,2
1288403,WTI,w t offshore,2634,1165.0,1469.0,0.0,1043.0,1111.0,472.0,99,5,0.20311313591495825,7a760386ea72c5ddae3e4604fdc5f7fa942ad00c5db2a3d8dffc6bcb5912ebdf,0.8282828282828283,0.6624982638994155,1008,0.09821428571428571,PUBLISHER_CONCENTRATION_GE_80_PERCENT,1
1069202,LII,lennox international,2356,1327.0,1029.0,0.0,1201.0,635.0,493.0,153,28,0.2652801358234295,b760b1294f1c1c3c7acaf7968447dba9b64ee4ce0b10d6aa81600f9526801e12,0.13677811550151975,2.636566924227078,1008,0.15178571428571427,NONE,0
1286613,LINC,lincoln educational services,837,618.0,219.0,0.0,606.0,174.0,121.0,36,29,0.34767025089605735,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.25675675675675674,2.5886638589478275,1008,0.03571428571428571,NONE,0
1075880,KZIA,novogen,535,498.0,37.0,0.0,461.0,56.0,0.0,0,15,0.003738317757009346,84625ab1a763851f03bf27f1f4f68b3b7efe198626d098151d461cbb0e262da0,0.6666666666666666,1.3517024842213134,1008,0.0,SINGLE_TOKEN_SEMANTIC_RISK,1
