CIK,company_id,ticker,issuer_name,historical_industry,company_split,filer_class,8-K_count,10-Q_count,10-K_count,6-K_count,20-F_count,total_factual_forms,training_period,source,missingness_policy
1275101,CIK0001275101,BOTJ,BANK OF THE JAMES FINANCIAL GROUP INC,Money,LOCKED_UNSEEN_COMPANIES,DOMESTIC_REGISTRANT,32,12,4,0,0,48,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1168455,CIK0001168455,PLBC,PLUMAS BANCORP,Money,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,57,12,4,0,0,73,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1298675,CIK0001298675,CUBE,CubeSmart,Money,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,55,12,4,0,0,71,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1084961,CIK0001084961,ECPG,ENCORE CAPITAL GROUP INC,Money,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,75,12,4,0,0,91,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1270436,CIK0001270436,COHN,Cohen & Co Inc.,Money,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,53,12,5,0,0,70,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1120193,CIK0001120193,NDAQ,"NASDAQ, INC.",Money,DEV_UNSEEN_COMPANIES,DOMESTIC_REGISTRANT,47,12,4,0,0,63,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1645460,CIK0001645460,CUE,"Cue Biopharma, Inc.",Hlth,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,35,13,8,0,0,56,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1131343,CIK0001131343,ATHE,ALTERITY THERAPEUTICS LTD,Hlth,DEV_UNSEEN_COMPANIES,FOREIGN_PRIVATE_ISSUER,0,0,0,161,4,165,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1536196,CIK0001536196,CANF,Can-Fite BioPharma Ltd.,Hlth,TRAIN_COMPANIES,FOREIGN_PRIVATE_ISSUER,0,0,0,194,5,199,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1567529,CIK0001567529,KMDA,KAMADA LTD,Hlth,LOCKED_UNSEEN_COMPANIES,FOREIGN_PRIVATE_ISSUER,0,0,0,96,5,101,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1000694,CIK0001000694,NVAX,NOVAVAX INC,Hlth,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,71,12,7,0,0,90,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1551152,CIK0001551152,ABBV,AbbVie Inc.,Hlth,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,68,12,4,0,0,84,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1681622,CIK0001681622,VREX,Varex Imaging Corp,BusEq,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,43,12,4,0,0,59,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1314102,CIK0001314102,EYPT,"EyePoint, Inc.",BusEq,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,75,12,5,0,0,92,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1291855,CIK0001291855,SPCB,SuperCom Ltd,BusEq,TRAIN_COMPANIES,FOREIGN_PRIVATE_ISSUER,0,0,0,14,5,19,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1005284,CIK0001005284,OLED,UNIVERSAL DISPLAY CORP \PA\,BusEq,DEV_UNSEEN_COMPANIES,DOMESTIC_REGISTRANT,25,12,5,0,0,42,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1262039,CIK0001262039,FTNT,"Fortinet, Inc.",BusEq,LOCKED_UNSEEN_COMPANIES,DOMESTIC_REGISTRANT,37,12,5,0,0,54,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
51143,CIK0000051143,IBM,INTERNATIONAL BUSINESS MACHINES CORP,BusEq,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,94,12,4,0,0,110,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
924383,CIK0000924383,GNSS,Genasys Inc.,Durbl,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,34,12,4,0,0,50,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
918251,CIK0000918251,MPAA,MOTORCAR PARTS OF AMERICA INC,Durbl,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,33,12,4,0,0,49,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
903129,CIK0000903129,THRM,Gentherm Inc,Durbl,DEV_UNSEEN_COMPANIES,DOMESTIC_REGISTRANT,54,12,4,0,0,70,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
842162,CIK0000842162,LEA,LEAR CORP,Durbl,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,44,12,4,0,0,60,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
37996,CIK0000037996,F,FORD MOTOR CO,Durbl,LOCKED_UNSEEN_COMPANIES,DOMESTIC_REGISTRANT,114,12,5,0,0,131,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1318605,CIK0001318605,TSLA,"Tesla, Inc.",Durbl,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,81,12,6,0,0,99,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
928054,CIK0000928054,FTK,FLOTEK INDUSTRIES INC/CN/,Chems,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,72,12,6,0,0,90,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1574565,CIK0001574565,EVGN,Evogene Ltd.,Chems,DEV_UNSEEN_COMPANIES,FOREIGN_PRIVATE_ISSUER,0,0,0,83,4,87,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
105132,CIK0000105132,WDFC,WD 40 CO,Chems,LOCKED_UNSEEN_COMPANIES,DOMESTIC_REGISTRANT,35,12,4,0,0,51,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1257640,CIK0001257640,KRO,KRONOS WORLDWIDE INC,Chems,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,39,12,4,0,0,55,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1324404,CIK0001324404,CF,"CF Industries Holdings, Inc.",Chems,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,52,12,4,0,0,68,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
84748,CIK0000084748,ROG,ROGERS CORP,Chems,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,41,12,4,0,0,57,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1520048,CIK0001520048,PVL,Permianville Royalty Trust,Enrgy,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,54,12,4,0,0,70,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1442620,CIK0001442620,RCON,"Recon Technology, Ltd",Enrgy,TRAIN_COMPANIES,FOREIGN_PRIVATE_ISSUER,0,0,0,40,5,45,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
844965,CIK0000844965,TTI,TETRA TECHNOLOGIES INC,Enrgy,DEV_UNSEEN_COMPANIES,DOMESTIC_REGISTRANT,61,12,4,0,0,77,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1086600,CIK0001086600,ARLP,ALLIANCE RESOURCE PARTNERS LP,Enrgy,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,30,12,4,0,0,46,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1064728,CIK0001064728,BTU,PEABODY ENERGY CORP,Enrgy,LOCKED_UNSEEN_COMPANIES,DOMESTIC_REGISTRANT,106,12,4,0,0,122,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1163165,CIK0001163165,COP,CONOCOPHILLIPS,Enrgy,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,40,13,4,0,0,57,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1395213,CIK0001395213,EDN,EDENOR,Utils,TRAIN_COMPANIES,FOREIGN_PRIVATE_ISSUER,0,0,0,233,5,238,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1069533,CIK0001069533,RGCO,RGC RESOURCES INC,Utils,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,76,13,4,0,0,93,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1013871,CIK0001013871,NRG,"NRG ENERGY, INC.",Utils,DEV_UNSEEN_COMPANIES,DOMESTIC_REGISTRANT,49,12,4,0,0,65,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1094972,CIK0001094972,UGP,ULTRAPAR HOLDINGS INC,Utils,TRAIN_COMPANIES,FOREIGN_PRIVATE_ISSUER,0,0,0,103,5,108,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
4904,CIK0000004904,AEP,AMERICAN ELECTRIC POWER CO INC,Utils,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,41,12,4,0,0,57,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
3570,CIK0000003570,LNG,"Cheniere Energy, Inc.",Utils,LOCKED_UNSEEN_COMPANIES,DOMESTIC_REGISTRANT,89,12,5,0,0,106,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
838875,CIK0000838875,WVVI,WILLAMETTE VALLEY VINEYARDS INC,NoDur,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,11,12,4,0,0,27,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
819793,CIK0000819793,AIN,ALBANY INTERNATIONAL CORP /DE/,NoDur,LOCKED_UNSEEN_COMPANIES,DOMESTIC_REGISTRANT,44,12,4,0,0,60,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
16160,CIK0000016160,CALM,CAL-MAINE FOODS INC,NoDur,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,40,13,4,0,0,57,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1495320,CIK0001495320,VRA,"Vera Bradley, Inc.",NoDur,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,32,13,4,0,0,49,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1278027,CIK0001278027,BGS,"B&G Foods, Inc.",NoDur,DEV_UNSEEN_COMPANIES,DOMESTIC_REGISTRANT,53,12,4,0,0,69,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1637459,CIK0001637459,KHC,Kraft Heinz Co,NoDur,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,67,12,4,0,0,83,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
875582,CIK0000875582,NTIC,NORTHERN TECHNOLOGIES INTERNATIONAL CORP,Manuf,DEV_UNSEEN_COMPANIES,DOMESTIC_REGISTRANT,27,12,4,0,0,43,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
932695,CIK0000932695,CYD,CHINA YUCHAI INTERNATIONAL LTD,Manuf,TRAIN_COMPANIES,FOREIGN_PRIVATE_ISSUER,0,0,0,56,5,61,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
