category,key,symbol,month,base_probability,final_probability,label,articles,clusters,analog_cases
unchanged_correct,AAPL|2018-01-03 15:30:00+00:00,AAPL,2018-01,,,0,6,6,0
unchanged_correct,AAPL|2018-01-03 16:30:00+00:00,AAPL,2018-01,,,0,6,6,0
unchanged_correct,AMZN|2018-01-04 14:30:00+00:00,AMZN,2018-01,,,0,0,0,0
unchanged_correct,AAPL|2018-01-04 15:30:00+00:00,AAPL,2018-01,,,0,9,9,0
unchanged_correct,AMZN|2018-01-04 15:30:00+00:00,AMZN,2018-01,,,0,0,0,0
unchanged_error,AAPL|2018-01-03 14:30:00+00:00,AAPL,2018-01,,,1,6,6,0
unchanged_error,AMZN|2018-01-03 14:30:00+00:00,AMZN,2018-01,,,1,2,1,0
unchanged_error,AMZN|2018-01-03 15:30:00+00:00,AMZN,2018-01,,,1,2,1,0
unchanged_error,AMZN|2018-01-03 16:30:00+00:00,AMZN,2018-01,,,1,3,2,0
unchanged_error,AAPL|2018-01-04 14:30:00+00:00,AAPL,2018-01,,,1,7,7,0
