method,phase,symbol,n,BA,MCC,Brier,Accuracy,AUC,predicted_up,constant
BASE,development,AAPL,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.5555555555555556,0.5755578093306288,0.7936507936507936,False
BASE,development,AMZN,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.5714285714285714,0.5804399681950703,0.42063492063492064,False
BASE,later,AAPL,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.5112359550561798,0.5385878489326765,0.7752808988764045,False
BASE,later,AMZN,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.5418994413407822,0.5408010012515645,0.4692737430167598,False
BASE,train_forward_oof,AAPL,383,0.503029705202638,0.006144151764253761,0.2592606648817109,0.5248041775456919,0.5141198354095035,0.6214099216710183,False
BASE,train_forward_oof,AMZN,382,0.5326939483171423,0.06530258832057416,0.26055740634768043,0.5314136125654451,0.5216996449899551,0.4816753926701571,False
D,development,AAPL,126,0.5365111561866126,0.10401019349846874,0.2562258862032242,0.5079365079365079,0.5674442190669371,0.8571428571428571,False
D,development,AMZN,126,0.5194805194805194,0.038160315698326765,0.25257933598968924,0.5079365079365079,0.5701033660217334,0.5476190476190477,False
D,later,AAPL,178,0.5077049387394215,0.021157037849753816,0.26303207189724,0.5,0.5419982316534041,0.8426966292134831,False
D,later,AMZN,179,0.533729662077597,0.06775678403513581,0.25465034243885304,0.5363128491620112,0.5493116395494368,0.553072625698324,False
D,train_forward_oof,AAPL,383,0.5295783777690097,0.06111003999917547,0.25994002583190967,0.556135770234987,0.5138943689758186,0.6527415143603134,False
D,train_forward_oof,AMZN,382,0.5292401684233701,0.05836800417128404,0.2629469650742227,0.5287958115183246,0.522167487684729,0.49476439790575916,False
U,development,AAPL,126,0.5560344827586207,0.14006290349020759,0.25003034233113197,0.5317460317460317,0.5897565922920893,0.8015873015873016,False
U,development,AMZN,126,0.5565862708719851,0.11175966918302659,0.2478856548576946,0.5714285714285714,0.5822952557646435,0.42063492063492064,False
U,later,AAPL,178,0.4799797903246179,-0.057605403101232515,0.2762638509762571,0.47191011235955055,0.5080207149172666,0.8595505617977528,False
U,later,AMZN,179,0.5488735919899874,0.09774718397997496,0.2574463759699095,0.547486033519553,0.5433041301627034,0.4748603351955307,False
U,train_forward_oof,AAPL,383,0.4829491009525957,-0.034990769018768214,0.2676267773965422,0.5091383812010444,0.4853164985062849,0.6422976501305483,False
U,train_forward_oof,AMZN,382,0.5351570025043344,0.07020974452322046,0.2603145771243327,0.5340314136125655,0.5235159754520187,0.48429319371727747,False
A,development,AAPL,126,0.5656693711967546,0.1461526143282709,0.2500525148231999,0.5476190476190477,0.5628803245436105,0.7222222222222222,False
A,development,AMZN,126,0.5667903525046383,0.1315903389919538,0.24766418243593216,0.5793650793650794,0.5828253379273788,0.42857142857142855,False
A,later,AAPL,178,0.5174308450170519,0.041750263492643866,0.2577536192332535,0.5112359550561798,0.5445244410761652,0.7752808988764045,False
A,later,AMZN,179,0.5488735919899874,0.09774718397997496,0.2570460599786041,0.547486033519553,0.5433041301627034,0.4748603351955307,False
A,train_forward_oof,AAPL,383,0.5249563158784736,0.04920088517076771,0.26405916012845615,0.5300261096605744,0.5410348909306126,0.5326370757180157,False
A,train_forward_oof,AMZN,382,0.5326939483171423,0.06530258832057416,0.2669590467480118,0.5314136125654451,0.5149021658364752,0.4816753926701571,False
AL,development,AAPL,126,0.5704868154158215,0.1509479144944728,0.2518181244064613,0.5555555555555556,0.5491886409736307,0.6825396825396826,False
AL,development,AMZN,126,0.5667903525046383,0.1315903389919538,0.24778082263157933,0.5793650793650794,0.5817651736019083,0.42857142857142855,False
AL,later,AAPL,178,0.5116837185802703,0.027742091128941923,0.25799183696478495,0.5056179775280899,0.5437665782493368,0.7696629213483146,False
AL,later,AMZN,179,0.5488735919899874,0.09774718397997496,0.2568117182668726,0.547486033519553,0.5438047559449312,0.4748603351955307,False
AL,train_forward_oof,AAPL,383,0.5227439264979425,0.044824475149144186,0.26074719199378493,0.5274151436031331,0.5380756439885012,0.5300261096605744,False
AL,train_forward_oof,AMZN,382,0.5302308941299503,0.06039534123786435,0.26550932938638094,0.5287958115183246,0.516801056774087,0.4790575916230366,False
DUA,development,AAPL,126,0.537525354969574,0.08886656465876756,0.2601501374617214,0.5158730158730159,0.5557809330628803,0.7698412698412699,False
DUA,development,AMZN,126,0.5241187384044528,0.048065801332024816,0.25802719940641355,0.5,0.5587065995229261,0.6031746031746031,False
DUA,later,AAPL,178,0.4577491474043198,-0.12592617972995174,0.32090948969524186,0.449438202247191,0.48477958822786404,0.8707865168539326,False
DUA,later,AMZN,179,0.5208385481852316,0.04226300123062542,0.2498216374817394,0.5251396648044693,0.567584480600751,0.5865921787709497,False
DUA,train_forward_oof,AAPL,383,0.5237444337974184,0.05024033523351911,0.2976600726583245,0.556135770234987,0.48458373259680965,0.6840731070496083,False
