method,phase,symbol,month,n,BA,MCC,Brier,Accuracy,AUC,predicted_up,constant
BASE,development,AAPL,2018-09,57,0.6016009852216749,0.24917762935063273,0.2461162990471983,0.5964912280701754,0.583743842364532,0.7894736842105263,False
BASE,development,AAPL,2018-10,69,0.5615384615384615,0.15171348989784333,0.253162180420804,0.5217391304347826,0.5632478632478632,0.7971014492753623,False
BASE,development,AMZN,2018-09,57,0.4716748768472906,-0.05817474046899912,0.2553051922206057,0.47368421052631576,0.5012315270935961,0.38596491228070173,False
BASE,development,AMZN,2018-10,69,0.65625,0.2890730751633232,0.24220680697950617,0.6521739130434783,0.6815476190476191,0.4492753623188406,False
BASE,later,AAPL,2018-11,60,0.5066740823136818,0.01667593364912675,0.2555355122588828,0.5166666666666667,0.5350389321468298,0.8,False
BASE,later,AAPL,2018-12,53,0.5565015479876161,0.12030098223477871,0.2596946425076442,0.49056603773584906,0.6130030959752322,0.7169811320754716,False
BASE,later,AAPL,2019-01,63,0.48804573804573803,-0.029085974677101674,0.25620523177629684,0.5396825396825397,0.4906444906444906,0.7936507936507936,False
BASE,later,AAPL,2019-02,2,,0.0,0.4083408880370367,0.0,,1.0,True
BASE,later,AMZN,2018-11,60,0.5138888888888888,0.02723168561657922,0.267106988666287,0.5166666666666667,0.5370370370370371,0.5166666666666667,False
BASE,later,AMZN,2018-12,54,0.606015037593985,0.20770247549870044,0.23183241241765348,0.6296296296296297,0.6270676691729323,0.3888888888888889,False
BASE,later,AMZN,2019-01,63,0.49684210526315786,-0.006186882248897459,0.27251657027097936,0.49206349206349204,0.44105263157894736,0.47619047619047616,False
BASE,later,AMZN,2019-02,2,0.5,0.0,0.26145143278404165,0.5,0.0,1.0,True
BASE,train_forward_oof,AAPL,2018-03,62,0.5145833333333334,0.029288959306450306,0.28068955092967074,0.5161290322580645,0.5135416666666667,0.5483870967741935,False
BASE,train_forward_oof,AAPL,2018-04,63,0.544858870967742,0.11815066113959706,0.2603196505174809,0.5396825396825397,0.5413306451612903,0.8253968253968254,False
BASE,train_forward_oof,AAPL,2018-05,66,0.5251630941286114,0.05016282899579266,0.25556960787737776,0.5303030303030303,0.49860205032618826,0.5454545454545454,False
BASE,train_forward_oof,AAPL,2018-06,63,0.41666666666666663,-0.16666666666666666,0.25851391983542843,0.42857142857142855,0.4578189300411522,0.5714285714285714,False
BASE,train_forward_oof,AAPL,2018-07,60,0.554945054945055,0.10482848367219183,0.24052626453701736,0.55,0.6581196581196581,0.5,False
BASE,train_forward_oof,AAPL,2018-08,69,0.46405228758169936,-0.07067418228235592,0.25954199373470216,0.5797101449275363,0.42919389978213507,0.7246376811594203,False
BASE,train_forward_oof,AMZN,2018-03,62,0.42486772486772484,-0.15937962369601547,0.30454245710075767,0.4032258064516129,0.40529100529100526,0.6774193548387096,False
BASE,train_forward_oof,AMZN,2018-04,63,0.37857142857142856,-0.2531399269503094,0.27732076661331184,0.3968253968253968,0.34591836734693876,0.3492063492063492,False
BASE,train_forward_oof,AMZN,2018-05,65,0.5969785575048733,0.21748750777439183,0.25091009547871423,0.5538461538461539,0.550682261208577,0.26153846153846155,False
