method,issued_month,C,training_rows
D,2018-03,0.01,0
D,2018-04,0.01,124
D,2018-05,0.01,250
D,2018-06,0.01,381
D,2018-07,0.01,507
D,2018-08,0.01,627
D,final,0.01,765
U,2018-03,0.01,0
U,2018-04,0.01,124
U,2018-05,0.01,250
U,2018-06,0.01,381
U,2018-07,0.01,507
U,2018-08,0.01,627
U,final,0.01,765
A,2018-03,0.01,0
A,2018-04,0.01,124
A,2018-05,1.0,250
A,2018-06,1.0,381
A,2018-07,1.0,507
A,2018-08,1.0,627
A,final,1.0,765
AL,2018-03,0.01,0
AL,2018-04,0.01,124
AL,2018-05,0.1,250
AL,2018-06,0.1,381
AL,2018-07,0.1,507
AL,2018-08,1.0,627
AL,final,1.0,765
DUA,2018-03,0.01,0
DUA,2018-04,0.01,124
DUA,2018-05,1.0,250
DUA,2018-06,1.0,381
DUA,2018-07,1.0,507
DUA,2018-08,0.1,627
DUA,final,0.1,765
DUAL,2018-03,0.01,0
DUAL,2018-04,0.01,124
DUAL,2018-05,0.1,250
DUAL,2018-06,0.1,381
DUAL,2018-07,0.1,507
DUAL,2018-08,0.1,627
DUAL,final,0.1,765
DUAL_PARTIAL,2018-03,0.01,0
DUAL_PARTIAL,2018-04,0.01,124
DUAL_PARTIAL,2018-05,0.01,250
DUAL_PARTIAL,2018-06,0.1,381
DUAL_PARTIAL,2018-07,0.1,507
DUAL_PARTIAL,2018-08,0.1,627
DUAL_PARTIAL,final,0.1,765
