method,phase,symbol,changed,corrected,broken
BASE,development,AAPL,0,0,0
BASE,development,AMZN,0,0,0
BASE,later,AAPL,0,0,0
BASE,later,AMZN,0,0,0
BASE,train_forward_oof,AAPL,0,0,0
BASE,train_forward_oof,AMZN,0,0,0
D,development,AAPL,8,1,7
D,development,AMZN,18,5,13
D,later,AAPL,12,5,7
D,later,AMZN,17,8,9
D,train_forward_oof,AAPL,22,17,5
D,train_forward_oof,AMZN,21,10,11
U,development,AAPL,7,2,5
U,development,AMZN,0,0,0
U,later,AAPL,21,7,14
U,later,AMZN,1,1,0
U,train_forward_oof,AAPL,26,10,16
U,train_forward_oof,AMZN,1,1,0
A,development,AAPL,9,4,5
A,development,AMZN,1,1,0
A,later,AAPL,0,0,0
A,later,AMZN,1,1,0
A,train_forward_oof,AAPL,38,20,18
A,train_forward_oof,AMZN,2,1,1
AL,development,AAPL,14,7,7
AL,development,AMZN,1,1,0
AL,later,AAPL,1,0,1
AL,later,AMZN,1,1,0
AL,train_forward_oof,AAPL,35,18,17
AL,train_forward_oof,AMZN,1,0,1
DUA,development,AAPL,23,9,14
DUA,development,AMZN,25,8,17
DUA,later,AAPL,35,12,23
DUA,later,AMZN,23,10,13
DUA,train_forward_oof,AAPL,100,56,44
DUA,train_forward_oof,AMZN,42,19,23
DUAL,development,AAPL,24,10,14
DUAL,development,AMZN,25,8,17
DUAL,later,AAPL,32,11,21
DUAL,later,AMZN,23,10,13
DUAL,train_forward_oof,AAPL,88,53,35
DUAL,train_forward_oof,AMZN,40,18,22
DUAL_PARTIAL,development,AAPL,30,12,18
DUAL_PARTIAL,development,AMZN,19,6,13
DUAL_PARTIAL,later,AAPL,40,17,23
DUAL_PARTIAL,later,AMZN,14,4,10
DUAL_PARTIAL,train_forward_oof,AAPL,88,43,45
DUAL_PARTIAL,train_forward_oof,AMZN,22,9,13
