config,seed,split,threshold,symbol,n,schema_and_literal_evidence_valid,exact_fact_set,fact_tp,fact_fp,fact_fn,precision,recall,f1,no_event_n,no_event_false_positive,gold_nonduplicate_event_groups,predicted_nonduplicate_event_groups,gold_nonduplicate_group_facts,predicted_nonduplicate_group_facts
RULES_CURRENT,deterministic,development,,ALL,87,87,38,20,147,0,0.11976047904191617,1.0,0.21390374331550802,68,36,19,55,20,167
RULES_CURRENT,deterministic,development,,AAPL,57,57,22,20,130,0,0.13333333333333333,1.0,0.23529411764705882,38,22,19,41,20,150
RULES_CURRENT,deterministic,development,,AMZN,30,30,16,0,17,0,0.0,,0.0,30,14,0,14,0,17
RULES_CURRENT,deterministic,check,,ALL,122,121,50,18,180,5,0.09090909090909091,0.782608695652174,0.16289592760180996,100,51,22,73,23,198
RULES_CURRENT,deterministic,check,,AAPL,73,72,27,14,148,3,0.08641975308641975,0.8235294117647058,0.1564245810055866,56,28,17,45,17,162
RULES_CURRENT,deterministic,check,,AMZN,49,49,23,4,32,2,0.1111111111111111,0.6666666666666666,0.19047619047619047,44,23,5,28,6,36
A0,573,development,0.35,ALL,87,87,68,0,0,20,,0.0,0.0,68,0,19,0,20,0
A0,573,development,0.35,AAPL,57,57,38,0,0,20,,0.0,0.0,38,0,19,0,20,0
A0,573,development,0.35,AMZN,30,30,30,0,0,0,,,,30,0,0,0,0,0
A0,573,check,0.35,ALL,122,122,100,0,0,23,,0.0,0.0,100,0,22,0,23,0
A0,573,check,0.35,AAPL,73,73,56,0,0,17,,0.0,0.0,56,0,17,0,17,0
A0,573,check,0.35,AMZN,49,49,44,0,0,6,,0.0,0.0,44,0,5,0,6,0
A0,574,development,0.35,ALL,87,87,68,0,0,20,,0.0,0.0,68,0,19,0,20,0
A0,574,development,0.35,AAPL,57,57,38,0,0,20,,0.0,0.0,38,0,19,0,20,0
A0,574,development,0.35,AMZN,30,30,30,0,0,0,,,,30,0,0,0,0,0
A0,574,check,0.35,ALL,122,122,100,0,0,23,,0.0,0.0,100,0,22,0,23,0
A0,574,check,0.35,AAPL,73,73,56,0,0,17,,0.0,0.0,56,0,17,0,17,0
A0,574,check,0.35,AMZN,49,49,44,0,0,6,,0.0,0.0,44,0,5,0,6,0
A0,575,development,0.35,ALL,87,87,68,0,0,20,,0.0,0.0,68,0,19,0,20,0
A0,575,development,0.35,AAPL,57,57,38,0,0,20,,0.0,0.0,38,0,19,0,20,0
A0,575,development,0.35,AMZN,30,30,30,0,0,0,,,,30,0,0,0,0,0
A0,575,check,0.35,ALL,122,122,100,0,0,23,,0.0,0.0,100,0,22,0,23,0
A0,575,check,0.35,AAPL,73,73,56,0,0,17,,0.0,0.0,56,0,17,0,17,0
A0,575,check,0.35,AMZN,49,49,44,0,0,6,,0.0,0.0,44,0,5,0,6,0
A0,ensemble,development,0.35,ALL,87,87,68,0,0,20,,0.0,0.0,68,0,19,0,20,0
A0,ensemble,development,0.35,AAPL,57,57,38,0,0,20,,0.0,0.0,38,0,19,0,20,0
A0,ensemble,development,0.35,AMZN,30,30,30,0,0,0,,,,30,0,0,0,0,0
A0,ensemble,check,0.35,ALL,122,122,100,0,0,23,,0.0,0.0,100,0,22,0,23,0
A0,ensemble,check,0.35,AAPL,73,73,56,0,0,17,,0.0,0.0,56,0,17,0,17,0
A0,ensemble,check,0.35,AMZN,49,49,44,0,0,6,,0.0,0.0,44,0,5,0,6,0
A1,573,development,0.35,ALL,87,87,82,16,2,4,0.8888888888888888,0.8,0.8421052631578947,68,2,19,18,20,18
A1,573,development,0.35,AAPL,57,57,53,16,1,4,0.9411764705882353,0.8,0.8648648648648649,38,1,19,17,20,17
A1,573,development,0.35,AMZN,30,30,29,0,1,0,0.0,,0.0,30,1,0,1,0,1
A1,573,check,0.35,ALL,122,122,115,19,4,4,0.8260869565217391,0.8260869565217391,0.8260869565217391,100,3,22,22,23,23
A1,573,check,0.35,AAPL,73,73,67,14,3,3,0.8235294117647058,0.8235294117647058,0.8235294117647058,56,3,17,17,17,17
A1,573,check,0.35,AMZN,49,49,48,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,44,0,5,5,6,6
A1,574,development,0.35,ALL,87,87,83,17,2,3,0.8947368421052632,0.85,0.8717948717948718,68,2,19,19,20,19
A1,574,development,0.35,AAPL,57,57,54,17,1,3,0.9444444444444444,0.85,0.8947368421052632,38,1,19,18,20,18
A1,574,development,0.35,AMZN,30,30,29,0,1,0,0.0,,0.0,30,1,0,1,0,1
A1,574,check,0.35,ALL,122,122,111,19,7,4,0.7307692307692307,0.8260869565217391,0.7755102040816326,100,4,22,22,23,26
A1,574,check,0.35,AAPL,73,73,64,14,6,3,0.7,0.8235294117647058,0.7567567567567568,56,3,17,17,17,20
A1,574,check,0.35,AMZN,49,49,47,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,44,1,5,5,6,6
A1,575,development,0.35,ALL,87,87,81,16,3,4,0.8421052631578947,0.8,0.8205128205128205,68,2,19,18,20,19
A1,575,development,0.35,AAPL,57,57,52,16,2,4,0.8888888888888888,0.8,0.8421052631578947,38,1,19,17,20,18
A1,575,development,0.35,AMZN,30,30,29,0,1,0,0.0,,0.0,30,1,0,1,0,1
A1,575,check,0.35,ALL,122,122,112,19,6,4,0.76,0.8260869565217391,0.7916666666666666,100,3,22,21,23,25
A1,575,check,0.35,AAPL,73,73,64,14,6,3,0.7,0.8235294117647058,0.7567567567567568,56,3,17,17,17,20
A1,575,check,0.35,AMZN,49,49,48,5,0,1,1.0,0.8333333333333334,0.9090909090909091,44,0,5,4,6,5
A1,ensemble,development,0.35,ALL,87,87,83,16,1,4,0.9411764705882353,0.8,0.8648648648648649,68,1,19,17,20,17
A1,ensemble,development,0.35,AAPL,57,57,54,16,0,4,1.0,0.8,0.8888888888888888,38,0,19,16,20,16
A1,ensemble,development,0.35,AMZN,30,30,29,0,1,0,0.0,,0.0,30,1,0,1,0,1
A1,ensemble,check,0.35,ALL,122,122,112,19,6,4,0.76,0.8260869565217391,0.7916666666666666,100,4,22,22,23,25
A1,ensemble,check,0.35,AAPL,73,73,64,14,6,3,0.7,0.8235294117647058,0.7567567567567568,56,4,17,18,17,20
A1,ensemble,check,0.35,AMZN,49,49,48,5,0,1,1.0,0.8333333333333334,0.9090909090909091,44,0,5,4,6,5
A2,573,development,0.35,ALL,87,87,74,16,24,4,0.4,0.8,0.5333333333333333,68,2,19,18,20,40
A2,573,development,0.35,AAPL,57,57,45,16,23,4,0.41025641025641024,0.8,0.5423728813559322,38,1,19,17,20,39
A2,573,development,0.35,AMZN,30,30,29,0,1,0,0.0,,0.0,30,1,0,1,0,1
A2,573,check,0.35,ALL,122,122,107,18,13,5,0.5806451612903226,0.782608695652174,0.6666666666666666,100,5,22,22,23,31
A2,573,check,0.35,AAPL,73,73,59,13,13,4,0.5,0.7647058823529411,0.6046511627906976,56,5,17,18,17,26
A2,573,check,0.35,AMZN,49,49,48,5,0,1,1.0,0.8333333333333334,0.9090909090909091,44,0,5,4,6,5
A2,574,development,0.35,ALL,87,87,67,16,45,4,0.26229508196721313,0.8,0.3950617283950617,68,6,19,22,20,61
A2,574,development,0.35,AAPL,57,57,38,16,44,4,0.26666666666666666,0.8,0.4,38,5,19,21,20,60
A2,574,development,0.35,AMZN,30,30,29,0,1,0,0.0,,0.0,30,1,0,1,0,1
A2,574,check,0.35,ALL,122,122,102,19,39,4,0.3275862068965517,0.8260869565217391,0.4691358024691358,100,7,22,26,23,58
A2,574,check,0.35,AAPL,73,73,55,14,38,3,0.2692307692307692,0.8235294117647058,0.4057971014492754,56,6,17,21,17,52
A2,574,check,0.35,AMZN,49,49,47,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,44,1,5,5,6,6
