config,seed,split,threshold,score,symbol,articles,positive_articles,event_precision,event_recall,event_f1,type_macro_f1,action_macro_f1,evidence_micro_f1,no_event_articles,no_event_false_positives,no_event_false_positive_rate,exact_type_action_set,predicted_positive_articles
A0,573,development,0.35,0.0,ALL,87,19,0.0,0.0,0.0,0.0,0.0,0.0,68,0,0.0,0.7816091954022989,0
A0,573,development,0.35,0.0,AAPL,57,19,0.0,0.0,0.0,0.0,0.0,0.0,38,0,0.0,0.6666666666666666,0
A0,573,development,0.35,0.0,AMZN,30,0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,0.0,1.0,0
A0,573,check,0.35,0.0,ALL,122,22,0.0,0.0,0.0,0.0,0.0,0.0,100,0,0.0,0.819672131147541,0
A0,573,check,0.35,0.0,AAPL,73,17,0.0,0.0,0.0,0.0,0.0,0.0,56,0,0.0,0.7671232876712328,0
A0,573,check,0.35,0.0,AMZN,49,5,0.0,0.0,0.0,0.0,0.0,0.0,44,0,0.0,0.8979591836734694,0
A0,574,development,0.35,0.0,ALL,87,19,0.0,0.0,0.0,0.0,0.0,0.0,68,0,0.0,0.7816091954022989,0
A0,574,development,0.35,0.0,AAPL,57,19,0.0,0.0,0.0,0.0,0.0,0.0,38,0,0.0,0.6666666666666666,0
A0,574,development,0.35,0.0,AMZN,30,0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,0.0,1.0,0
A0,574,check,0.35,0.0,ALL,122,22,0.0,0.0,0.0,0.0,0.0,0.0,100,0,0.0,0.819672131147541,0
A0,574,check,0.35,0.0,AAPL,73,17,0.0,0.0,0.0,0.0,0.0,0.0,56,0,0.0,0.7671232876712328,0
A0,574,check,0.35,0.0,AMZN,49,5,0.0,0.0,0.0,0.0,0.0,0.0,44,0,0.0,0.8979591836734694,0
A0,575,development,0.35,0.0,ALL,87,19,0.0,0.0,0.0,0.0,0.0,0.0,68,0,0.0,0.7816091954022989,0
A0,575,development,0.35,0.0,AAPL,57,19,0.0,0.0,0.0,0.0,0.0,0.0,38,0,0.0,0.6666666666666666,0
A0,575,development,0.35,0.0,AMZN,30,0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,0.0,1.0,0
A0,575,check,0.35,0.0,ALL,122,22,0.0,0.0,0.0,0.0,0.0,0.0,100,0,0.0,0.819672131147541,0
A0,575,check,0.35,0.0,AAPL,73,17,0.0,0.0,0.0,0.0,0.0,0.0,56,0,0.0,0.7671232876712328,0
A0,575,check,0.35,0.0,AMZN,49,5,0.0,0.0,0.0,0.0,0.0,0.0,44,0,0.0,0.8979591836734694,0
A1,573,development,0.35,0.6877861579414375,ALL,87,19,0.7619047619047619,0.8421052631578947,0.8,0.6608695652173913,0.525,0.6530612244897959,68,5,0.07352941176470588,0.8390804597701149,21
A1,573,development,0.35,0.7690620490620491,AAPL,57,19,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.7402597402597402,0.6,0.7272727272727273,38,1,0.02631578947368421,0.8245614035087719,17
A1,573,development,0.35,0.0,AMZN,30,0,0.0,0.0,0.0,0.0,0.0,0.0,30,4,0.13333333333333333,0.8666666666666667,4
A1,573,check,0.35,0.7157959970312912,ALL,122,22,0.8695652173913043,0.9090909090909091,0.8888888888888888,0.6891534391534391,0.5564932126696832,0.5555555555555556,100,3,0.03,0.8934426229508197,23
A1,573,check,0.35,0.6680712959593404,AAPL,73,17,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.6727688787185355,0.425,0.5283018867924528,56,3,0.05357142857142857,0.8493150684931506,18
A1,573,check,0.35,0.7207602339181287,AMZN,49,5,1.0,1.0,1.0,0.6944444444444444,0.2777777777777778,0.631578947368421,44,0,0.0,0.9591836734693877,5
A1,574,development,0.35,0.7752876830318691,ALL,87,19,0.8095238095238095,0.8947368421052632,0.85,0.7824074074074074,0.6033333333333333,0.7906976744186046,68,4,0.058823529411764705,0.9195402298850575,21
A1,574,development,0.35,0.8488313038313039,AAPL,57,19,0.9444444444444444,0.8947368421052632,0.918918918918919,0.8583333333333334,0.6761904761904762,0.8717948717948718,38,1,0.02631578947368421,0.9298245614035088,18
A1,574,development,0.35,0.0,AMZN,30,0,0.0,0.0,0.0,0.0,0.0,0.0,30,3,0.1,0.9,3
A1,574,check,0.35,0.7142998183023759,ALL,122,22,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7552334943639292,0.5916666666666667,0.5882352941176471,100,4,0.04,0.8770491803278688,22
