config,threshold,seed,score,symbol,articles,positive_articles,event_precision,event_recall,event_f1,type_macro_f1,action_macro_f1,evidence_micro_f1,no_event_articles,no_event_false_positives,no_event_false_positive_rate,exact_type_action_set,predicted_positive_articles
A0,0.35,573,0.022451612903225806,ALL,185,49,1.0,0.02040816326530612,0.04,0.03225806451612903,0.0,0.0,136,0,0.0,0.7351351351351352,1
A0,0.35,574,0.0,ALL,185,49,0.0,0.0,0.0,0.0,0.0,0.0,136,0,0.0,0.7351351351351352,0
A0,0.35,575,0.0,ALL,185,49,0.0,0.0,0.0,0.0,0.0,0.0,136,0,0.0,0.7351351351351352,0
A0,0.5,573,0.0,ALL,185,49,0.0,0.0,0.0,0.0,0.0,0.0,136,0,0.0,0.7351351351351352,0
A0,0.5,574,0.0,ALL,185,49,0.0,0.0,0.0,0.0,0.0,0.0,136,0,0.0,0.7351351351351352,0
A0,0.5,575,0.0,ALL,185,49,0.0,0.0,0.0,0.0,0.0,0.0,136,0,0.0,0.7351351351351352,0
A0,0.65,573,0.0,ALL,185,49,0.0,0.0,0.0,0.0,0.0,0.0,136,0,0.0,0.7351351351351352,0
A0,0.65,574,0.0,ALL,185,49,0.0,0.0,0.0,0.0,0.0,0.0,136,0,0.0,0.7351351351351352,0
A0,0.65,575,0.0,ALL,185,49,0.0,0.0,0.0,0.0,0.0,0.0,136,0,0.0,0.7351351351351352,0
A1,0.35,573,0.5227450129272516,ALL,185,49,0.84375,0.5510204081632653,0.6666666666666666,0.5458265139116203,0.3595652173913043,0.375,136,5,0.03676470588235294,0.7837837837837838,32
A1,0.35,574,0.48679278823297406,ALL,185,49,0.8125,0.5306122448979592,0.6419753086419753,0.5022675736961452,0.3447154471544715,0.30303030303030304,136,6,0.04411764705882353,0.7567567567567568,32
A1,0.35,575,0.551040370375497,ALL,185,49,0.8205128205128205,0.6530612244897959,0.7272727272727273,0.587779433681073,0.37603485838779954,0.3368421052631579,136,7,0.051470588235294115,0.7621621621621621,39
A1,0.5,573,0.4702625039562716,ALL,185,49,0.875,0.42857142857142855,0.5753424657534246,0.4825581395348837,0.34913740990467335,0.36893203883495146,136,3,0.022058823529411766,0.7945945945945946,24
A1,0.5,574,0.44914228381101523,ALL,185,49,0.875,0.42857142857142855,0.5753424657534246,0.4835748792270531,0.32573732260688787,0.2857142857142857,136,3,0.022058823529411766,0.7837837837837838,24
A1,0.5,575,0.5415111717648887,ALL,185,49,0.8529411764705882,0.5918367346938775,0.6987951807228916,0.5718954248366013,0.39596480938416423,0.34210526315789475,136,5,0.03676470588235294,0.7837837837837838,34
A1,0.65,573,0.3449982418207915,ALL,185,49,0.8333333333333334,0.30612244897959184,0.44776119402985076,0.3223938223938224,0.23121292968491608,0.27586206896551724,136,3,0.022058823529411766,0.772972972972973,18
A1,0.65,574,0.3555499533964314,ALL,185,49,0.8888888888888888,0.32653061224489793,0.47761194029850745,0.33838383838383834,0.2367193675889328,0.24742268041237114,136,2,0.014705882352941176,0.7783783783783784,18
A1,0.65,575,0.5161030759810146,ALL,185,49,0.8666666666666667,0.5306122448979592,0.6582278481012658,0.5361394557823129,0.3740740740740741,0.35384615384615387,136,4,0.029411764705882353,0.7837837837837838,30
A2,0.35,573,0.33757409738852995,ALL,185,49,0.8823529411764706,0.30612244897959184,0.45454545454545453,0.34512195121951217,0.17623188405797102,0.25742574257425743,136,2,0.014705882352941176,0.7567567567567568,17
A2,0.35,574,0.41860298393631723,ALL,185,49,0.84,0.42857142857142855,0.5675675675675675,0.4222222222222222,0.30108966108966106,0.2345679012345679,136,4,0.029411764705882353,0.7567567567567568,25
A2,0.35,575,0.4314913957228157,ALL,185,49,0.8333333333333334,0.40816326530612246,0.547945205479452,0.45481670929241264,0.3400831916960949,0.26666666666666666,136,4,0.029411764705882353,0.7513513513513513,24
A2,0.5,573,0.2692604121970084,ALL,185,49,0.8461538461538461,0.22448979591836735,0.3548387096774194,0.27477477477477474,0.13196480938416422,0.22988505747126436,136,2,0.014705882352941176,0.7567567567567568,13
A2,0.5,574,0.33916612798965745,ALL,185,49,0.8421052631578947,0.32653061224489793,0.47058823529411764,0.3404761904761905,0.1808446455505279,0.23333333333333334,136,3,0.022058823529411766,0.7513513513513513,19
A2,0.5,575,0.4062500498515057,ALL,185,49,0.8636363636363636,0.3877551020408163,0.5352112676056338,0.400791687283523,0.29137931034482756,0.26865671641791045,136,3,0.022058823529411766,0.7567567567567568,22
A2,0.65,573,0.27425182279790383,ALL,185,49,0.8461538461538461,0.22448979591836735,0.3548387096774194,0.2777777777777778,0.13990147783251233,0.24390243902439024,136,2,0.014705882352941176,0.7675675675675676,13
A2,0.65,574,0.31906922063443804,ALL,185,49,0.8235294117647058,0.2857142857142857,0.42424242424242425,0.3282051282051282,0.17865612648221343,0.24,136,3,0.022058823529411766,0.7513513513513513,17
A2,0.65,575,0.4138684926595746,ALL,185,49,0.9047619047619048,0.3877551020408163,0.5428571428571428,0.4240576496674058,0.27638468720821663,0.2831858407079646,136,2,0.014705882352941176,0.772972972972973,21
