phase,symbol,method,block_days,samples,BA_low,BA_high,Brier_low,Brier_high
train_forward_oof,AAPL,D2,1,2000,0.0,0.0,0.0,0.0
train_forward_oof,AAPL,D2,5,2000,0.0,0.0,0.0,0.0
train_forward_oof,AAPL,D3,1,2000,0.0,0.0,0.0,0.0
train_forward_oof,AAPL,D3,5,2000,0.0,0.0,0.0,0.0
train_forward_oof,AAPL,D4,1,2000,0.0,0.0,0.0,0.0
train_forward_oof,AAPL,D4,5,2000,0.0,0.0,0.0,0.0
train_forward_oof,AMZN,D2,1,2000,0.0,0.0,0.0,0.0
train_forward_oof,AMZN,D2,5,2000,0.0,0.0,0.0,0.0
train_forward_oof,AMZN,D3,1,2000,0.0,0.0,0.0,0.0
train_forward_oof,AMZN,D3,5,2000,0.0,0.0,0.0,0.0
train_forward_oof,AMZN,D4,1,2000,0.0,0.0,0.0,0.0
train_forward_oof,AMZN,D4,5,2000,0.0,0.0,0.0,0.0
development,AAPL,D2,1,2000,0.0,0.0,0.0,0.0
development,AAPL,D2,5,2000,0.0,0.0,0.0,0.0
development,AAPL,D3,1,2000,0.0,0.0,0.0,0.0
development,AAPL,D3,5,2000,0.0,0.0,0.0,0.0
development,AAPL,D4,1,2000,0.0,0.0,0.0,0.0
development,AAPL,D4,5,2000,0.0,0.0,0.0,0.0
development,AMZN,D2,1,2000,0.0,0.0,0.0,0.0
development,AMZN,D2,5,2000,0.0,0.0,0.0,0.0
development,AMZN,D3,1,2000,0.0,0.0,0.0,0.0
development,AMZN,D3,5,2000,0.0,0.0,0.0,0.0
development,AMZN,D4,1,2000,0.0,0.0,0.0,0.0
development,AMZN,D4,5,2000,0.0,0.0,0.0,0.0
later,AAPL,D2,1,2000,0.0,0.0,0.0,0.0
later,AAPL,D2,5,2000,0.0,0.0,0.0,0.0
later,AAPL,D3,1,2000,0.0,0.0,0.0,0.0
later,AAPL,D3,5,2000,0.0,0.0,0.0,0.0
later,AAPL,D4,1,2000,0.0,0.0,0.0,0.0
later,AAPL,D4,5,2000,0.0,0.0,0.0,0.0
later,AMZN,D2,1,2000,0.0,0.0,0.0,0.0
later,AMZN,D2,5,2000,0.0,0.0,0.0,0.0
later,AMZN,D3,1,2000,0.0,0.0,0.0,0.0
later,AMZN,D3,5,2000,0.0,0.0,0.0,0.0
later,AMZN,D4,1,2000,0.0,0.0,0.0,0.0
later,AMZN,D4,5,2000,0.0,0.0,0.0,0.0
