phase,symbol,method,event_status,n,BA,MCC,Brier,pred_up,up_rate,constant
train_forward_oof,AAPL,D2,no_event,43,0.6006787330316742,0.20656380589033507,0.24259955426893023,0.6511627906976745,0.6046511627906976,False
train_forward_oof,AAPL,D2,event,340,0.4907142857142857,-0.018808016817268094,0.2613678053415626,0.6176470588235294,0.5882352941176471,False
train_forward_oof,AAPL,D3,no_event,379,0.5018936133585815,0.003843549163641717,0.259951606600992,0.6200527704485488,0.5857519788918206,False
train_forward_oof,AAPL,D3,event,4,,,0.1937939369798336,0.75,1.0,False
train_forward_oof,AAPL,D4,no_event,223,0.5168143044619422,0.03436365392033389,0.25682123986330424,0.6233183856502242,0.5695067264573991,False
train_forward_oof,AAPL,D4,event,160,0.4833581718827621,-0.033283656234475906,0.26266061350111525,0.61875,0.61875,False
train_forward_oof,AMZN,D2,no_event,299,0.5350348763474952,0.07024176580310594,0.2591235244630795,0.5652173913043478,0.5551839464882943,False
train_forward_oof,AMZN,D2,event,83,0.4588719153936546,-0.10625470550030988,0.26572283626931525,0.18072289156626506,0.4457831325301205,False
train_forward_oof,AMZN,D3,no_event,382,0.5326939483171423,0.06530258832057416,0.26055740634768043,0.4816753926701571,0.5314136125654451,False
train_forward_oof,AMZN,D4,no_event,372,0.5247883390067207,0.049418057501586635,0.26294521568190726,0.4946236559139785,0.5403225806451613,False
train_forward_oof,AMZN,D4,event,10,0.5,0.0,0.1717308991144415,0.0,0.2,True
development,AAPL,D2,no_event,24,0.6468531468531469,0.3379631847096873,0.24364696712437683,0.75,0.4583333333333333,False
development,AAPL,D2,event,102,0.5634429400386847,0.1593021532041356,0.2514636498405954,0.803921568627451,0.46078431372549017,False
development,AAPL,D3,no_event,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.7936507936507936,0.4603174603174603,False
development,AAPL,D4,no_event,40,0.5757575757575758,0.17407765595569785,0.24736104540343035,0.75,0.45,False
development,AAPL,D4,event,86,0.5804347826086956,0.20619293865288055,0.25119043812312286,0.813953488372093,0.46511627906976744,False
development,AMZN,D2,no_event,112,0.5504145936981758,0.09988938049711436,0.25214331106950755,0.42857142857142855,0.4017857142857143,False
development,AMZN,D2,event,14,0.6,0.18856180831641267,0.21604391416968657,0.35714285714285715,0.2857142857142857,False
development,AMZN,D3,no_event,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.42063492063492064,0.3888888888888889,False
development,AMZN,D4,no_event,118,0.5585748792270531,0.11630996441185117,0.24858493438670284,0.4067796610169492,0.3898305084745763,False
development,AMZN,D4,event,8,0.5333333333333333,0.06666666666666667,0.2414554225661896,0.625,0.375,False
later,AAPL,D2,no_event,25,0.5032467532467533,0.006715191366878169,0.2615356194981817,0.64,0.56,False
later,AAPL,D2,event,153,0.5234589041095891,0.0583019897834215,0.2582690697971526,0.7973856209150327,0.477124183006536,False
later,AAPL,D3,no_event,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0.4887640449438202,False
later,AAPL,D4,no_event,63,0.5196572580645161,0.04614689903257402,0.2594478040862957,0.7619047619047619,0.5079365079365079,False
later,AAPL,D4,event,115,0.5166666666666667,0.04036867138796655,0.2583334479041936,0.782608695652174,0.4782608695652174,False
later,AMZN,D2,no_event,164,0.5550595238095238,0.11009447570138836,0.25342550667126684,0.49390243902439024,0.5121951219512195,False
later,AMZN,D2,event,15,0.5,0.0,0.31166888593883585,0.2,0.6666666666666666,False
later,AMZN,D3,no_event,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.4692737430167598,0.5251396648044693,False
later,AMZN,D4,no_event,174,0.5468687938567457,0.09369418063187994,0.2559020053228906,0.4827586206896552,0.5229885057471264,False
later,AMZN,D4,event,5,0.5,0.0,0.3419734913974664,0.0,0.6,True
