config,seed,best_epoch,epochs_ran,elapsed_seconds,trainable_parameters,total_parameters,class_weights,stage,fold,train_articles,eval_articles,reload_max_abs,checkpoint_sha256
A0,573,1,3,56.16034007072449,9228,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.6666666865348816, 1.3333333730697632, 0.3333333432674408, 1.3333333730697632, 1.3333333730697632], [0.4545454680919647, 1.3636363744735718, 1.3636363744735718, 1.3636363744735718, 0.4545454680919647]]}",forward_fold,1.0,64,82,0.0,
A0,573,8,10,71.73645091056824,9228,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.6573957204818726, 0.25, 0.25, 1.9721871614456177, 1.9721871614456177], [0.25, 0.9090909361839294, 1.8181818723678589, 1.8181818723678589, 0.3030303120613098]]}",forward_fold,2.0,146,60,0.0,
A0,573,4,6,83.68764185905457,9228,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.5454545617103577, 0.25, 0.25, 1.3636363744735718, 2.7272727489471436], [0.25, 0.4990215301513672, 0.9980430603027344, 2.994129180908203, 0.3326810300350189]]}",forward_fold,3.0,206,43,0.0,
A0,574,1,3,59.73236680030823,9228,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.6666666865348816, 1.3333333730697632, 0.3333333432674408, 1.3333333730697632, 1.3333333730697632], [0.4545454680919647, 1.3636363744735718, 1.3636363744735718, 1.3636363744735718, 0.4545454680919647]]}",forward_fold,1.0,64,82,0.0,
A0,574,7,9,72.30336689949036,9228,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.6573957204818726, 0.25, 0.25, 1.9721871614456177, 1.9721871614456177], [0.25, 0.9090909361839294, 1.8181818723678589, 1.8181818723678589, 0.3030303120613098]]}",forward_fold,2.0,146,60,0.0,
A0,574,3,5,122.00062274932861,9228,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.5454545617103577, 0.25, 0.25, 1.3636363744735718, 2.7272727489471436], [0.25, 0.4990215301513672, 0.9980430603027344, 2.994129180908203, 0.3326810300350189]]}",forward_fold,3.0,206,43,0.0,
A0,575,1,3,142.62694668769836,9228,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.6666666865348816, 1.3333333730697632, 0.3333333432674408, 1.3333333730697632, 1.3333333730697632], [0.4545454680919647, 1.3636363744735718, 1.3636363744735718, 1.3636363744735718, 0.4545454680919647]]}",forward_fold,1.0,64,82,0.0,
A0,575,6,8,147.95793175697327,9228,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.6573957204818726, 0.25, 0.25, 1.9721871614456177, 1.9721871614456177], [0.25, 0.9090909361839294, 1.8181818723678589, 1.8181818723678589, 0.3030303120613098]]}",forward_fold,2.0,146,60,0.0,
A0,575,2,4,110.64398789405823,9228,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.5454545617103577, 0.25, 0.25, 1.3636363744735718, 2.7272727489471436], [0.25, 0.4990215301513672, 0.9980430603027344, 2.994129180908203, 0.3326810300350189]]}",forward_fold,3.0,206,43,0.0,
A1,573,7,9,168.28295493125916,14184972,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.6666666865348816, 1.3333333730697632, 0.3333333432674408, 1.3333333730697632, 1.3333333730697632], [0.4545454680919647, 1.3636363744735718, 1.3636363744735718, 1.3636363744735718, 0.4545454680919647]]}",forward_fold,1.0,64,82,0.0,
