phase,symbol,method,changed,changed_right,changed_wrong
train_forward_oof,AAPL,D2,0,0,0
train_forward_oof,AAPL,D3,0,0,0
train_forward_oof,AAPL,D4,0,0,0
train_forward_oof,AMZN,D2,0,0,0
train_forward_oof,AMZN,D3,0,0,0
train_forward_oof,AMZN,D4,0,0,0
development,AAPL,D2,0,0,0
development,AAPL,D3,0,0,0
development,AAPL,D4,0,0,0
development,AMZN,D2,0,0,0
development,AMZN,D3,0,0,0
development,AMZN,D4,0,0,0
later,AAPL,D2,0,0,0
later,AAPL,D3,0,0,0
later,AAPL,D4,0,0,0
later,AMZN,D2,0,0,0
later,AMZN,D3,0,0,0
later,AMZN,D4,0,0,0
