year_month,source_file,relation_type,edge_rows,records,article_groups,body_rows,publishers
2017-12,all_external,DIRECT_TARGET_HIGH_CONFIDENCE,3,3,2,0,2
2017-12,all_external,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,13,13,5,0,2
2017-12,nasdaq,DIRECT_TARGET_HIGH_CONFIDENCE,15,15,11,12,3
2017-12,nasdaq,INDIRECT_OR_COMPETITOR,279,279,174,279,1
2017-12,nasdaq,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,326,326,191,313,3
2018-01,all_external,DIRECT_TARGET_HIGH_CONFIDENCE,6,6,3,0,3
2018-01,nasdaq,DIRECT_TARGET_HIGH_CONFIDENCE,30,30,17,24,4
2018-01,nasdaq,INDIRECT_OR_COMPETITOR,256,256,175,256,1
2018-01,nasdaq,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,291,291,190,291,1
2018-02,all_external,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,2,2,1,0,1
2018-02,nasdaq,DIRECT_TARGET_HIGH_CONFIDENCE,22,22,17,22,1
2018-02,nasdaq,INDIRECT_OR_COMPETITOR,139,139,87,139,1
2018-02,nasdaq,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,267,267,169,265,2
2018-03,nasdaq,DIRECT_TARGET_HIGH_CONFIDENCE,23,23,14,23,1
2018-03,nasdaq,INDIRECT_OR_COMPETITOR,223,223,127,223,1
2018-03,nasdaq,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,230,230,154,230,1
2018-04,all_external,DIRECT_TARGET_HIGH_CONFIDENCE,6,6,4,0,3
2018-04,all_external,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,4,4,3,0,3
2018-04,nasdaq,DIRECT_TARGET_HIGH_CONFIDENCE,16,16,13,10,4
2018-04,nasdaq,INDIRECT_OR_COMPETITOR,209,209,129,209,1
2018-04,nasdaq,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,381,381,233,377,4
2018-05,all_external,DIRECT_TARGET_HIGH_CONFIDENCE,1,1,1,0,1
2018-05,all_external,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,4,4,2,0,2
2018-05,nasdaq,DIRECT_TARGET_HIGH_CONFIDENCE,13,13,8,12,2
2018-05,nasdaq,INDIRECT_OR_COMPETITOR,169,169,104,169,1
2018-05,nasdaq,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,285,285,183,281,3
2018-06,all_external,DIRECT_TARGET_HIGH_CONFIDENCE,1,1,1,0,1
2018-06,all_external,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,2,2,1,0,1
2018-06,nasdaq,DIRECT_TARGET_HIGH_CONFIDENCE,12,12,8,11,2
2018-06,nasdaq,INDIRECT_OR_COMPETITOR,226,226,130,226,1
2018-06,nasdaq,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,335,335,220,333,2
2018-07,all_external,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,1,1,1,0,1
2018-07,nasdaq,DIRECT_TARGET_HIGH_CONFIDENCE,22,22,15,22,1
2018-07,nasdaq,INDIRECT_OR_COMPETITOR,141,141,83,141,1
2018-07,nasdaq,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,392,392,238,391,2
2018-08,all_external,DIRECT_TARGET_HIGH_CONFIDENCE,3,3,1,0,1
2018-08,all_external,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,1,1,1,0,1
2018-08,nasdaq,DIRECT_TARGET_HIGH_CONFIDENCE,31,31,17,28,2
2018-08,nasdaq,INDIRECT_OR_COMPETITOR,133,133,82,133,1
2018-08,nasdaq,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,440,440,270,439,2
2018-09,all_external,DIRECT_TARGET_HIGH_CONFIDENCE,1,1,1,0,1
2018-09,nasdaq,DIRECT_TARGET_HIGH_CONFIDENCE,19,19,14,18,2
2018-09,nasdaq,INDIRECT_OR_COMPETITOR,144,144,83,144,1
2018-09,nasdaq,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,330,330,201,330,1
2018-10,all_external,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,3,3,1,0,1
2018-10,nasdaq,DIRECT_TARGET_HIGH_CONFIDENCE,20,20,15,20,1
2018-10,nasdaq,INDIRECT_OR_COMPETITOR,99,99,62,99,1
2018-10,nasdaq,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,427,427,261,424,2
2018-11,all_external,DIRECT_TARGET_HIGH_CONFIDENCE,4,4,2,0,2
2018-11,nasdaq,DIRECT_TARGET_HIGH_CONFIDENCE,27,27,16,23,3
2018-11,nasdaq,INDIRECT_OR_COMPETITOR,93,93,64,93,1
2018-11,nasdaq,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,353,353,223,353,1
2018-12,all_external,DIRECT_TARGET_HIGH_CONFIDENCE,2,2,2,0,1
2018-12,all_external,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,2,2,1,0,1
2018-12,nasdaq,DIRECT_TARGET_HIGH_CONFIDENCE,31,31,25,29,2
2018-12,nasdaq,INDIRECT_OR_COMPETITOR,133,133,90,133,1
2018-12,nasdaq,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,358,358,218,356,2
2019-01,all_external,DIRECT_TARGET_HIGH_CONFIDENCE,2,2,1,0,1
2019-01,nasdaq,DIRECT_TARGET_HIGH_CONFIDENCE,20,20,13,18,2
2019-01,nasdaq,INDIRECT_OR_COMPETITOR,132,132,80,132,1
2019-01,nasdaq,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,365,365,230,365,1
2019-02,nasdaq,DIRECT_TARGET_HIGH_CONFIDENCE,9,9,3,9,1
2019-02,nasdaq,INDIRECT_OR_COMPETITOR,9,9,5,9,1
2019-02,nasdaq,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,34,34,17,34,1
