review_id,article_group_hash,sample_hash,relation_stratum,year,source_files,body_class,field_class,row_count,record_count,native_ticker_agrees,semantic_review_decision,independent_reviewer_id
AMZN-FNSPID-001,cec8fe5d64cfc433994d312981b80f88ff977d12976bbe768923f837fac2ff2a,000a2c5b426e28f1cbd019e0bbbff4a59a5f46399d8fad2db20383499a688ffb,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,2018,nasdaq,BODY,BODY_ONLY,3,3,0,,
AMZN-FNSPID-002,525d152403938cf481150c03b7477fe3cd2a1240fb36b7577608f47f63a5b2f6,0016f0e4bf81b5a2813884a060f4d0f1fea14acd3bce210bb3c9fad3c0d9e1e6,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,2018,nasdaq,BODY,TITLE,1,1,0,,
AMZN-FNSPID-003,a3a7d2f8c18245febe7c215652cba0f50bf386fb34b4642c9617334e3f394f77,0018141b6500fc3e2afe828f69e42dde7603adcb6642d62cc855f138fbe8942d,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,2018,nasdaq,BODY,BODY_ONLY,1,1,0,,
AMZN-FNSPID-004,47dced9f5d891e7ac5a8c7ba59b147c6af5e6c7663e26320685a881b0015e90a,00197a391d77a4768472bd684827c6e61c3f3dd80508d59520d075b77d429790,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,2018,nasdaq,BODY,BODY_ONLY,2,2,0,,
AMZN-FNSPID-005,093c589a040133fda091336a0a19969ec88f6f23ba92275ec5222eac7249a1bb,001b2f88228ffd9611fe4af3b3bcc617fcf788941a183874b03e21105923d5f6,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,2018,nasdaq,BODY,BODY_ONLY,3,3,0,,
AMZN-FNSPID-006,a6f4ff30e757bd464885373adff583c1071d65bc237d3eb79f8f2bffc34b90fe,0028be033d00e1fe6c656da237b4bee1c0dac645b3eba94c1855c2b200ae66bc,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,2018,nasdaq,BODY,BODY_ONLY,2,2,0,,
AMZN-FNSPID-007,c81fb65b95cf201383fbec9559c3868c68d126b864fb17439b1d1c3b3d6767b2,0038e08aacfb366fe3908df8b6883f5cabcaf0c1e5bd58eece795da79f8829c1,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,2018,nasdaq,BODY,BODY_ONLY,2,2,0,,
AMZN-FNSPID-008,a13aec6470d57b46f511a479e8b2afce143b744c57cc925c57365f23985099d2,003c8edfa14860e2869b7290b35d9fc285280b09d8d635b954cb1dcf8e1c347a,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,2018,nasdaq,BODY,BODY_ONLY,1,1,0,,
AMZN-FNSPID-009,1fe13d891fcf04a65cca0f88796dab457cf7bc4e832d58d8f30864cc0a725e1e,0055d0fdcc48c11698f0ebab23ecdc5ce3808120ab2e6059651f76da251f7a90,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,2018,nasdaq,BODY,BODY_ONLY,2,2,0,,
AMZN-FNSPID-010,588f4e76dc89476bf567a7e28742e2fe1ca46a48a28c95a0f0b5deaf7d29dd20,005bdfdcf2c62e77ca4cca1ba06f98f9a22e5e41c767405acf77dd971cb1ed3a,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,2018,nasdaq,BODY,BODY_ONLY,1,1,0,,
AMZN-FNSPID-011,5f099b41eb2dea313179c9dd0aeb26aecfad6de4f0398feb0f359c5b7339fd4d,0080720dec15ca0943eeeb5d5ba69d6e2273474019add05e9acaf8abc7c36f48,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,2018,nasdaq,BODY,BODY_ONLY,1,1,0,,
AMZN-FNSPID-012,d22bb70f85cd519e5291c9de97fc17d3f798f736a8b7571dd3ec62b3757994fc,00d32c0910bd8d2b8e697ce1f0377bf470ee725036c5f8d8d627e3984ed3810d,DIRECT_TARGET_HIGH_CONFIDENCE,2018,nasdaq,BODY,BODY_ONLY,1,1,0,,
AMZN-FNSPID-013,6784ab0539116746db156559024688ec5b433c5dd1e3b3c1aab7336d60aa52ad,00e15ceb96cdb5018d37d24e6d7f062dfe6869a2e8661ea2d60960953367cc8c,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,2019,nasdaq,BODY,BODY_ONLY,1,1,0,,
AMZN-FNSPID-014,770cd51a241126068cadde880ba7ed0d441a80110184499bdc51e4368f839937,01158116c67bdd82a7123d797cdf64fcdd43da8bf719a81e2cff331f7ec0f3c1,DIRECT_TARGET_HIGH_CONFIDENCE,2018,nasdaq,BODY,BODY_ONLY,1,1,0,,
AMZN-FNSPID-015,956f1663619d7ff27c9d3226536fe0658e689bbbef89d0a494186723537fc9c2,01b15719be71b412c6f0ebde0ef87645185ec85a27171d6a50ea8cdf3e05fb3b,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,2019,nasdaq,BODY,BODY_ONLY,1,1,0,,
AMZN-FNSPID-016,0a5a691a7c3ad5ab38f1980098abb5495c9af42b1fb893bae57b87a60b910c2c,0291e5657d6778f8983a3c0e70d2769ac433f2cd71729a0319e4f56779aecff8,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,2018,nasdaq,BODY,TITLE,2,2,0,,
AMZN-FNSPID-017,000d874fc5b8bc5e7c975be353ac507fd5016a6e3dbbdca282a32ff8f76364a4,02998e56455a9c040d2942f43826dde80a8127a8062ad711e961645c4f6bbc72,MULTI_COMPANY_DIRECT_HIGH_CONFIDENCE,2019,nasdaq,BODY,BODY_ONLY,1,1,0,,
