key,day,start_utc,cutoff_utc,split,has_original_news,fnspid_direct_groups_24h,fnspid_multi_groups_24h,fnspid_indirect_groups_24h,fnspid_direct_or_multi_groups_24h,fnspid_body_groups_24h,fnspid_direct_groups_3s,fnspid_multi_groups_3s,fnspid_indirect_groups_3s,fnspid_direct_or_multi_groups_3s,fnspid_body_groups_3s
AMZN|2018-01-03 14:30:00+00:00,2018-01-03,2018-01-03T14:30:00+00:00,2018-01-03T14:25:00+00:00,train,1,0,7,13,7,7,0,12,17,12,12
AMZN|2018-01-03 15:30:00+00:00,2018-01-03,2018-01-03T15:30:00+00:00,2018-01-03T15:25:00+00:00,train,1,1,8,5,9,9,1,20,22,21,21
AMZN|2018-01-03 16:30:00+00:00,2018-01-03,2018-01-03T16:30:00+00:00,2018-01-03T16:25:00+00:00,train,1,1,8,5,9,9,1,20,22,21,21
AMZN|2018-01-04 14:30:00+00:00,2018-01-04,2018-01-04T14:30:00+00:00,2018-01-04T14:25:00+00:00,train,0,1,8,5,9,9,1,15,18,16,16
AMZN|2018-01-04 15:30:00+00:00,2018-01-04,2018-01-04T15:30:00+00:00,2018-01-04T15:25:00+00:00,train,0,0,7,10,7,7,1,22,28,23,23
AMZN|2018-01-04 16:30:00+00:00,2018-01-04,2018-01-04T16:30:00+00:00,2018-01-04T16:25:00+00:00,train,0,0,7,10,7,7,1,22,28,23,23
AMZN|2018-01-05 14:30:00+00:00,2018-01-05,2018-01-05T14:30:00+00:00,2018-01-05T14:25:00+00:00,train,0,0,7,10,7,7,1,15,15,16,16
AMZN|2018-01-05 15:30:00+00:00,2018-01-05,2018-01-05T15:30:00+00:00,2018-01-05T15:25:00+00:00,train,1,1,4,8,5,5,2,19,23,21,21
AMZN|2018-01-05 16:30:00+00:00,2018-01-05,2018-01-05T16:30:00+00:00,2018-01-05T16:25:00+00:00,train,1,1,4,8,5,5,2,19,23,21,21
AMZN|2018-01-08 14:30:00+00:00,2018-01-08,2018-01-08T14:30:00+00:00,2018-01-08T14:25:00+00:00,train,0,0,0,0,0,0,1,11,18,12,12
AMZN|2018-01-08 15:30:00+00:00,2018-01-08,2018-01-08T15:30:00+00:00,2018-01-08T15:25:00+00:00,train,0,4,13,10,17,16,5,24,28,29,28
AMZN|2018-01-08 16:30:00+00:00,2018-01-08,2018-01-08T16:30:00+00:00,2018-01-08T16:25:00+00:00,train,0,4,13,10,17,16,5,24,28,29,28
AMZN|2018-01-09 14:30:00+00:00,2018-01-09,2018-01-09T14:30:00+00:00,2018-01-09T14:25:00+00:00,train,1,4,13,10,17,16,5,17,18,22,21
AMZN|2018-01-09 15:30:00+00:00,2018-01-09,2018-01-09T15:30:00+00:00,2018-01-09T15:25:00+00:00,train,1,1,10,12,11,11,6,27,30,33,32
AMZN|2018-01-09 16:30:00+00:00,2018-01-09,2018-01-09T16:30:00+00:00,2018-01-09T16:25:00+00:00,train,1,1,10,12,11,11,6,27,30,33,32
AMZN|2018-01-10 14:30:00+00:00,2018-01-10,2018-01-10T14:30:00+00:00,2018-01-10T14:25:00+00:00,train,0,1,10,12,11,11,5,23,22,28,27
AMZN|2018-01-10 15:30:00+00:00,2018-01-10,2018-01-10T15:30:00+00:00,2018-01-10T15:25:00+00:00,train,0,1,12,9,13,12,6,35,31,41,39
AMZN|2018-01-10 16:30:00+00:00,2018-01-10,2018-01-10T16:30:00+00:00,2018-01-10T16:25:00+00:00,train,0,1,12,9,13,12,6,35,31,41,39
AMZN|2018-01-11 14:30:00+00:00,2018-01-11,2018-01-11T14:30:00+00:00,2018-01-11T14:25:00+00:00,train,1,1,12,9,13,12,2,22,21,24,23
AMZN|2018-01-11 15:30:00+00:00,2018-01-11,2018-01-11T15:30:00+00:00,2018-01-11T15:25:00+00:00,train,1,2,13,8,15,15,4,35,29,39,38
AMZN|2018-01-11 16:30:00+00:00,2018-01-11,2018-01-11T16:30:00+00:00,2018-01-11T16:25:00+00:00,train,0,2,13,8,15,15,4,35,29,39,38
AMZN|2018-01-12 14:30:00+00:00,2018-01-12,2018-01-12T14:30:00+00:00,2018-01-12T14:25:00+00:00,train,0,2,13,8,15,15,3,25,17,28,27
AMZN|2018-01-12 15:30:00+00:00,2018-01-12,2018-01-12T15:30:00+00:00,2018-01-12T15:25:00+00:00,train,0,1,5,7,6,6,4,30,24,34,33
AMZN|2018-01-12 16:30:00+00:00,2018-01-12,2018-01-12T16:30:00+00:00,2018-01-12T16:25:00+00:00,train,0,1,5,7,6,6,4,30,24,34,33
AMZN|2018-01-16 14:30:00+00:00,2018-01-16,2018-01-16T14:30:00+00:00,2018-01-16T14:25:00+00:00,train,0,0,0,0,0,0,3,18,15,21,21
AMZN|2018-01-16 15:30:00+00:00,2018-01-16,2018-01-16T15:30:00+00:00,2018-01-16T15:25:00+00:00,train,0,2,9,13,11,11,5,27,28,32,32
