session_date,open_utc,close_utc,session_index
2017-12-01,2017-12-01 14:30:00+00:00,2017-12-01 21:00:00+00:00,8
2017-12-04,2017-12-04 14:30:00+00:00,2017-12-04 21:00:00+00:00,9
2017-12-05,2017-12-05 14:30:00+00:00,2017-12-05 21:00:00+00:00,10
2017-12-06,2017-12-06 14:30:00+00:00,2017-12-06 21:00:00+00:00,11
2017-12-07,2017-12-07 14:30:00+00:00,2017-12-07 21:00:00+00:00,12
2017-12-08,2017-12-08 14:30:00+00:00,2017-12-08 21:00:00+00:00,13
2017-12-11,2017-12-11 14:30:00+00:00,2017-12-11 21:00:00+00:00,14
2017-12-12,2017-12-12 14:30:00+00:00,2017-12-12 21:00:00+00:00,15
2017-12-13,2017-12-13 14:30:00+00:00,2017-12-13 21:00:00+00:00,16
2017-12-14,2017-12-14 14:30:00+00:00,2017-12-14 21:00:00+00:00,17
2017-12-15,2017-12-15 14:30:00+00:00,2017-12-15 21:00:00+00:00,18
2017-12-18,2017-12-18 14:30:00+00:00,2017-12-18 21:00:00+00:00,19
2017-12-19,2017-12-19 14:30:00+00:00,2017-12-19 21:00:00+00:00,20
2017-12-20,2017-12-20 14:30:00+00:00,2017-12-20 21:00:00+00:00,21
2017-12-21,2017-12-21 14:30:00+00:00,2017-12-21 21:00:00+00:00,22
2017-12-22,2017-12-22 14:30:00+00:00,2017-12-22 21:00:00+00:00,23
2017-12-26,2017-12-26 14:30:00+00:00,2017-12-26 21:00:00+00:00,24
2017-12-27,2017-12-27 14:30:00+00:00,2017-12-27 21:00:00+00:00,25
2017-12-28,2017-12-28 14:30:00+00:00,2017-12-28 21:00:00+00:00,26
2017-12-29,2017-12-29 14:30:00+00:00,2017-12-29 21:00:00+00:00,27
2018-01-02,2018-01-02 14:30:00+00:00,2018-01-02 21:00:00+00:00,28
2018-01-03,2018-01-03 14:30:00+00:00,2018-01-03 21:00:00+00:00,29
2018-01-04,2018-01-04 14:30:00+00:00,2018-01-04 21:00:00+00:00,30
2018-01-05,2018-01-05 14:30:00+00:00,2018-01-05 21:00:00+00:00,31
2018-01-08,2018-01-08 14:30:00+00:00,2018-01-08 21:00:00+00:00,32
2018-01-09,2018-01-09 14:30:00+00:00,2018-01-09 21:00:00+00:00,33
2018-01-10,2018-01-10 14:30:00+00:00,2018-01-10 21:00:00+00:00,34
2018-01-11,2018-01-11 14:30:00+00:00,2018-01-11 21:00:00+00:00,35
2018-01-12,2018-01-12 14:30:00+00:00,2018-01-12 21:00:00+00:00,36
2018-01-16,2018-01-16 14:30:00+00:00,2018-01-16 21:00:00+00:00,37
2018-01-17,2018-01-17 14:30:00+00:00,2018-01-17 21:00:00+00:00,38
2018-01-18,2018-01-18 14:30:00+00:00,2018-01-18 21:00:00+00:00,39
2018-01-19,2018-01-19 14:30:00+00:00,2018-01-19 21:00:00+00:00,40
2018-01-22,2018-01-22 14:30:00+00:00,2018-01-22 21:00:00+00:00,41
2018-01-23,2018-01-23 14:30:00+00:00,2018-01-23 21:00:00+00:00,42
2018-01-24,2018-01-24 14:30:00+00:00,2018-01-24 21:00:00+00:00,43
2018-01-25,2018-01-25 14:30:00+00:00,2018-01-25 21:00:00+00:00,44
2018-01-26,2018-01-26 14:30:00+00:00,2018-01-26 21:00:00+00:00,45
2018-01-29,2018-01-29 14:30:00+00:00,2018-01-29 21:00:00+00:00,46
2018-01-30,2018-01-30 14:30:00+00:00,2018-01-30 21:00:00+00:00,47
2018-01-31,2018-01-31 14:30:00+00:00,2018-01-31 21:00:00+00:00,48
2018-02-01,2018-02-01 14:30:00+00:00,2018-02-01 21:00:00+00:00,49
2018-02-02,2018-02-02 14:30:00+00:00,2018-02-02 21:00:00+00:00,50
2018-02-05,2018-02-05 14:30:00+00:00,2018-02-05 21:00:00+00:00,51
2018-02-06,2018-02-06 14:30:00+00:00,2018-02-06 21:00:00+00:00,52
2018-02-07,2018-02-07 14:30:00+00:00,2018-02-07 21:00:00+00:00,53
2018-02-08,2018-02-08 14:30:00+00:00,2018-02-08 21:00:00+00:00,54
2018-02-09,2018-02-09 14:30:00+00:00,2018-02-09 21:00:00+00:00,55
2018-02-12,2018-02-12 14:30:00+00:00,2018-02-12 21:00:00+00:00,56
2018-02-13,2018-02-13 14:30:00+00:00,2018-02-13 21:00:00+00:00,57
2018-02-14,2018-02-14 14:30:00+00:00,2018-02-14 21:00:00+00:00,58
2018-02-15,2018-02-15 14:30:00+00:00,2018-02-15 21:00:00+00:00,59
2018-02-16,2018-02-16 14:30:00+00:00,2018-02-16 21:00:00+00:00,60
2018-02-20,2018-02-20 14:30:00+00:00,2018-02-20 21:00:00+00:00,61
2018-02-21,2018-02-21 14:30:00+00:00,2018-02-21 21:00:00+00:00,62
2018-02-22,2018-02-22 14:30:00+00:00,2018-02-22 21:00:00+00:00,63
2018-02-23,2018-02-23 14:30:00+00:00,2018-02-23 21:00:00+00:00,64
2018-02-26,2018-02-26 14:30:00+00:00,2018-02-26 21:00:00+00:00,65
2018-02-27,2018-02-27 14:30:00+00:00,2018-02-27 21:00:00+00:00,66
2018-02-28,2018-02-28 14:30:00+00:00,2018-02-28 21:00:00+00:00,67
2018-03-01,2018-03-01 14:30:00+00:00,2018-03-01 21:00:00+00:00,68
2018-03-02,2018-03-02 14:30:00+00:00,2018-03-02 21:00:00+00:00,69
2018-03-05,2018-03-05 14:30:00+00:00,2018-03-05 21:00:00+00:00,70
2018-03-06,2018-03-06 14:30:00+00:00,2018-03-06 21:00:00+00:00,71
2018-03-07,2018-03-07 14:30:00+00:00,2018-03-07 21:00:00+00:00,72
2018-03-08,2018-03-08 14:30:00+00:00,2018-03-08 21:00:00+00:00,73
2018-03-09,2018-03-09 14:30:00+00:00,2018-03-09 21:00:00+00:00,74
2018-03-12,2018-03-12 13:30:00+00:00,2018-03-12 20:00:00+00:00,75
2018-03-13,2018-03-13 13:30:00+00:00,2018-03-13 20:00:00+00:00,76
2018-03-14,2018-03-14 13:30:00+00:00,2018-03-14 20:00:00+00:00,77
2018-03-15,2018-03-15 13:30:00+00:00,2018-03-15 20:00:00+00:00,78
2018-03-16,2018-03-16 13:30:00+00:00,2018-03-16 20:00:00+00:00,79
2018-03-19,2018-03-19 13:30:00+00:00,2018-03-19 20:00:00+00:00,80
2018-03-20,2018-03-20 13:30:00+00:00,2018-03-20 20:00:00+00:00,81
2018-03-21,2018-03-21 13:30:00+00:00,2018-03-21 20:00:00+00:00,82
2018-03-22,2018-03-22 13:30:00+00:00,2018-03-22 20:00:00+00:00,83
2018-03-23,2018-03-23 13:30:00+00:00,2018-03-23 20:00:00+00:00,84
2018-03-26,2018-03-26 13:30:00+00:00,2018-03-26 20:00:00+00:00,85
2018-03-27,2018-03-27 13:30:00+00:00,2018-03-27 20:00:00+00:00,86
2018-03-28,2018-03-28 13:30:00+00:00,2018-03-28 20:00:00+00:00,87
2018-03-29,2018-03-29 13:30:00+00:00,2018-03-29 20:00:00+00:00,88
