symbol,month,method,C,selection_months
AAPL,2018-03,PRICE_R1,0.1,[]
AAPL,2018-03,AUG_FULL_LR,0.1,[]
AAPL,2018-03,AUG_TFIDF_SVM,0.1,[]
AAPL,2018-03,AUG_FINBERT_LR,0.1,[]
AAPL,2018-03,AUG_FINMODERN_LR,0.1,[]
AAPL,2018-03,AUG_EVENT_META,0.1,[]
AAPL,2018-04,PRICE_R1,0.01,['2018-03']
AAPL,2018-04,AUG_FULL_LR,1.0,['2018-03']
AAPL,2018-04,AUG_TFIDF_SVM,0.1,['2018-03']
AAPL,2018-04,AUG_FINBERT_LR,0.1,['2018-03']
AAPL,2018-04,AUG_FINMODERN_LR,0.01,['2018-03']
AAPL,2018-04,AUG_EVENT_META,0.01,['2018-03']
AAPL,2018-05,PRICE_R1,0.01,"['2018-03', '2018-04']"
AAPL,2018-05,AUG_FULL_LR,0.1,"['2018-03', '2018-04']"
AAPL,2018-05,AUG_TFIDF_SVM,0.1,"['2018-03', '2018-04']"
AAPL,2018-05,AUG_FINBERT_LR,0.01,"['2018-03', '2018-04']"
AAPL,2018-05,AUG_FINMODERN_LR,0.01,"['2018-03', '2018-04']"
AAPL,2018-05,AUG_EVENT_META,0.01,"['2018-03', '2018-04']"
AAPL,2018-06,PRICE_R1,0.01,"['2018-03', '2018-04', '2018-05']"
AAPL,2018-06,AUG_FULL_LR,0.1,"['2018-03', '2018-04', '2018-05']"
AAPL,2018-06,AUG_TFIDF_SVM,0.1,"['2018-03', '2018-04', '2018-05']"
AAPL,2018-06,AUG_FINBERT_LR,0.01,"['2018-03', '2018-04', '2018-05']"
AAPL,2018-06,AUG_FINMODERN_LR,0.01,"['2018-03', '2018-04', '2018-05']"
AAPL,2018-06,AUG_EVENT_META,0.01,"['2018-03', '2018-04', '2018-05']"
AAPL,2018-07,PRICE_R1,0.01,"['2018-03', '2018-04', '2018-05', '2018-06']"
AAPL,2018-07,AUG_FULL_LR,0.1,"['2018-03', '2018-04', '2018-05', '2018-06']"
AAPL,2018-07,AUG_TFIDF_SVM,0.1,"['2018-03', '2018-04', '2018-05', '2018-06']"
AAPL,2018-07,AUG_FINBERT_LR,0.01,"['2018-03', '2018-04', '2018-05', '2018-06']"
AAPL,2018-07,AUG_FINMODERN_LR,0.01,"['2018-03', '2018-04', '2018-05', '2018-06']"
AAPL,2018-07,AUG_EVENT_META,0.01,"['2018-03', '2018-04', '2018-05', '2018-06']"
AAPL,2018-08,PRICE_R1,0.01,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07']"
AAPL,2018-08,AUG_FULL_LR,0.1,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07']"
AAPL,2018-08,AUG_TFIDF_SVM,0.1,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07']"
AAPL,2018-08,AUG_FINBERT_LR,0.01,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07']"
AAPL,2018-08,AUG_FINMODERN_LR,1.0,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07']"
AAPL,2018-08,AUG_EVENT_META,0.01,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07']"
AAPL,final,PRICE_R1,0.01,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08']"
AAPL,final,AUG_FULL_LR,0.1,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08']"
AAPL,final,AUG_TFIDF_SVM,0.1,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08']"
AAPL,final,AUG_FINBERT_LR,0.01,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08']"
AAPL,final,AUG_FINMODERN_LR,0.01,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08']"
AAPL,final,AUG_EVENT_META,0.01,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08']"
AMZN,2018-03,PRICE_R1,0.1,[]
AMZN,2018-03,AUG_FULL_LR,0.1,[]
AMZN,2018-03,AUG_TFIDF_SVM,0.1,[]
AMZN,2018-03,AUG_FINBERT_LR,0.1,[]
