phase,symbol,flag,value,method,n,BA,accuracy,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,has_original_news,0,PRICE_R1,2,,0.5,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,PRICE_R1,124,0.5682773109243697,0.5403225806451613,0.16465962597158695,0.24450656238774834,0.6504726890756302,0.8571428571428571,0.27941176470588236,0.782258064516129,False
development,AAPL,has_aug_news,1,PRICE_R1,126,0.5621196754563895,0.5396825396825397,0.14894830773554277,0.24411096100759513,0.6435091277890466,0.8448275862068966,0.27941176470588236,0.7777777777777778,False
development,AAPL,has_original_news,0,AUG_FULL_LR,2,,1.0,0.0,0.08681319511534204,,1.0,,1.0,True
development,AAPL,has_original_news,1,AUG_FULL_LR,124,0.49474789915966383,0.4596774193548387,-0.01519830556849417,0.3028610901935672,0.554359243697479,0.8571428571428571,0.1323529411764706,0.8629032258064516,False
development,AAPL,has_aug_news,1,AUG_FULL_LR,126,0.49721095334685594,0.46825396825396826,-0.008137978123107967,0.2994317585256589,0.5580628803245437,0.8620689655172413,0.1323529411764706,0.8650793650793651,False
development,AAPL,has_original_news,0,AUG_TFIDF_SVM,2,,1.0,0.0,0.16227961593172358,,1.0,,1.0,True
development,AAPL,has_original_news,1,AUG_TFIDF_SVM,124,0.5,0.45161290322580644,0.0,0.27002202655100016,0.42647058823529416,1.0,0.0,1.0,True
development,AAPL,has_aug_news,1,AUG_TFIDF_SVM,126,0.5,0.4603174603174603,0.0,0.2683118295570434,0.4300202839756593,1.0,0.0,1.0,True
development,AAPL,has_original_news,0,AUG_FINBERT_LR,2,,1.0,0.0,0.14492243360962362,,1.0,,1.0,True
development,AAPL,has_original_news,1,AUG_FINBERT_LR,124,0.5761554621848739,0.5403225806451613,0.22037543074316548,0.2503978549358639,0.6449579831932772,0.9464285714285714,0.20588235294117646,0.8629032258064516,False
development,AAPL,has_aug_news,1,AUG_FINBERT_LR,126,0.577079107505071,0.5476190476190477,0.22490412267498383,0.24872364189893945,0.6462981744421906,0.9482758620689655,0.20588235294117646,0.8650793650793651,False
development,AAPL,has_original_news,0,AUG_FINMODERN_LR,2,,1.0,0.0,0.08291247826312448,,1.0,,1.0,True
development,AAPL,has_original_news,1,AUG_FINMODERN_LR,124,0.529936974789916,0.5,0.07541899767355725,0.25532879217880394,0.5976890756302522,0.8392857142857143,0.22058823529411764,0.8064516129032258,False
development,AAPL,has_aug_news,1,AUG_FINMODERN_LR,126,0.532707910750507,0.5079365079365079,0.08303200901423632,0.2525920252912535,0.6105476673427992,0.8448275862068966,0.22058823529411764,0.8095238095238095,False
development,AAPL,has_original_news,0,AUG_EVENT_META,2,,1.0,0.0,0.11920805314022367,,1.0,,1.0,True
development,AAPL,has_original_news,1,AUG_EVENT_META,124,0.5672268907563025,0.532258064516129,0.18994694191096623,0.2527514260269643,0.6381302521008404,0.9285714285714286,0.20588235294117646,0.8548387096774194,False
development,AAPL,has_aug_news,1,AUG_EVENT_META,126,0.5684584178498986,0.5396825396825397,0.1950191128096289,0.250631689949397,0.6419878296146045,0.9310344827586207,0.20588235294117646,0.8571428571428571,False
development,AAPL,has_original_news,0,ORIG_PRICE_R1,2,,0.5,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,ORIG_PRICE_R1,124,0.5682773109243697,0.5403225806451613,0.16465962597158695,0.24450656238774834,0.6504726890756302,0.8571428571428571,0.27941176470588236,0.782258064516129,False
development,AAPL,has_aug_news,1,ORIG_PRICE_R1,126,0.5621196754563895,0.5396825396825397,0.14894830773554277,0.24411096100759513,0.6435091277890466,0.8448275862068966,0.27941176470588236,0.7777777777777778,False
