phase,symbol,method,baseline,repaired,introduced,changed
development,AAPL,AUG_FULL_LR,ORIG_FULL_LR,11,22,33
development,AAPL,AUG_TFIDF_SVM,ORIG_TFIDF_SVM,2,0,2
development,AAPL,AUG_FINBERT_LR,ORIG_FINBERT_LR,13,9,22
development,AAPL,AUG_FINMODERN_LR,ORIG_FINMODERN_LR,17,8,25
development,AAPL,AUG_EVENT_META,ORIG_EVENT_META,12,6,18
development,AMZN,AUG_FULL_LR,ORIG_FULL_LR,20,20,40
development,AMZN,AUG_TFIDF_SVM,ORIG_TFIDF_SVM,46,25,71
development,AMZN,AUG_FINBERT_LR,ORIG_FINBERT_LR,33,17,50
development,AMZN,AUG_FINMODERN_LR,ORIG_FINMODERN_LR,18,10,28
development,AMZN,AUG_EVENT_META,ORIG_EVENT_META,22,14,36
later,AAPL,AUG_FULL_LR,ORIG_FULL_LR,17,21,38
later,AAPL,AUG_TFIDF_SVM,ORIG_TFIDF_SVM,0,0,0
later,AAPL,AUG_FINBERT_LR,ORIG_FINBERT_LR,17,22,39
later,AAPL,AUG_FINMODERN_LR,ORIG_FINMODERN_LR,21,22,43
later,AAPL,AUG_EVENT_META,ORIG_EVENT_META,17,25,42
later,AMZN,AUG_FULL_LR,ORIG_FULL_LR,9,27,36
later,AMZN,AUG_TFIDF_SVM,ORIG_TFIDF_SVM,46,59,105
later,AMZN,AUG_FINBERT_LR,ORIG_FINBERT_LR,23,33,56
later,AMZN,AUG_FINMODERN_LR,ORIG_FINMODERN_LR,14,31,45
later,AMZN,AUG_EVENT_META,ORIG_EVENT_META,15,25,40
train_forward_oof,AAPL,AUG_FULL_LR,ORIG_FULL_LR,50,51,101
train_forward_oof,AAPL,AUG_TFIDF_SVM,ORIG_TFIDF_SVM,32,36,68
train_forward_oof,AAPL,AUG_FINBERT_LR,ORIG_FINBERT_LR,70,63,133
train_forward_oof,AAPL,AUG_FINMODERN_LR,ORIG_FINMODERN_LR,56,61,117
train_forward_oof,AAPL,AUG_EVENT_META,ORIG_EVENT_META,76,67,143
train_forward_oof,AMZN,AUG_FULL_LR,ORIG_FULL_LR,50,60,110
train_forward_oof,AMZN,AUG_TFIDF_SVM,ORIG_TFIDF_SVM,64,68,132
train_forward_oof,AMZN,AUG_FINBERT_LR,ORIG_FINBERT_LR,68,66,134
train_forward_oof,AMZN,AUG_FINMODERN_LR,ORIG_FINMODERN_LR,69,64,133
train_forward_oof,AMZN,AUG_EVENT_META,ORIG_EVENT_META,68,63,131
