phase,symbol,method,n,BA,accuracy,MCC,Brier,AUC,pred_up,constant
development,AAPL,PRICE_R1,126,0.5621196754563895,0.5396825396825397,0.14894830773554277,0.24411096100759513,0.6435091277890466,0.7777777777777778,False
development,AAPL,AUG_UNFILTERED_FINBERT,126,0.577079107505071,0.5476190476190477,0.22490412267498383,0.24872364189893945,0.6462981744421906,0.8650793650793651,False
development,AAPL,ORIG_FINBERT,126,0.5413286004056794,0.5158730158730159,0.10665141370746663,0.2802954750833431,0.6196754563894524,0.8174603174603174,False
development,AAPL,L1_FILTERED_FINBERT,126,0.5580628803245437,0.5476190476190477,0.11968357416735677,0.25504778009228296,0.6135902636916836,0.626984126984127,False
development,AAPL,L2_FACT_CHANGE,126,0.5043103448275862,0.48412698412698413,0.009976261268042172,0.2566705021018289,0.5649087221095336,0.753968253968254,False
development,AAPL,L3_CASE_VOTE,126,0.5877281947261663,0.5714285714285714,0.19054804921937163,0.2440919595786754,0.6313387423935092,0.6984126984126984,False
development,AAPL,L5_GUARDED_SYSTEM,126,0.5877281947261663,0.5714285714285714,0.19054804921937163,0.2440919595786754,0.6313387423935092,0.6984126984126984,False
development,AMZN,PRICE_R1,126,0.5111317254174397,0.48412698412698413,0.02234950781338371,0.2718877788099645,0.5552610654651471,0.6190476190476191,False
development,AMZN,AUG_UNFILTERED_FINBERT,126,0.585343228200371,0.5793650793650794,0.1664395883589728,0.243606490076093,0.6360985952822689,0.5079365079365079,False
development,AMZN,ORIG_FINBERT,126,0.46289424860853434,0.4523809523809524,-0.0728067416339465,0.29765239539445904,0.5030479724357275,0.5555555555555556,False
development,AMZN,L1_FILTERED_FINBERT,126,0.5324675324675324,0.5238095238095238,0.06343943034750402,0.2478129860448929,0.5852107076596873,0.5317460317460317,False
development,AMZN,L2_FACT_CHANGE,126,0.49443413729128016,0.46825396825396826,-0.011174753906691854,0.26622579492282794,0.5711635303472038,0.6190476190476191,False
development,AMZN,L3_CASE_VOTE,126,0.549165120593692,0.5079365079365079,0.10231259871920485,0.27602749350799183,0.5761993108931884,0.6746031746031746,False
development,AMZN,L5_GUARDED_SYSTEM,126,0.549165120593692,0.5079365079365079,0.10231259871920485,0.27602749350799183,0.5761993108931884,0.6746031746031746,False
