phase,symbol,month,method,n,BA,accuracy,MCC,Brier,AUC,pred_up,constant
development,AAPL,2018-09,PRICE_R1,57,0.6188423645320198,0.6140350877192983,0.2831921951995806,0.23687878867299852,0.6748768472906405,0.7719298245614035,False
development,AAPL,2018-10,PRICE_R1,69,0.5153846153846154,0.4782608695652174,0.03698001308168194,0.25008536424052286,0.6205128205128204,0.782608695652174,False
development,AAPL,2018-09,AUG_UNFILTERED_FINBERT,57,0.5855911330049262,0.5789473684210527,0.2607370595357348,0.24719073140874356,0.6108374384236452,0.8771929824561403,False
development,AAPL,2018-10,AUG_UNFILTERED_FINBERT,69,0.5692307692307692,0.5217391304347826,0.1949826990620121,0.2499899592604057,0.6820512820512821,0.855072463768116,False
development,AAPL,2018-09,ORIG_FINBERT,57,0.5843596059113301,0.5789473684210527,0.21373088995176615,0.24342446352926747,0.6933497536945814,0.8070175438596491,False
development,AAPL,2018-10,ORIG_FINBERT,69,0.5064102564102564,0.463768115942029,0.01676757576219862,0.31075413680192726,0.594017094017094,0.8260869565217391,False
development,AAPL,2018-09,L1_FILTERED_FINBERT,57,0.562192118226601,0.5614035087719298,0.1248463466632208,0.25219539666858243,0.6022167487684729,0.543859649122807,False
development,AAPL,2018-10,L1_FILTERED_FINBERT,69,0.5628205128205128,0.5362318840579711,0.13536118192690832,0.25740409683360077,0.6495726495726496,0.6956521739130435,False
development,AAPL,2018-09,L2_FACT_CHANGE,57,0.5474137931034483,0.543859649122807,0.10362349933583821,0.24830132758899517,0.58128078817734,0.7017543859649122,False
development,AAPL,2018-10,L2_FACT_CHANGE,69,0.4730769230769231,0.43478260869565216,-0.06637465183030647,0.2635841680037352,0.570940170940171,0.7971014492753623,False
development,AAPL,2018-09,L3_CASE_VOTE,57,0.6687192118226601,0.6666666666666666,0.34651910627186433,0.23688625938116323,0.6551724137931034,0.6140350877192983,False
development,AAPL,2018-10,L3_CASE_VOTE,69,0.5282051282051282,0.4927536231884058,0.06626025128125354,0.2500444945244464,0.6188034188034188,0.7681159420289855,False
development,AAPL,2018-09,L4_LLM_ANALOGY,57,0.5320197044334976,0.5263157894736842,0.08417369656724837,0.2506962747360107,0.602216748768473,0.8245614035087719,False
development,AAPL,2018-10,L4_LLM_ANALOGY,69,0.573076923076923,0.5217391304347826,0.2263045409865262,0.2638405394656385,0.5888888888888889,0.8840579710144928,False
development,AAPL,2018-09,L5_GUARDED_SYSTEM,57,0.6687192118226601,0.6666666666666666,0.34651910627186433,0.23688625938116323,0.6551724137931034,0.6140350877192983,False
development,AAPL,2018-10,L5_GUARDED_SYSTEM,69,0.5282051282051282,0.4927536231884058,0.06626025128125354,0.2500444945244464,0.6188034188034188,0.7681159420289855,False
development,AMZN,2018-09,PRICE_R1,57,0.47598522167487683,0.47368421052631576,-0.04977665340318334,0.26348832319443444,0.5197044334975369,0.631578947368421,False
development,AMZN,2018-10,PRICE_R1,69,0.5416666666666666,0.4927536231884058,0.07856742013183861,0.2788264595358372,0.6041666666666666,0.6086956521739131,False
development,AMZN,2018-09,AUG_UNFILTERED_FINBERT,57,0.6656403940886699,0.6666666666666666,0.3337561460477253,0.2334562482427541,0.687192118226601,0.43859649122807015,False
development,AMZN,2018-10,AUG_UNFILTERED_FINBERT,69,0.5386904761904762,0.5072463768115942,0.07182430061427789,0.25199147246015563,0.6666666666666666,0.5652173913043478,False
