symbol,month,method,choice
AAPL,2018-03,L1_FILTERED_FINBERT,0.1
AAPL,2018-03,L2_FACT_CHANGE,0.1
AAPL,2018-03,L3_CASE_VOTE,"(5, 0.0)"
AAPL,2018-03,L4_LLM_ANALOGY,0.0
AAPL,2018-04,L1_FILTERED_FINBERT,1.0
AAPL,2018-04,L2_FACT_CHANGE,0.01
AAPL,2018-04,L3_CASE_VOTE,"(3, 0.25)"
AAPL,2018-04,L4_LLM_ANALOGY,0.25
AAPL,2018-05,L1_FILTERED_FINBERT,0.1
AAPL,2018-05,L2_FACT_CHANGE,1.0
AAPL,2018-05,L3_CASE_VOTE,"(3, 0.25)"
AAPL,2018-05,L4_LLM_ANALOGY,0.5
AAPL,2018-06,L1_FILTERED_FINBERT,0.1
AAPL,2018-06,L2_FACT_CHANGE,0.1
AAPL,2018-06,L3_CASE_VOTE,"(3, 0.25)"
AAPL,2018-06,L4_LLM_ANALOGY,0.25
AAPL,2018-07,L1_FILTERED_FINBERT,0.1
AAPL,2018-07,L2_FACT_CHANGE,0.1
AAPL,2018-07,L3_CASE_VOTE,"(3, 0.25)"
AAPL,2018-07,L4_LLM_ANALOGY,0.25
AAPL,2018-08,L1_FILTERED_FINBERT,0.1
AAPL,2018-08,L2_FACT_CHANGE,0.1
AAPL,2018-08,L3_CASE_VOTE,"(3, 0.25)"
AAPL,2018-08,L4_LLM_ANALOGY,0.25
AAPL,final,L1_FILTERED_FINBERT,0.1
AAPL,final,L2_FACT_CHANGE,0.1
AAPL,final,L3_CASE_VOTE,"(3, 0.25)"
AAPL,final,L4_LLM_ANALOGY,0.25
AMZN,2018-03,L1_FILTERED_FINBERT,0.1
AMZN,2018-03,L2_FACT_CHANGE,0.1
AMZN,2018-03,L3_CASE_VOTE,"(5, 0.0)"
AMZN,2018-03,L4_LLM_ANALOGY,0.0
AMZN,2018-04,L1_FILTERED_FINBERT,0.01
AMZN,2018-04,L2_FACT_CHANGE,0.01
AMZN,2018-04,L3_CASE_VOTE,"(3, 0.5)"
AMZN,2018-04,L4_LLM_ANALOGY,0.5
AMZN,2018-05,L1_FILTERED_FINBERT,0.01
AMZN,2018-05,L2_FACT_CHANGE,0.01
AMZN,2018-05,L3_CASE_VOTE,"(3, 0.5)"
AMZN,2018-05,L4_LLM_ANALOGY,0.5
AMZN,2018-06,L1_FILTERED_FINBERT,0.01
AMZN,2018-06,L2_FACT_CHANGE,1.0
AMZN,2018-06,L3_CASE_VOTE,"(3, 0.5)"
AMZN,2018-06,L4_LLM_ANALOGY,0.5
AMZN,2018-07,L1_FILTERED_FINBERT,0.01
AMZN,2018-07,L2_FACT_CHANGE,1.0
AMZN,2018-07,L3_CASE_VOTE,"(3, 0.5)"
AMZN,2018-07,L4_LLM_ANALOGY,0.5
AMZN,2018-08,L1_FILTERED_FINBERT,0.01
AMZN,2018-08,L2_FACT_CHANGE,1.0
AMZN,2018-08,L3_CASE_VOTE,"(3, 0.5)"
AMZN,2018-08,L4_LLM_ANALOGY,0.5
AMZN,final,L1_FILTERED_FINBERT,0.01
AMZN,final,L2_FACT_CHANGE,0.01
AMZN,final,L3_CASE_VOTE,"(3, 0.5)"
AMZN,final,L4_LLM_ANALOGY,0
