phase,symbol,method,repaired,introduced,changed
development,AAPL,L1_FILTERED_FINBERT,19,18,37
development,AAPL,L2_FACT_CHANGE,8,15,23
development,AAPL,L3_CASE_VOTE,12,8,20
development,AAPL,L4_LLM_ANALOGY,6,8,14
development,AAPL,L5_GUARDED_SYSTEM,12,8,20
development,AMZN,L1_FILTERED_FINBERT,27,22,49
development,AMZN,L2_FACT_CHANGE,0,2,2
development,AMZN,L3_CASE_VOTE,12,9,21
development,AMZN,L4_LLM_ANALOGY,0,0,0
development,AMZN,L5_GUARDED_SYSTEM,12,9,21
later,AAPL,L1_FILTERED_FINBERT,25,26,51
later,AAPL,L2_FACT_CHANGE,22,31,53
later,AAPL,L3_CASE_VOTE,6,17,23
later,AAPL,L4_LLM_ANALOGY,14,23,37
later,AAPL,L5_GUARDED_SYSTEM,6,17,23
later,AMZN,L1_FILTERED_FINBERT,27,33,60
later,AMZN,L2_FACT_CHANGE,3,5,8
later,AMZN,L3_CASE_VOTE,13,18,31
later,AMZN,L4_LLM_ANALOGY,0,0,0
later,AMZN,L5_GUARDED_SYSTEM,13,18,31
train_forward_oof,AAPL,L1_FILTERED_FINBERT,84,66,150
train_forward_oof,AAPL,L2_FACT_CHANGE,28,32,60
train_forward_oof,AAPL,L3_CASE_VOTE,25,20,45
train_forward_oof,AAPL,L4_LLM_ANALOGY,38,33,71
train_forward_oof,AAPL,L5_GUARDED_SYSTEM,25,20,45
train_forward_oof,AMZN,L1_FILTERED_FINBERT,64,64,128
train_forward_oof,AMZN,L2_FACT_CHANGE,15,19,34
train_forward_oof,AMZN,L3_CASE_VOTE,51,39,90
train_forward_oof,AMZN,L4_LLM_ANALOGY,37,42,79
train_forward_oof,AMZN,L5_GUARDED_SYSTEM,51,39,90
