symbol,month,method,C,selection_months
AAPL,2018-03,PRICE_R1,0.1,[]
AAPL,2018-03,TFIDF_SVM,0.1,[]
AAPL,2018-03,FINMODERN_LR,0.1,[]
AAPL,2018-04,PRICE_R1,0.01,['2018-03']
AAPL,2018-04,TFIDF_SVM,0.01,['2018-03']
AAPL,2018-04,FINMODERN_LR,0.1,['2018-03']
AAPL,2018-05,PRICE_R1,0.01,"['2018-03', '2018-04']"
AAPL,2018-05,TFIDF_SVM,1.0,"['2018-03', '2018-04']"
AAPL,2018-05,FINMODERN_LR,0.01,"['2018-03', '2018-04']"
AAPL,2018-06,PRICE_R1,0.01,"['2018-03', '2018-04', '2018-05']"
AAPL,2018-06,TFIDF_SVM,1.0,"['2018-03', '2018-04', '2018-05']"
AAPL,2018-06,FINMODERN_LR,0.01,"['2018-03', '2018-04', '2018-05']"
AAPL,2018-07,PRICE_R1,0.01,"['2018-03', '2018-04', '2018-05', '2018-06']"
AAPL,2018-07,TFIDF_SVM,1.0,"['2018-03', '2018-04', '2018-05', '2018-06']"
AAPL,2018-07,FINMODERN_LR,0.1,"['2018-03', '2018-04', '2018-05', '2018-06']"
AAPL,2018-08,PRICE_R1,0.01,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07']"
AAPL,2018-08,TFIDF_SVM,1.0,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07']"
AAPL,2018-08,FINMODERN_LR,0.1,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07']"
AAPL,final,PRICE_R1,0.01,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08']"
AAPL,final,TFIDF_SVM,1.0,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08']"
AAPL,final,FINMODERN_LR,0.1,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08']"
AMZN,2018-03,PRICE_R1,0.1,[]
AMZN,2018-03,TFIDF_SVM,0.1,[]
AMZN,2018-03,FINMODERN_LR,0.1,[]
AMZN,2018-04,PRICE_R1,0.01,['2018-03']
AMZN,2018-04,TFIDF_SVM,0.01,['2018-03']
AMZN,2018-04,FINMODERN_LR,0.01,['2018-03']
AMZN,2018-05,PRICE_R1,0.1,"['2018-03', '2018-04']"
AMZN,2018-05,TFIDF_SVM,1.0,"['2018-03', '2018-04']"
AMZN,2018-05,FINMODERN_LR,0.01,"['2018-03', '2018-04']"
AMZN,2018-06,PRICE_R1,0.1,"['2018-03', '2018-04', '2018-05']"
AMZN,2018-06,TFIDF_SVM,0.01,"['2018-03', '2018-04', '2018-05']"
AMZN,2018-06,FINMODERN_LR,0.01,"['2018-03', '2018-04', '2018-05']"
AMZN,2018-07,PRICE_R1,0.1,"['2018-03', '2018-04', '2018-05', '2018-06']"
AMZN,2018-07,TFIDF_SVM,1.0,"['2018-03', '2018-04', '2018-05', '2018-06']"
AMZN,2018-07,FINMODERN_LR,0.01,"['2018-03', '2018-04', '2018-05', '2018-06']"
AMZN,2018-08,PRICE_R1,0.1,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07']"
AMZN,2018-08,TFIDF_SVM,0.01,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07']"
AMZN,2018-08,FINMODERN_LR,0.01,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07']"
AMZN,final,PRICE_R1,0.1,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08']"
AMZN,final,TFIDF_SVM,1.0,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08']"
AMZN,final,FINMODERN_LR,0.01,"['2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08']"
