phase,symbol,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,F0,126,0.5045638945233265,0.013001274187308592,0.260102851399259,0.5955882352941178,0.8620689655172413,0.14705882352941177,0.8571428571428571,False
development,AAPL,R1,126,0.5621196754563895,0.14894830773554277,0.24411096100759516,0.6435091277890466,0.8448275862068966,0.27941176470588236,0.7777777777777778,False
development,AAPL,F1,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.5755578093306288,0.8793103448275862,0.27941176470588236,0.7936507936507936,False
development,AAPL,F2,126,0.5413286004056794,0.10665141370746663,0.28029547508334307,0.6196754563894524,0.8620689655172413,0.22058823529411764,0.8174603174603174,False
development,AAPL,F6,126,0.5035496957403651,0.015447815630555594,0.25729622065442287,0.5760649087221096,0.9482758620689655,0.058823529411764705,0.9444444444444444,False
development,AAPL,A01,126,0.5758113590263692,0.21118547340860894,0.25705504321877026,0.6011663286004058,0.9310344827586207,0.22058823529411764,0.8492063492063492,False
development,AAPL,A1,126,0.5167342799188641,0.04248149298402788,0.2884711010630862,0.5993914807302232,0.8275862068965517,0.20588235294117646,0.8095238095238095,False
development,AAPL,E01,126,0.5377789046653144,0.11310751919314173,0.2587149731934313,0.5927991886409737,0.9137931034482759,0.16176470588235295,0.873015873015873,False
development,AAPL,E1,126,0.5180020283975659,0.047270683418866276,0.293689584571096,0.5922920892494928,0.8448275862068966,0.19117647058823528,0.8253968253968254,False
development,AAPL,MODERN,126,0.4551217038539554,-0.10175045610781852,0.27386990213136386,0.5256085192697769,0.6896551724137931,0.22058823529411764,0.7380952380952381,False
development,AAPL,HISTORY_LR,126,0.4437119675456389,-0.1143138356661114,0.37903421190615694,0.42089249492900604,0.5344827586206896,0.35294117647058826,0.5952380952380952,False
development,AAPL,CHRONOS_LR,126,0.5,0.0,0.26239133745470383,0.4396551724137931,1.0,0.0,1.0,True
development,AMZN,F0,126,0.48330241187384043,-0.03289758474798845,0.27095076661399387,0.5269016697588127,0.5510204081632653,0.4155844155844156,0.5714285714285714,False
development,AMZN,R1,126,0.5111317254174397,0.02234950781338371,0.2718877788099645,0.5552610654651471,0.6326530612244898,0.38961038961038963,0.6190476190476191,False
development,AMZN,F1,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.5804399681950703,0.4897959183673469,0.6233766233766234,0.42063492063492064,False
development,AMZN,F2,126,0.46289424860853434,-0.0728067416339465,0.297652395394459,0.5030479724357275,0.5102040816326531,0.4155844155844156,0.5555555555555556,False
development,AMZN,F6,126,0.5250463821892393,0.050964719143762556,0.2651589066198111,0.5420090113967665,0.673469387755102,0.37662337662337664,0.6428571428571429,False
development,AMZN,A01,126,0.4879406307977736,-0.02352753314395493,0.26255609724203127,0.53829843625762,0.46938775510204084,0.5064935064935064,0.48412698412698413,False
development,AMZN,A1,126,0.47588126159554733,-0.04718017335077224,0.30285263583212524,0.504108136761198,0.5102040816326531,0.44155844155844154,0.5396825396825397,False
development,AMZN,E01,126,0.5046382189239331,0.009049051209213435,0.2623377479305073,0.53829843625762,0.4897959183673469,0.5194805194805194,0.48412698412698413,False
development,AMZN,E1,126,0.4693877551020408,-0.05996621038308492,0.3025824410585986,0.5027829313543599,0.5102040816326531,0.42857142857142855,0.5476190476190477,False
development,AMZN,MODERN,126,0.5482374768089053,0.0940745499420281,0.24908394461288252,0.5981977206467003,0.5510204081632653,0.5454545454545454,0.49206349206349204,False
development,AMZN,HISTORY_LR,126,0.585343228200371,0.17454571850893355,0.26211648688836636,0.5915716936125099,0.7551020408163265,0.4155844155844156,0.6507936507936508,False
development,AMZN,CHRONOS_LR,126,0.5166975881261595,0.03603749850782236,0.25508658379791954,0.5645375033130136,0.7346938775510204,0.2987012987012987,0.7142857142857143,False
later,AAPL,F0,178,0.5189465706707086,0.05202550290923069,0.2693583552956159,0.5129468232916509,0.8620689655172413,0.17582417582417584,0.8426966292134831,False
later,AAPL,R1,178,0.5386510041682455,0.08597676748504192,0.25577476582147957,0.5301250473664266,0.7586206896551724,0.31868131868131866,0.7191011235955056,False
later,AAPL,F1,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.5385878489326765,0.7931034482758621,0.24175824175824176,0.7752808988764045,False
later,AAPL,F2,178,0.5671340154098775,0.15225387872362858,0.28557810785631715,0.5495768599216875,0.8045977011494253,0.32967032967032966,0.7359550561797753,False
later,AAPL,F6,178,0.4939370973853733,-0.013658361895953085,0.2528519469342745,0.5226727295692812,0.7241379310344828,0.26373626373626374,0.7303370786516854,False
later,AAPL,A01,178,0.5401667298219022,0.09799884947676993,0.2609498009783427,0.5401035745863333,0.8275862068965517,0.25274725274725274,0.7865168539325843,False
later,AAPL,A1,178,0.5563976253631426,0.1317255511532501,0.2930644789729937,0.535177466211949,0.8160919540229885,0.2967032967032967,0.7584269662921348,False
later,AAPL,E01,178,0.5459138562586838,0.11312111313687354,0.26157268193072974,0.5437665782493368,0.8390804597701149,0.25274725274725274,0.7921348314606742,False
later,AAPL,E1,178,0.5616395099153719,0.14076789415735066,0.2940225986473647,0.541871921182266,0.8045977011494253,0.31868131868131866,0.7415730337078652,False
later,AAPL,MODERN,178,0.5451559934318555,0.10546894633210954,0.26171966569726474,0.5738284703801945,0.8045977011494253,0.2857142857142857,0.7584269662921348,False
later,AAPL,HISTORY_LR,178,0.5163572060123784,0.032739233281760725,0.36065457434998266,0.48793735000631555,0.4942528735632184,0.5384615384615384,0.47752808988764045,False
later,AAPL,CHRONOS_LR,178,0.5054945054945055,0.0734940697113326,0.2556037005114354,0.5077680939749905,1.0,0.01098901098901099,0.9943820224719101,False
later,AMZN,F0,179,0.4978723404255319,-0.004333585708320421,0.2676852632154346,0.5193992490613266,0.5957446808510638,0.4,0.5977653631284916,False
later,AMZN,R1,179,0.5085106382978724,0.017418199070209483,0.27222912692367146,0.5200250312891115,0.6170212765957447,0.4,0.6089385474860335,False
later,AMZN,F1,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.5408010012515645,0.5106382978723404,0.5764705882352941,0.4692737430167598,False
later,AMZN,F2,179,0.5426783479349186,0.08692663097278021,0.26169057480580954,0.5685857321652065,0.6382978723404256,0.4470588235294118,0.5977653631284916,False
later,AMZN,F6,179,0.5115769712140176,0.024394527890402418,0.25453802398246317,0.5264080100125157,0.6702127659574468,0.35294117647058826,0.659217877094972,False
later,AMZN,A01,179,0.5732165206508135,0.1469118828605659,0.24810254130258882,0.5718397997496872,0.6170212765957447,0.5294117647058824,0.547486033519553,False
later,AMZN,A1,179,0.5474342928660826,0.09733632116692667,0.26388807557928945,0.5658322903629537,0.6595744680851063,0.43529411764705883,0.6145251396648045,False
later,AMZN,E01,179,0.5732165206508135,0.1469118828605659,0.24831610211593677,0.5690863579474343,0.6170212765957447,0.5294117647058824,0.547486033519553,False
later,AMZN,E1,179,0.5421151439299123,0.08619447039890428,0.26474166990573783,0.562578222778473,0.648936170212766,0.43529411764705883,0.6089385474860335,False
later,AMZN,MODERN,179,0.5603254067584481,0.12211143724666891,0.24576689400874135,0.5722152690863579,0.6382978723404256,0.4823529411764706,0.5810055865921788,False
later,AMZN,HISTORY_LR,179,0.5090738423028787,0.018481468461954736,0.2836817113949935,0.4793491864831039,0.6063829787234043,0.4117647058823529,0.5977653631284916,False
later,AMZN,CHRONOS_LR,179,0.4701501877346683,-0.060663941851245545,0.2587931930990854,0.45156445556946184,0.5638297872340425,0.3764705882352941,0.5921787709497207,False
train_forward_oof,AAPL,F0,383,0.5001831914773689,0.0003612870332648107,0.26498507019905926,0.4958570542810439,0.5353982300884956,0.46496815286624205,0.5352480417754569,False
train_forward_oof,AAPL,R1,383,0.5268023223042669,0.052859072097666916,0.25766056155301725,0.5412039907558762,0.48672566371681414,0.5668789808917197,0.46475195822454307,False
