phase,symbol,month,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,2018-09,F0,57,0.49753694581280783,-0.007089880956935217,0.24875127751290874,0.6280788177339901,0.8571428571428571,0.13793103448275862,0.8596491228070176,False
development,AAPL,2018-10,F0,69,0.5102564102564102,0.028886325786964755,0.2694802385227657,0.5846153846153846,0.8666666666666667,0.15384615384615385,0.855072463768116,False
development,AAPL,2018-09,R1,57,0.6188423645320198,0.2831921951995806,0.23687878867299847,0.6748768472906405,0.8928571428571429,0.3448275862068966,0.7719298245614035,False
development,AAPL,2018-10,R1,69,0.5153846153846154,0.03698001308168194,0.25008536424052286,0.6205128205128204,0.8,0.23076923076923078,0.782608695652174,False
development,AAPL,2018-09,F1,57,0.6016009852216749,0.24917762935063273,0.2461162990471983,0.583743842364532,0.8928571428571429,0.3103448275862069,0.7894736842105263,False
development,AAPL,2018-10,F1,69,0.5615384615384615,0.15171348989784333,0.253162180420804,0.5632478632478632,0.8666666666666667,0.2564102564102564,0.7971014492753623,False
development,AAPL,2018-09,F2,57,0.5843596059113301,0.21373088995176615,0.24342446352926747,0.6933497536945814,0.8928571428571429,0.27586206896551724,0.8070175438596491,False
development,AAPL,2018-10,F2,69,0.5064102564102564,0.01676757576219862,0.3107541368019272,0.594017094017094,0.8333333333333334,0.1794871794871795,0.8260869565217391,False
development,AAPL,2018-09,F6,57,0.5344827586206896,0.1873758732290221,0.24877587487709044,0.6305418719211823,1.0,0.06896551724137931,0.9649122807017544,False
development,AAPL,2018-10,F6,69,0.47564102564102567,-0.09315516419063742,0.26433476716613225,0.5162393162393162,0.9,0.05128205128205128,0.927536231884058,False
development,AAPL,2018-09,A01,57,0.6551724137931034,0.42548147169838163,0.24227637353023154,0.6625615763546798,1.0,0.3103448275862069,0.8421052631578947,False
development,AAPL,2018-10,A01,69,0.5102564102564102,0.028886325786964755,0.2692635094832153,0.5854700854700855,0.8666666666666667,0.15384615384615385,0.855072463768116,False
development,AAPL,2018-09,A1,57,0.5492610837438423,0.12480635909592185,0.2556596294427676,0.6342364532019704,0.8571428571428571,0.2413793103448276,0.8070175438596491,False
development,AAPL,2018-10,A1,69,0.4897435897435898,-0.02600474629933897,0.31557622979291455,0.5974358974358974,0.8,0.1794871794871795,0.8115942028985508,False
development,AAPL,2018-09,E01,57,0.5677339901477833,0.19497172631571846,0.24158976328212853,0.6785714285714286,0.9285714285714286,0.20689655172413793,0.8596491228070176,False
development,AAPL,2018-10,E01,69,0.514102564102564,0.04367280615529453,0.27286188572885506,0.5658119658119658,0.9,0.1282051282051282,0.8840579710144928,False
development,AAPL,2018-09,E1,57,0.5671182266009852,0.17644101780442445,0.2559502834485313,0.6428571428571428,0.8928571428571429,0.2413793103448276,0.8245614035087719,False
development,AAPL,2018-10,E1,69,0.47692307692307695,-0.060363272743915036,0.32486552897669296,0.5837606837606837,0.8,0.15384615384615385,0.8260869565217391,False
development,AAPL,2018-09,MODERN,57,0.5129310344827587,0.029361010975735177,0.24907516440045233,0.5960591133004925,0.75,0.27586206896551724,0.7368421052631579,False
development,AAPL,2018-10,MODERN,69,0.4064102564102564,-0.21131476509711195,0.2943525115612473,0.4769230769230769,0.6333333333333333,0.1794871794871795,0.7391304347826086,False
development,AAPL,2018-09,HISTORY_LR,57,0.5098522167487685,0.019851666679418605,0.3007320398502875,0.5369458128078818,0.5714285714285714,0.4482758620689655,0.5614035087719298,False
development,AAPL,2018-10,HISTORY_LR,69,0.391025641025641,-0.22295968790380863,0.44371861490883174,0.33760683760683763,0.5,0.28205128205128205,0.6231884057971014,False
development,AAPL,2018-09,CHRONOS_LR,57,0.5,0.0,0.26053445467233777,0.35960591133004927,1.0,0.0,1.0,True
development,AAPL,2018-10,CHRONOS_LR,69,0.5,0.0,0.26392528410100613,0.5042735042735043,1.0,0.0,1.0,True
development,AMZN,2018-09,F0,57,0.42179802955665024,-0.15698501016068359,0.2784089890638216,0.4236453201970444,0.4642857142857143,0.3793103448275862,0.543859649122807,False
development,AMZN,2018-10,F0,69,0.5520833333333333,0.0976086011803788,0.2647896263293537,0.6458333333333334,0.6666666666666666,0.4375,0.5942028985507246,False
development,AMZN,2018-09,R1,57,0.47598522167487683,-0.04977665340318334,0.26348832319443444,0.5197044334975369,0.6071428571428571,0.3448275862068966,0.631578947368421,False
development,AMZN,2018-10,R1,69,0.5416666666666666,0.07856742013183861,0.2788264595358372,0.6041666666666666,0.6666666666666666,0.4166666666666667,0.6086956521739131,False
development,AMZN,2018-09,F1,57,0.4716748768472906,-0.05817474046899912,0.2553051922206057,0.5012315270935961,0.35714285714285715,0.5862068965517241,0.38596491228070173,False
development,AMZN,2018-10,F1,69,0.65625,0.2890730751633232,0.24220680697950617,0.6815476190476191,0.6666666666666666,0.6458333333333334,0.4492753623188406,False
development,AMZN,2018-09,F2,57,0.41995073891625617,-0.16129479177027617,0.2759682940694396,0.5073891625615763,0.35714285714285715,0.4827586206896552,0.43859649122807015,False
development,AMZN,2018-10,F2,69,0.5446428571428572,0.08625819491779428,0.31556534866295327,0.5962301587301587,0.7142857142857143,0.375,0.6521739130434783,False
development,AMZN,2018-09,F6,57,0.4944581280788177,-0.011920540257484747,0.2579996889595012,0.46059113300492616,0.6785714285714286,0.3103448275862069,0.6842105263157895,False
development,AMZN,2018-10,F6,69,0.5416666666666666,0.07856742013183861,0.27107304294789336,0.6259920634920635,0.6666666666666666,0.4166666666666667,0.6086956521739131,False
development,AMZN,2018-09,A01,57,0.4014778325123153,-0.20234692337043172,0.2576456686819308,0.5086206896551724,0.2857142857142857,0.5172413793103449,0.38596491228070173,False
development,AMZN,2018-10,A01,69,0.6071428571428572,0.19889806323953876,0.2666125382264623,0.6339285714285714,0.7142857142857143,0.5,0.5652173913043478,False
development,AMZN,2018-09,A1,57,0.437192118226601,-0.1271919326431982,0.28568997211859576,0.5086206896551724,0.35714285714285715,0.5172413793103449,0.42105263157894735,False
development,AMZN,2018-10,A1,69,0.5550595238095238,0.1054135332251651,0.3170304884650411,0.5892857142857143,0.7142857142857143,0.3958333333333333,0.6376811594202898,False
development,AMZN,2018-09,E01,57,0.43657635467980294,-0.1302608319197154,0.25806664769871657,0.5036945812807881,0.32142857142857145,0.5517241379310345,0.38596491228070173,False
