symbol,month,method,C,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
AAPL,2018-03,HISTORY_LR,0.01,62,0.35625,-0.28870545602072445,0.313354735808444,0.28645833333333337,0.3125,0.4,0.45161290322580644,False
AAPL,2018-03,HISTORY_LR,0.1,62,0.321875,-0.35625,0.345642066968519,0.328125,0.34375,0.3,0.5161290322580645,False
AAPL,2018-03,HISTORY_LR,1.0,62,0.3875,-0.225,0.4226552585289159,0.3864583333333333,0.375,0.4,0.4838709677419355,False
AAPL,2018-03,CHRONOS_LR,0.01,62,0.3614583333333333,-0.3401545651687306,0.2549596657266191,0.33854166666666663,0.65625,0.06666666666666667,0.7903225806451613,False
AAPL,2018-03,CHRONOS_LR,0.1,62,0.36041666666666666,-0.3651890499269818,0.2630040017382419,0.32916666666666666,0.6875,0.03333333333333333,0.8225806451612904,False
AAPL,2018-03,CHRONOS_LR,1.0,62,0.39166666666666666,-0.3073749909238271,0.2664340123172238,0.321875,0.75,0.03333333333333333,0.8548387096774194,False
AAPL,2018-04,HISTORY_LR,0.01,63,0.47731854838709675,-0.0458272234441729,0.2527328457613656,0.5231854838709677,0.5483870967741935,0.40625,0.5714285714285714,False
AAPL,2018-04,HISTORY_LR,0.1,63,0.5735887096774194,0.152828062049447,0.26462465899736626,0.5574596774193548,0.7096774193548387,0.4375,0.6349206349206349,False
AAPL,2018-04,HISTORY_LR,1.0,63,0.5564516129032258,0.11359236684941297,0.3147484023396457,0.5342741935483871,0.6129032258064516,0.5,0.5555555555555556,False
AAPL,2018-04,CHRONOS_LR,0.01,63,0.4344758064516129,-0.19677103862669615,0.2528181577929813,0.3598790322580645,0.8064516129032258,0.0625,0.873015873015873,False
AAPL,2018-04,CHRONOS_LR,0.1,63,0.49848790322580644,-0.005150535271439558,0.258174924544093,0.3558467741935484,0.9032258064516129,0.09375,0.9047619047619048,False
AAPL,2018-04,CHRONOS_LR,1.0,63,0.4344758064516129,-0.19677103862669615,0.26086617658965844,0.3538306451612903,0.8064516129032258,0.0625,0.873015873015873,False
AAPL,2018-05,HISTORY_LR,0.01,66,0.4547996272134203,-0.10260047528021905,0.23119713965261382,0.6197576887232059,0.7027027027027027,0.20689655172413793,0.7424242424242424,False
AAPL,2018-05,HISTORY_LR,0.1,66,0.48928238583411,-0.02349644970038858,0.24183821348217188,0.5778191985088537,0.7027027027027027,0.27586206896551724,0.7121212121212122,False
AAPL,2018-05,HISTORY_LR,1.0,66,0.5521901211556384,0.1048207704966092,0.28596897667976634,0.5657036346691521,0.6216216216216216,0.4827586206896552,0.5757575757575758,False
AAPL,2018-05,CHRONOS_LR,0.01,66,0.48415657036346693,-0.0481859100722599,0.24913673358087296,0.5563839701770736,0.8648648648648649,0.10344827586206896,0.8787878787878788,False
AAPL,2018-05,CHRONOS_LR,0.1,66,0.4669151910531221,-0.10665555056346934,0.24793991887549297,0.5768872320596459,0.8648648648648649,0.06896551724137931,0.8939393939393939,False
AAPL,2018-05,CHRONOS_LR,1.0,66,0.4571295433364399,-0.1186844858836043,0.24731267755160594,0.5843429636533085,0.8108108108108109,0.10344827586206896,0.8484848484848485,False
AAPL,2018-06,HISTORY_LR,0.01,63,0.5185185185185185,0.037037037037037035,0.2623597438046163,0.4783950617283951,0.4444444444444444,0.5925925925925926,0.42857142857142855,False
AAPL,2018-06,HISTORY_LR,0.1,63,0.48611111111111116,-0.027777777777777776,0.26449115674535134,0.5216049382716049,0.4166666666666667,0.5555555555555556,0.42857142857142855,False
AAPL,2018-06,HISTORY_LR,1.0,63,0.5740740740740741,0.15097027121927944,0.28259247848744323,0.5493827160493827,0.4444444444444444,0.7037037037037037,0.38095238095238093,False
AAPL,2018-06,CHRONOS_LR,0.01,63,0.5,0.0,0.2497097041047392,0.4125514403292181,1.0,0.0,1.0,True
AAPL,2018-06,CHRONOS_LR,0.1,63,0.4861111111111111,-0.10998533626601496,0.24986147821965515,0.40843621399176955,0.9722222222222222,0.0,0.9841269841269841,False
AAPL,2018-06,CHRONOS_LR,1.0,63,0.4583333333333333,-0.19364916731037082,0.2504249782051472,0.43827160493827166,0.9166666666666666,0.0,0.9523809523809523,False
AAPL,2018-07,HISTORY_LR,0.01,60,0.43772893772893773,-0.12326934324804635,0.25282473346329254,0.4297924297924298,0.5897435897435898,0.2857142857142857,0.6333333333333333,False
AAPL,2018-07,HISTORY_LR,0.1,60,0.45054945054945056,-0.0989010989010989,0.27278050632307843,0.3760683760683761,0.6153846153846154,0.2857142857142857,0.65,False
AAPL,2018-07,HISTORY_LR,1.0,60,0.4139194139194139,-0.17216117216117216,0.30178010331966654,0.3931623931623932,0.5897435897435898,0.23809523809523808,0.65,False
AAPL,2018-07,CHRONOS_LR,0.01,60,0.5,0.0,0.24609688264598914,0.536019536019536,1.0,0.0,1.0,True
AAPL,2018-07,CHRONOS_LR,0.1,60,0.5,0.0,0.24249659697468567,0.5641025641025641,1.0,0.0,1.0,True
AAPL,2018-07,CHRONOS_LR,1.0,60,0.5,0.0,0.2417821095205795,0.5592185592185592,1.0,0.0,1.0,True
AAPL,2018-08,HISTORY_LR,0.01,69,0.4738562091503268,-0.05228758169934641,0.2426211784535073,0.4281045751633987,0.7254901960784313,0.2222222222222222,0.7391304347826086,False
