phase,symbol,month,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,2018-09,F0,57,0.49753694581280783,-0.007089880956935217,0.24875127751290874,0.6280788177339901,0.8571428571428571,0.13793103448275862,0.8596491228070176,False
development,AAPL,2018-10,F0,69,0.5102564102564102,0.028886325786964755,0.2694802385227657,0.5846153846153846,0.8666666666666667,0.15384615384615385,0.855072463768116,False
development,AAPL,2018-09,R1,57,0.6188423645320198,0.2831921951995806,0.23687878867299847,0.6748768472906405,0.8928571428571429,0.3448275862068966,0.7719298245614035,False
development,AAPL,2018-10,R1,69,0.5153846153846154,0.03698001308168194,0.25008536424052286,0.6205128205128204,0.8,0.23076923076923078,0.782608695652174,False
development,AAPL,2018-09,F1,57,0.6016009852216749,0.24917762935063273,0.2461162990471983,0.583743842364532,0.8928571428571429,0.3103448275862069,0.7894736842105263,False
development,AAPL,2018-10,F1,69,0.5615384615384615,0.15171348989784333,0.253162180420804,0.5632478632478632,0.8666666666666667,0.2564102564102564,0.7971014492753623,False
development,AAPL,2018-09,F2,57,0.5843596059113301,0.21373088995176615,0.24342446352926747,0.6933497536945814,0.8928571428571429,0.27586206896551724,0.8070175438596491,False
development,AAPL,2018-10,F2,69,0.5064102564102564,0.01676757576219862,0.3107541368019272,0.594017094017094,0.8333333333333334,0.1794871794871795,0.8260869565217391,False
development,AAPL,2018-09,F6,57,0.5344827586206896,0.1873758732290221,0.24877587487709044,0.6305418719211823,1.0,0.06896551724137931,0.9649122807017544,False
development,AAPL,2018-10,F6,69,0.47564102564102567,-0.09315516419063742,0.26433476716613225,0.5162393162393162,0.9,0.05128205128205128,0.927536231884058,False
development,AAPL,2018-09,HISTORY_LR,57,0.5098522167487685,0.019851666679418605,0.3007320398502875,0.5369458128078818,0.5714285714285714,0.4482758620689655,0.5614035087719298,False
development,AAPL,2018-10,HISTORY_LR,69,0.391025641025641,-0.22295968790380863,0.44371861490883174,0.33760683760683763,0.5,0.28205128205128205,0.6231884057971014,False
development,AAPL,2018-09,CHRONOS_LR,57,0.5,0.0,0.26053445467233777,0.35960591133004927,1.0,0.0,1.0,True
development,AAPL,2018-10,CHRONOS_LR,69,0.5,0.0,0.26392528410100613,0.5042735042735043,1.0,0.0,1.0,True
development,AMZN,2018-09,F0,57,0.42179802955665024,-0.15698501016068359,0.2784089890638216,0.4236453201970444,0.4642857142857143,0.3793103448275862,0.543859649122807,False
development,AMZN,2018-10,F0,69,0.5520833333333333,0.0976086011803788,0.2647896263293537,0.6458333333333334,0.6666666666666666,0.4375,0.5942028985507246,False
development,AMZN,2018-09,R1,57,0.47598522167487683,-0.04977665340318334,0.26348832319443444,0.5197044334975369,0.6071428571428571,0.3448275862068966,0.631578947368421,False
development,AMZN,2018-10,R1,69,0.5416666666666666,0.07856742013183861,0.2788264595358372,0.6041666666666666,0.6666666666666666,0.4166666666666667,0.6086956521739131,False
development,AMZN,2018-09,F1,57,0.4716748768472906,-0.05817474046899912,0.2553051922206057,0.5012315270935961,0.35714285714285715,0.5862068965517241,0.38596491228070173,False
development,AMZN,2018-10,F1,69,0.65625,0.2890730751633232,0.24220680697950617,0.6815476190476191,0.6666666666666666,0.6458333333333334,0.4492753623188406,False
development,AMZN,2018-09,F2,57,0.41995073891625617,-0.16129479177027617,0.2759682940694396,0.5073891625615763,0.35714285714285715,0.4827586206896552,0.43859649122807015,False
development,AMZN,2018-10,F2,69,0.5446428571428572,0.08625819491779428,0.31556534866295327,0.5962301587301587,0.7142857142857143,0.375,0.6521739130434783,False
development,AMZN,2018-09,F6,57,0.4944581280788177,-0.011920540257484747,0.2579996889595012,0.46059113300492616,0.6785714285714286,0.3103448275862069,0.6842105263157895,False
development,AMZN,2018-10,F6,69,0.5416666666666666,0.07856742013183861,0.27107304294789336,0.6259920634920635,0.6666666666666666,0.4166666666666667,0.6086956521739131,False
development,AMZN,2018-09,HISTORY_LR,57,0.5997536945812808,0.21456972463472546,0.23974338078341736,0.6391625615763546,0.7857142857142857,0.41379310344827586,0.6842105263157895,False
development,AMZN,2018-10,HISTORY_LR,69,0.5654761904761905,0.1243434071559219,0.28059861801854163,0.5684523809523809,0.7142857142857143,0.4166666666666667,0.6231884057971014,False
development,AMZN,2018-09,CHRONOS_LR,57,0.5338669950738917,0.13256129693089297,0.2505665444992958,0.5344827586206896,0.9642857142857143,0.10344827586206896,0.9298245614035088,False
development,AMZN,2018-10,CHRONOS_LR,69,0.4226190476190476,-0.1427968019282177,0.2588205293054783,0.44246031746031744,0.42857142857142855,0.4166666666666667,0.5362318840579711,False
later,AAPL,2018-11,F0,60,0.5205784204671857,0.0640670789510079,0.2655753785206136,0.5105672969966629,0.9032258064516129,0.13793103448275862,0.8833333333333333,False
later,AAPL,2018-12,F0,53,0.5681114551083591,0.15183249942890767,0.28236599956090924,0.5882352941176471,0.8421052631578947,0.29411764705882354,0.7547169811320755,False
later,AAPL,2019-01,F0,63,0.4573804573804574,-0.12603755744009754,0.2581657890924156,0.4563409563409564,0.8378378378378378,0.07692307692307693,0.873015873015873,False
later,AAPL,2019-02,F0,2,,0.0,0.3907109209162276,,,0.0,1.0,True
later,AAPL,2018-11,R1,60,0.5261401557285873,0.05797747850973157,0.25403661854843856,0.5305895439377085,0.7419354838709677,0.3103448275862069,0.7166666666666667,False
later,AAPL,2018-12,R1,53,0.6385448916408669,0.2949846002743204,0.25395936945559855,0.6114551083591332,0.8947368421052632,0.38235294117647056,0.7169811320754716,False
later,AAPL,2019-01,R1,63,0.485966735966736,-0.030586777135731963,0.25486671639997927,0.46569646569646567,0.7027027027027027,0.2692307692307692,0.7142857142857143,False
later,AAPL,2019-02,R1,2,,0.0,0.3846307444858184,,,0.0,1.0,True
later,AAPL,2018-11,F1,60,0.5066740823136818,0.01667593364912675,0.2555355122588828,0.5350389321468298,0.8064516129032258,0.20689655172413793,0.8,False
later,AAPL,2018-12,F1,53,0.5565015479876161,0.12030098223477871,0.2596946425076442,0.6130030959752322,0.7894736842105263,0.3235294117647059,0.7169811320754716,False
later,AAPL,2019-01,F1,63,0.48804573804573803,-0.029085974677101674,0.25620523177629684,0.4906444906444906,0.7837837837837838,0.19230769230769232,0.7936507936507936,False
later,AAPL,2019-02,F1,2,,0.0,0.4083408880370367,,,0.0,1.0,True
