phase,symbol,method,n,BA,MCC,up_recall,down_recall,pred_up,constant
development,AAPL,CHRONOS_MEDIAN,126,0.5299188640973631,0.06365641239507286,0.7068965517241379,0.35294117647058826,0.6746031746031746,False
development,AAPL,R1,126,0.5621196754563895,0.14894830773554277,0.8448275862068966,0.27941176470588236,0.7777777777777778,False
development,AAPL,HISTORY_LR,126,0.4437119675456389,-0.1143138356661114,0.5344827586206896,0.35294117647058826,0.5952380952380952,False
development,AMZN,CHRONOS_MEDIAN,126,0.5231910946196661,0.04559152581164996,0.5918367346938775,0.45454545454545453,0.5634920634920635,False
development,AMZN,R1,126,0.5111317254174397,0.02234950781338371,0.6326530612244898,0.38961038961038963,0.6190476190476191,False
development,AMZN,HISTORY_LR,126,0.585343228200371,0.17454571850893355,0.7551020408163265,0.4155844155844156,0.6507936507936508,False
later,AAPL,CHRONOS_MEDIAN,178,0.48117973980042944,-0.03980332133982492,0.6436781609195402,0.31868131868131866,0.6629213483146067,False
later,AAPL,R1,178,0.5386510041682455,0.08597676748504192,0.7586206896551724,0.31868131868131866,0.7191011235955056,False
later,AAPL,HISTORY_LR,178,0.5163572060123784,0.032739233281760725,0.4942528735632184,0.5384615384615384,0.47752808988764045,False
later,AMZN,CHRONOS_MEDIAN,179,0.493116395494368,-0.01393387769412197,0.574468085106383,0.4117647058823529,0.5810055865921788,False
later,AMZN,R1,179,0.5085106382978724,0.017418199070209483,0.6170212765957447,0.4,0.6089385474860335,False
later,AMZN,HISTORY_LR,179,0.5090738423028787,0.018481468461954736,0.6063829787234043,0.4117647058823529,0.5977653631284916,False
train_forward_oof,AAPL,CHRONOS_MEDIAN,383,0.4976326024463108,-0.004801011611137822,0.6194690265486725,0.37579617834394907,0.6214099216710183,False
train_forward_oof,AAPL,R1,383,0.5268023223042669,0.052859072097666916,0.48672566371681414,0.5668789808917197,0.46475195822454307,False
train_forward_oof,AAPL,HISTORY_LR,383,0.502931063637901,0.005813988628908604,0.5663716814159292,0.4394904458598726,0.5639686684073107,False
train_forward_oof,AMZN,CHRONOS_MEDIAN,382,0.5339598756088835,0.07013274343726918,0.6600985221674877,0.40782122905027934,0.6282722513089005,False
train_forward_oof,AMZN,R1,382,0.5217959655447615,0.04574289772518907,0.6748768472906403,0.3687150837988827,0.6544502617801047,False
train_forward_oof,AMZN,HISTORY_LR,382,0.5076781242259956,0.0158565927220406,0.6354679802955665,0.37988826815642457,0.6282722513089005,False
