key,cutoff,latest_context_end,observed_bars,missing_bars,open_step,close_step,eligible
AAPL|2018-01-03 14:30:00+00:00,2018-01-03 14:25:00+00:00,2018-01-02 21:00:00+00:00,78,434,1,48,True
AMZN|2018-01-03 14:30:00+00:00,2018-01-03 14:25:00+00:00,2018-01-02 21:00:00+00:00,78,434,1,48,True
AAPL|2018-01-03 15:30:00+00:00,2018-01-03 15:25:00+00:00,2018-01-03 15:25:00+00:00,89,423,2,49,True
AMZN|2018-01-03 15:30:00+00:00,2018-01-03 15:25:00+00:00,2018-01-03 15:25:00+00:00,89,423,2,49,True
AAPL|2018-01-03 16:30:00+00:00,2018-01-03 16:25:00+00:00,2018-01-03 16:25:00+00:00,101,411,2,49,True
AMZN|2018-01-03 16:30:00+00:00,2018-01-03 16:25:00+00:00,2018-01-03 16:25:00+00:00,101,411,2,49,True
AAPL|2018-01-04 14:30:00+00:00,2018-01-04 14:25:00+00:00,2018-01-03 21:00:00+00:00,156,356,1,48,True
AMZN|2018-01-04 14:30:00+00:00,2018-01-04 14:25:00+00:00,2018-01-03 21:00:00+00:00,156,356,1,48,True
AAPL|2018-01-04 15:30:00+00:00,2018-01-04 15:25:00+00:00,2018-01-04 15:25:00+00:00,167,345,2,49,True
AMZN|2018-01-04 15:30:00+00:00,2018-01-04 15:25:00+00:00,2018-01-04 15:25:00+00:00,167,345,2,49,True
AAPL|2018-01-04 16:30:00+00:00,2018-01-04 16:25:00+00:00,2018-01-04 16:25:00+00:00,179,333,2,49,True
AMZN|2018-01-04 16:30:00+00:00,2018-01-04 16:25:00+00:00,2018-01-04 16:25:00+00:00,179,333,2,49,True
AAPL|2018-01-05 14:30:00+00:00,2018-01-05 14:25:00+00:00,2018-01-04 21:00:00+00:00,234,278,1,48,True
AMZN|2018-01-05 14:30:00+00:00,2018-01-05 14:25:00+00:00,2018-01-04 21:00:00+00:00,234,278,1,48,True
AAPL|2018-01-05 15:30:00+00:00,2018-01-05 15:25:00+00:00,2018-01-05 15:25:00+00:00,245,267,2,49,True
AMZN|2018-01-05 15:30:00+00:00,2018-01-05 15:25:00+00:00,2018-01-05 15:25:00+00:00,245,267,2,49,True
AAPL|2018-01-05 16:30:00+00:00,2018-01-05 16:25:00+00:00,2018-01-05 16:25:00+00:00,257,255,2,49,True
AMZN|2018-01-05 16:30:00+00:00,2018-01-05 16:25:00+00:00,2018-01-05 16:25:00+00:00,257,255,2,49,True
AAPL|2018-01-08 14:30:00+00:00,2018-01-08 14:25:00+00:00,2018-01-05 21:00:00+00:00,312,200,1,48,True
AMZN|2018-01-08 14:30:00+00:00,2018-01-08 14:25:00+00:00,2018-01-05 21:00:00+00:00,312,200,1,48,True
AAPL|2018-01-08 15:30:00+00:00,2018-01-08 15:25:00+00:00,2018-01-08 15:25:00+00:00,323,189,2,49,True
AMZN|2018-01-08 15:30:00+00:00,2018-01-08 15:25:00+00:00,2018-01-08 15:25:00+00:00,323,189,2,49,True
AAPL|2018-01-08 16:30:00+00:00,2018-01-08 16:25:00+00:00,2018-01-08 16:25:00+00:00,335,177,2,49,True
AMZN|2018-01-08 16:30:00+00:00,2018-01-08 16:25:00+00:00,2018-01-08 16:25:00+00:00,335,177,2,49,True
AAPL|2018-01-09 14:30:00+00:00,2018-01-09 14:25:00+00:00,2018-01-08 21:00:00+00:00,390,122,1,48,True
