phase,symbol,method,baseline,block_days,BA_low,BA_high,Brier_low,Brier_high
development,AAPL,E01,A01,1,-0.08951410959166248,0.008779904306220061,-0.001321011915233816,0.00453153915756673
development,AAPL,E1,A1,1,-0.039977173948968825,0.040326039816612244,-0.001357907962998566,0.011867319206938018
development,AAPL,A01,A1,1,0.016836795425370494,0.10573829163138922,-0.05409705560488723,-0.00675159383196834
development,AAPL,E01,E1,1,-0.02632827166575685,0.06276164709835545,-0.058241231692950764,-0.009220228505939305
development,AAPL,MODERN,F2,1,-0.16478845953817353,-0.011164772727272777,-0.03603880752164871,0.028923643188356277
development,AAPL,CHRONOS_LR,HISTORY_LR,1,-0.031746498599439774,0.14622642726126334,-0.1693384320807151,-0.06261961398852076
development,AAPL,CHRONOS_LR,R1,1,-0.13181818181818183,0.011356064210146868,0.006558999669111795,0.0301266649246948
development,AAPL,E01,A01,5,-0.08026279956427017,0.007792437170763812,-0.0012098014741147133,0.0049431901731844365
development,AAPL,E1,A1,5,-0.043911007025761166,0.04312235329703565,-0.002219793530315248,0.013445772817734075
development,AAPL,A01,A1,5,0.020209439415403783,0.10204865556978232,-0.05867051406001123,-0.00655394217226126
development,AAPL,E01,E1,5,-0.012356887127499688,0.05454545454545451,-0.0651074867803572,-0.009014572214804038
development,AAPL,MODERN,F2,5,-0.18474672379032261,0.005007275132275171,-0.0475805622283618,0.030171861870785903
development,AAPL,CHRONOS_LR,HISTORY_LR,5,-0.040817552982731514,0.16759955406768204,-0.19424595858949137,-0.04774220464823575
development,AAPL,CHRONOS_LR,R1,5,-0.14872058363401544,0.02633797576439983,0.006888734490471796,0.02959495334563468
development,AMZN,E01,A01,1,0.0,0.043181888544891606,-0.001026752218484958,0.0005849975176167107
development,AMZN,E1,A1,1,-0.020833333333333315,0.0,-0.0021299500844421167,0.001725070991116389
development,AMZN,A01,A1,1,-0.035686274509803884,0.06267557332589739,-0.06510768495453731,-0.018252627924914226
development,AMZN,E01,E1,1,-0.011377164502164491,0.08566636323623557,-0.06454835550247909,-0.01841444214937385
development,AMZN,MODERN,F2,1,0.013854874196937286,0.15878740347490347,-0.07738365988344979,-0.020911803511947227
development,AMZN,CHRONOS_LR,HISTORY_LR,1,-0.2198270867020867,0.08434984213719947,-0.037428769065877006,0.025389038890824566
development,AMZN,CHRONOS_LR,R1,1,-0.10675132062865209,0.13334880636604776,-0.04521257391777527,0.011899845296692692
development,AMZN,E01,A01,5,0.0,0.05424258541766795,-0.001003898373988819,0.0005848630366934625
development,AMZN,E1,A1,5,-0.019486927546138077,0.0,-0.0024213548640700014,0.002098524158646943
