phase,symbol,method,baseline,changed_right,changed_wrong,common_right,common_wrong
development,AAPL,E01,A01,2,7,62,55
development,AAPL,E1,A1,3,3,59,61
development,AAPL,A01,A1,8,1,61,56
development,AAPL,E01,E1,5,3,59,59
development,AAPL,MODERN,F2,9,19,46,52
development,AAPL,CHRONOS_LR,HISTORY_LR,27,24,31,44
development,AAPL,CHRONOS_LR,R1,9,19,49,49
development,AMZN,E01,A01,2,0,62,62
development,AMZN,E1,A1,0,1,58,67
development,AMZN,A01,A1,6,3,56,61
development,AMZN,E01,E1,8,2,56,60
development,AMZN,MODERN,F2,18,6,51,51
development,AMZN,CHRONOS_LR,HISTORY_LR,28,38,31,29
development,AMZN,CHRONOS_LR,R1,23,25,36,42
later,AAPL,E01,A01,2,1,94,81
later,AAPL,E1,A1,4,3,95,76
later,AAPL,A01,A1,8,11,87,72
later,AAPL,E01,E1,8,11,88,71
later,AAPL,MODERN,F2,20,24,76,58
later,AAPL,CHRONOS_LR,HISTORY_LR,44,48,44,42
later,AAPL,CHRONOS_LR,R1,22,29,66,61
later,AMZN,E01,A01,0,0,103,76
later,AMZN,E1,A1,0,1,98,80
later,AMZN,A01,A1,8,4,95,72
later,AMZN,E01,E1,9,4,94,72
later,AMZN,MODERN,F2,13,10,88,68
later,AMZN,CHRONOS_LR,HISTORY_LR,33,40,52,54
later,AMZN,CHRONOS_LR,R1,37,44,48,50
train_forward_oof,AAPL,E01,A01,13,11,181,178
train_forward_oof,AAPL,E1,A1,15,13,181,174
train_forward_oof,AAPL,A01,A1,26,28,166,163
train_forward_oof,AAPL,E01,E1,26,28,168,161
train_forward_oof,AAPL,MODERN,F2,51,62,132,138
train_forward_oof,AAPL,CHRONOS_LR,HISTORY_LR,92,80,117,94
train_forward_oof,AAPL,CHRONOS_LR,R1,103,93,106,81
train_forward_oof,AMZN,E01,A01,4,3,188,187
train_forward_oof,AMZN,E1,A1,3,6,190,183
train_forward_oof,AMZN,A01,A1,14,19,177,172
train_forward_oof,AMZN,E01,E1,15,16,177,174
train_forward_oof,AMZN,MODERN,F2,44,35,152,151
train_forward_oof,AMZN,CHRONOS_LR,HISTORY_LR,86,83,114,99
train_forward_oof,AMZN,CHRONOS_LR,R1,63,66,137,116
