symbol,method,block_days,replicates,delta_BA,lo,hi
AAPL,TFIDF_LR,1,1000,-0.02630976178577375,-0.053578659437457446,0.000681235186752064
AAPL,TFIDF_LR,5,1000,-0.02630976178577375,-0.05262466415828145,0.0015082989337115106
AAPL,TFIDF_SVM,1,1000,0.01926328502415464,-0.005410329563388772,0.04531723508561183
AAPL,TFIDF_SVM,5,1000,0.01926328502415464,-0.006756843496329825,0.04745127307613567
AAPL,TFIDF_RF,1,1000,-0.07707292187239716,-0.10506133643230332,-0.04931974190162878
AAPL,TFIDF_RF,5,1000,-0.07707292187239716,-0.10939786210607369,-0.04536442725820484
AMZN,TFIDF_LR,1,1000,-0.0016645189003436551,-0.03478718260497558,0.030798255952060212
AMZN,TFIDF_LR,5,1000,-0.0016645189003436551,-0.03519532430015764,0.031461891123577126
AMZN,TFIDF_SVM,1,1000,-0.0016356066613798514,-0.03561432832416749,0.02889996410227779
AMZN,TFIDF_SVM,5,1000,-0.0016356066613798514,-0.03288114351411721,0.030114108846249658
AMZN,TFIDF_RF,1,1000,-0.018181667988368993,-0.05565688295449572,0.01762507049884532
AMZN,TFIDF_RF,5,1000,-0.018181667988368993,-0.048203082495649044,0.013592053074579915
AAPL,FULL_FINBERT,1,1000,-0.00376270198234215,-0.009103207426325264,0.0013699570976969083
AAPL,FULL_FINBERT,5,1000,-0.00376270198234215,-0.00903279330343925,0.0017731576138055526
AMZN,FULL_FINBERT,1,1000,-0.0052661578112609035,-0.013093529115769694,0.0021649704707702366
AMZN,FULL_FINBERT,5,1000,-0.0052661578112609035,-0.011759806357417744,0.0013253917700534236
AAPL,FULL_MODERN,1,1000,-0.0005580543061802038,-0.00646226910736285,0.005555203730186171
AAPL,FULL_MODERN,5,1000,-0.0005580543061802038,-0.006443081427463067,0.005606104387592664
AMZN,FULL_MODERN,1,1000,-0.004952253502511161,-0.009970563560983067,0.000816114002441462
AMZN,FULL_MODERN,5,1000,-0.004952253502511161,-0.0100423037801143,0.0005228251176202546
