encoder,symbol,seed,n,BA,Brier,MCC,accuracy,predicted_up,constant,base_BA,base_Brier,coverage,changed,repaired,introduced
FINBERT,AAPL,573,803,0.6749843828085957,0.2160093028603217,0.3544135219750065,0.6811955168119551,0.589041095890411,False,0.684495252373813,0.21863635061314832,0.9925280199252802,17,5,12
FINBERT,AAPL,574,803,0.6592047726136931,0.2193669135693824,0.32174313281223665,0.6650062266500623,0.5828144458281445,False,0.661922163918041,0.22517902151595204,0.9925280199252802,14,6,8
FINBERT,AAPL,575,803,0.6815685907046476,0.2188803238458338,0.36725541709708753,0.6874221668742216,0.5853051058530511,False,0.6806284357821089,0.22461935835913516,0.9925280199252802,7,4,3
FINBERT,AMZN,573,804,0.6071694091990483,0.241023092116022,0.2146935911143654,0.6082089552238806,0.5335820895522388,False,0.6118903647898493,0.25076918341484516,0.5124378109452736,18,7,11
FINBERT,AMZN,574,804,0.5927339413164155,0.25068712089691597,0.1864757228721359,0.5945273631840796,0.554726368159204,False,0.5964264472640761,0.2549166263229975,0.5124378109452736,13,5,8
FINBERT,AMZN,575,804,0.5926595955590801,0.24246772533321298,0.18537260277079634,0.5932835820895522,0.5211442786069652,False,0.6000446074544012,0.25154159364598466,0.5124378109452736,22,8,14
MODERN,AAPL,573,803,0.6838674412793604,0.21269123247084587,0.372235997443037,0.6899128268991283,0.5877957658779577,False,0.684495252373813,0.21863635061314832,0.9925280199252802,24,12,12
MODERN,AAPL,574,803,0.6642210144927536,0.2204141118854791,0.33188065162286334,0.6699875466998755,0.5828144458281445,False,0.661922163918041,0.22517902151595204,0.9925280199252802,14,8,6
MODERN,AAPL,575,803,0.6772832333833083,0.22158636551850744,0.35940363961636373,0.6836861768368617,0.5915317559153176,False,0.6806284357821089,0.22461935835913516,0.9925280199252802,14,6,8
MODERN,AMZN,573,804,0.6069959357652657,0.23807264064666855,0.21450079302244557,0.6082089552238806,0.5385572139303483,False,0.6118903647898493,0.25076918341484516,0.5124378109452736,12,4,8
MODERN,AMZN,574,804,0.5876660388580492,0.241515512723107,0.17638429006841938,0.5895522388059702,0.5572139303482587,False,0.5964264472640761,0.2549166263229975,0.5124378109452736,15,4,11
MODERN,AMZN,575,804,0.5988426843774782,0.2446193693268626,0.19776379977123598,0.599502487562189,0.5223880597014925,False,0.6000446074544012,0.25154159364598466,0.5124378109452736,7,3,4
