encoder,symbol,seed,fold,C,weight,train_n,train_evidence_n
FINBERT,AAPL,573,0,0.01,0.0,722,719
FINBERT,AAPL,573,1,0.01,0.0,722,716
FINBERT,AAPL,573,2,0.01,0.5,722,716
FINBERT,AAPL,573,3,0.01,0.0,723,717
FINBERT,AAPL,573,4,0.01,0.5,723,717
FINBERT,AAPL,573,5,0.01,0.25,723,718
FINBERT,AAPL,573,6,0.1,0.25,723,717
FINBERT,AAPL,573,7,0.01,0.0,723,717
FINBERT,AAPL,573,8,0.01,0.0,723,719
FINBERT,AAPL,573,9,0.01,0.0,723,717
FINBERT,AMZN,573,0,0.01,0.5,723,370
FINBERT,AMZN,573,1,0.01,0.0,723,375
FINBERT,AMZN,573,2,0.01,0.25,723,367
FINBERT,AMZN,573,3,0.01,0.0,723,370
FINBERT,AMZN,573,4,0.1,0.25,724,364
FINBERT,AMZN,573,5,1.0,0.5,724,373
FINBERT,AMZN,573,6,0.01,0.5,724,370
FINBERT,AMZN,573,7,0.1,0.5,724,370
FINBERT,AMZN,573,8,1.0,0.25,724,375
FINBERT,AMZN,573,9,0.01,0.75,724,374
FINBERT,AAPL,574,0,0.01,0.25,722,716
FINBERT,AAPL,574,1,0.01,0.0,722,716
FINBERT,AAPL,574,2,0.01,0.0,722,718
FINBERT,AAPL,574,3,0.01,0.0,723,717
FINBERT,AAPL,574,4,1.0,0.25,723,717
FINBERT,AAPL,574,5,0.01,0.0,723,719
FINBERT,AAPL,574,6,0.01,0.25,723,717
FINBERT,AAPL,574,7,1.0,0.5,723,718
FINBERT,AAPL,574,8,0.01,0.0,723,717
FINBERT,AAPL,574,9,0.01,0.25,723,718
FINBERT,AMZN,574,0,0.01,0.0,723,377
FINBERT,AMZN,574,1,0.1,0.5,723,371
FINBERT,AMZN,574,2,0.01,0.0,723,366
FINBERT,AMZN,574,3,0.01,0.0,723,367
FINBERT,AMZN,574,4,0.01,0.0,724,372
FINBERT,AMZN,574,5,0.01,0.0,724,369
FINBERT,AMZN,574,6,0.01,0.25,724,370
FINBERT,AMZN,574,7,0.1,0.5,724,369
FINBERT,AMZN,574,8,1.0,0.25,724,373
FINBERT,AMZN,574,9,0.01,0.0,724,374
FINBERT,AAPL,575,0,0.01,0.0,722,716
FINBERT,AAPL,575,1,0.01,0.5,722,716
FINBERT,AAPL,575,2,0.01,0.0,722,716
FINBERT,AAPL,575,3,1.0,0.25,723,718
FINBERT,AAPL,575,4,0.01,0.25,723,719
FINBERT,AAPL,575,5,0.01,0.0,723,719
FINBERT,AAPL,575,6,0.01,0.0,723,717
FINBERT,AAPL,575,7,0.01,0.0,723,718
FINBERT,AAPL,575,8,0.01,0.0,723,717
FINBERT,AAPL,575,9,0.01,0.0,723,717
FINBERT,AMZN,575,0,0.01,0.25,723,370
FINBERT,AMZN,575,1,0.1,0.25,723,374
FINBERT,AMZN,575,2,0.1,0.5,723,367
FINBERT,AMZN,575,3,0.01,0.5,723,371
FINBERT,AMZN,575,4,0.1,0.5,724,371
FINBERT,AMZN,575,5,0.01,0.0,724,366
FINBERT,AMZN,575,6,0.1,0.5,724,377
FINBERT,AMZN,575,7,0.01,0.0,724,370
FINBERT,AMZN,575,8,0.01,0.25,724,370
FINBERT,AMZN,575,9,0.01,0.25,724,372
MODERN,AAPL,573,0,0.01,0.0,722,719
MODERN,AAPL,573,1,0.01,0.5,722,716
MODERN,AAPL,573,2,1.0,0.5,722,716
MODERN,AAPL,573,3,0.01,0.5,723,717
MODERN,AAPL,573,4,0.01,0.0,723,717
MODERN,AAPL,573,5,0.1,0.25,723,718
MODERN,AAPL,573,6,0.1,0.25,723,717
MODERN,AAPL,573,7,0.01,0.0,723,717
MODERN,AAPL,573,8,1.0,0.25,723,719
MODERN,AAPL,573,9,0.01,0.0,723,717
MODERN,AMZN,573,0,0.1,0.25,723,370
MODERN,AMZN,573,1,0.01,0.25,723,375
MODERN,AMZN,573,2,0.01,0.25,723,367
MODERN,AMZN,573,3,0.1,0.25,723,370
MODERN,AMZN,573,4,0.01,0.5,724,364
MODERN,AMZN,573,5,1.0,0.5,724,373
MODERN,AMZN,573,6,1.0,0.5,724,370
MODERN,AMZN,573,7,0.01,0.75,724,370
MODERN,AMZN,573,8,0.1,0.5,724,375
MODERN,AMZN,573,9,0.01,0.0,724,374
MODERN,AAPL,574,0,0.1,0.25,722,716
MODERN,AAPL,574,1,0.01,0.0,722,716
MODERN,AAPL,574,2,0.01,0.0,722,718
MODERN,AAPL,574,3,0.01,0.0,723,717
MODERN,AAPL,574,4,0.01,0.25,723,717
MODERN,AAPL,574,5,0.01,0.0,723,719
MODERN,AAPL,574,6,1.0,0.25,723,717
MODERN,AAPL,574,7,0.1,0.5,723,718
MODERN,AAPL,574,8,0.01,0.0,723,717
MODERN,AAPL,574,9,0.01,0.0,723,718
MODERN,AMZN,574,0,0.1,0.5,723,377
MODERN,AMZN,574,1,0.01,0.25,723,371
MODERN,AMZN,574,2,0.1,0.25,723,366
MODERN,AMZN,574,3,0.01,0.25,723,367
MODERN,AMZN,574,4,0.01,0.0,724,372
MODERN,AMZN,574,5,0.01,0.75,724,369
MODERN,AMZN,574,6,1.0,0.25,724,370
MODERN,AMZN,574,7,0.01,0.5,724,369
MODERN,AMZN,574,8,1.0,0.5,724,373
MODERN,AMZN,574,9,0.01,0.0,724,374
MODERN,AAPL,575,0,0.01,0.5,722,716
MODERN,AAPL,575,1,0.01,0.0,722,716
MODERN,AAPL,575,2,0.01,0.25,722,716
MODERN,AAPL,575,3,0.1,0.5,723,718
MODERN,AAPL,575,4,0.01,0.0,723,719
MODERN,AAPL,575,5,0.01,0.0,723,719
MODERN,AAPL,575,6,0.01,0.0,723,717
MODERN,AAPL,575,7,0.01,0.0,723,718
MODERN,AAPL,575,8,0.1,0.25,723,717
MODERN,AAPL,575,9,0.01,0.0,723,717
MODERN,AMZN,575,0,0.01,0.0,723,370
MODERN,AMZN,575,1,0.01,0.25,723,374
MODERN,AMZN,575,2,0.1,0.5,723,367
MODERN,AMZN,575,3,0.1,0.5,723,371
MODERN,AMZN,575,4,0.1,0.5,724,371
MODERN,AMZN,575,5,0.01,0.0,724,366
MODERN,AMZN,575,6,0.1,0.25,724,377
MODERN,AMZN,575,7,0.01,0.0,724,370
MODERN,AMZN,575,8,0.01,0.25,724,370
MODERN,AMZN,575,9,0.01,0.0,724,372
